groom_giver,groom_reciever,constrained_duration,observation_name
44J,juvenile,61,2010-07-29_44J_JB_1
04T,juvenile,489,2010-07-30_04T_JB_3
00O,85B,274,2010-08-01_00O_JB_6
36S,43F,177,2010-08-01_36S_JB_5
40L,juvenile,366,2010-08-01_40L_JB_2
88I,O52,101,2010-08-01_88I_JB_6
98T,17C,85,2010-08-01_98T_JB_6
10S,juvenile,88,2010-08-02_10S_JB_4
10S,juvenile,92,2010-08-02_10S_JB_4
10S,juvenile,111,2010-08-02_10S_JB_4
90D,00O,24,2010-08-02_90D_JB_5
14L,36S,597,2010-08-03_14L_JB_4
88I,juvenile,121,2010-08-03_88I_JB_5
00O,90D,149,2010-08-06_00O_JB_2
90D,73B,151,2010-08-11_90D_JB_6
90D,73B,74,2010-08-11_90D_JB_6
00J,30L,515,2010-08-12_00J_JB_6
61J,28N,57,2010-08-12_61J_JB_5
61J,28N,132,2010-08-12_61J_JB_5
88I,O52,245,2010-08-12_88I_JB_6
O52,79C,202,2010-08-12_O52_JB_6
O52,88I,70,2010-08-12_O52_JB_6
61J,juvenile,209,2010-08-13_61J_JB_3
61J,juvenile,90,2010-08-13_61J_JB_3
82L,57H,33,2010-08-13_82L_JB_2
73B,juvenile,115,2010-08-17_73B_JB_6
98T,juvenile,49,2010-08-17_98T_JB_3
Z14,juvenile,99,2010-08-17_Z14_JB_5
10S,14L,342,2010-08-18_10S_JB_6
14L,juvenile,451,2010-08-23_14L_JB_3
78T,14I,323,2010-08-24_78T_JB_6
57H,61J,89,2010-08-25_57H_JB_1
57H,61J,67,2010-08-25_57H_JB_1
42L,87K,457,2010-08-26_42L_JB_3
63V,00J,299,2010-08-26_63V_JB_2
63V,00J,105,2010-08-26_63V_JB_2
98T,juvenile,198,2010-08-26_98T_JB_6
43J,juvenile,542,2010-08-27_43J_JB_3
04T,juvenile,68,2010-09-01_04T_JB_4
25L,juvenile,58,2010-09-01_25L_JB_2
29B,juvenile,141,2010-09-01_29B_JB_5
42L,87K,62,2010-09-01_42L_JB_6
43J,juvenile,269,2010-09-01_43J_JB_2
44J,juvenile,55,2010-09-01_44J_JB_6
00O,90D,435,2010-09-02_00O_JB_6
14L,juvenile,361,2010-09-02_14L_JB_6
44J,juvenile,108,2010-09-02_44J_JB_2
44J,juvenile,26,2010-09-02_44J_JB_2
59A,juvenile,51,2010-09-03_59A_JB_3
61J,59A,105,2010-09-03_61J_JB_1
73B,juvenile,120,2010-09-14_73B_JB_3
73B,juvenile,91,2010-09-14_73B_JB_3
90D,00O,122,2010-09-14_90D_JB_5
90D,00O,148,2010-09-14_90D_JB_5
98T,56E,220,2010-09-14_98T_JB_3
30C,50I,83,2010-09-16_30C_JB_2
43J,68V,34,2010-09-16_43J_JB_6
64D,juvenile,76,2010-09-16_64D_JB_4
73B,juvenile,63,2010-09-16_73B_JB_5
73B,juvenile,82,2010-09-16_73B_JB_5
40L,juvenile,111,2010-09-17_40L_JB_1
44J,juvenile,124,2010-09-17_44J_JB_3
03J,juvenile,145,2010-10-11_03J_BA_5
14I,78T,50,2010-10-11_14I_BA_2
36S,14L,325,2010-10-11_36S_JB_2
44J,juvenile,370,2010-10-11_44J_JB_2
52P,juvenile,599,2010-10-11_52P_BA_2
61J,juvenile,164,2010-10-11_61J_JB_1
92D,K00,394,2010-10-11_92D_BA_6
10S,juvenile,80,2010-10-12_10S_JB_2
10S,juvenile,128,2010-10-12_10S_JB_2
10S,juvenile,179,2010-10-12_10S_JB_2
Z14,juvenile,223,2010-10-12_Z14_JB_3
17C,R65,48,2010-10-13_17C_BA_2
20F,25L,456,2010-10-13_20F_BA_2
33T,juvenile,177,2010-10-13_33T_JB_5
59A,24B,185,2010-10-13_59A_JB_5
82A,43P,466,2010-10-13_82A_BA_5
82L,juvenile,15,2010-10-13_82L_JB_5
90D,juvenile,532,2010-10-13_90D_JB_4
90D,juvenile,45,2010-10-13_90D_JB_4
30L,juvenile,134,2010-10-14_30L_BA_6
30L,00J,0,2010-10-14_30L_BA_6
63V,juvenile,73,2010-10-14_63V_JB_5
68J,juvenile,88,2010-10-14_68J_BA_3
68J,juvenile,502,2010-10-14_68J_BA_3
92D,juvenile,114,2010-10-14_92D_BA_1
92D,juvenile,106,2010-10-14_92D_BA_1
R65,43J,562,2010-10-14_R65_JB_5
31I,81O,111,2010-10-18_31I_BA_6
K00,O34,212,2010-10-18_K00_JB_5
17C,juvenile,348,2010-10-19_17C_BA_6
28J,juvenile,217,2010-10-19_28J_BA_5
50I,64D,222,2010-10-19_50I_BA_6
52P,juvenile,46,2010-10-19_52P_BA_5
64D,14I,84,2010-10-19_64D_JB_5
68J,juvenile,57,2010-10-19_68J_BA_5
68J,juvenile,187,2010-10-19_68J_BA_5
68J,juvenile,115,2010-10-19_68J_BA_5
85B,59A,418,2010-10-19_85B_JB_6
96B,juvenile,34,2010-10-19_96B_JB_6
96B,juvenile,62,2010-10-19_96B_JB_6
14L,juvenile,147,2010-10-20_14L_JB_4
32S,juvenile,89,2010-10-20_32S_BA_5
35N,78T,67,2010-10-20_35N_BA_3
62H,K00,340,2010-10-20_62H_JB_4
78T,juvenile,140,2010-10-21_78T_JB_2
87K,juvenile,100,2010-10-21_87K_BA_5
04N,17C,160,2010-10-25_04N_BA_3
17C,R65,301,2010-10-25_17C_BA_2
20F,73B,322,2010-10-25_20F_BA_2
60P,juvenile,355,2010-10-25_60P_BA_3
92D,juvenile,118,2010-10-26_92D_BA_5
92D,juvenile,16,2010-10-26_92D_BA_5
T53,31S,180,2010-10-26_T53_BA_6
24B,juvenile,34,2010-10-27_24B_BA_6
40L,57H,50,2010-10-27_40L_JB_3
98T,juvenile,336,2010-10-27_98T_JB_6
98T,juvenile,233,2010-10-27_98T_JB_6
Z14,57H,52,2010-10-27_Z14_JB_6
Z14,57H,237,2010-10-27_Z14_JB_6
05I,81O,389,2010-10-28_05I_BA_6
61J,85B,143,2010-10-28_61J_JB_6
61J,85B,226,2010-10-28_61J_JB_6
74S,04T,290,2010-10-28_74S_BA_3
92D,juvenile,120,2010-10-28_92D_BA_2
35V,X58,125,2010-10-29_35V_BA_2
O52,88I,66,2010-10-29_O52_JB_1
00O,juvenile,50,2010-11-02_00O_JB_6
00O,90D,127,2010-11-02_00O_JB_6
90D,juvenile,195,2010-11-02_90D_JB_5
14L,68V,598,2010-11-03_14L_JB_6
29H,juvenile,457,2010-11-03_29H_JB_5
33T,juvenile,441,2010-11-03_33T_JB_6
34N,juvenile,273,2010-11-03_34N_JB_4
R65,17C,210,2010-11-03_R65_JB_6
10S,juvenile,113,2010-11-04_10S_JB_3
44J,juvenile,121,2010-11-04_44J_JB_4
44J,juvenile,32,2010-11-04_44J_JB_4
44J,68J,190,2010-11-04_44J_JB_4
57H,juvenile,171,2010-11-04_57H_JB_3
98T,juvenile,182,2010-11-04_98T_JB_4
98T,juvenile,118,2010-11-04_98T_JB_4
63V,50I,237,2010-11-08_63V_JB_6
98T,68V,254,2010-11-08_98T_JB_6
36S,59A,181,2010-11-09_36S_JB_4
64D,juvenile,116,2010-11-09_64D_JB_5
98T,10S,122,2010-11-09_98T_JB_3
98T,juvenile,25,2010-11-09_98T_JB_3
00O,82L,65,2010-11-12_00O_JB_1
04N,64P,78,2010-11-12_04N_BA_3
04N,64P,62,2010-11-12_04N_BA_3
28N,juvenile,35,2010-11-12_28N_BA_2
78T,85B,71,2010-11-12_78T_JB_2
17C,36S,495,2010-11-16_17C_BA_5
28N,34N,72,2010-11-16_28N_BA_4
43F,juvenile,140,2010-11-16_43F_BA_3
43F,juvenile,78,2010-11-16_43F_BA_3
73B,juvenile,46,2010-11-16_73B_JB_5
73B,juvenile,82,2010-11-16_73B_JB_5
92D,34N,199,2010-11-16_92D_BA_4
92D,K00,127,2010-11-16_92D_BA_4
T53,31S,354,2010-11-16_T53_BA_5
64D,juvenile,121,2010-11-17_64D_JB_4
10S,juvenile,122,2010-11-18_10S_JB_4
24B,85B,598,2010-11-18_24B_BA_3
35N,92D,170,2010-11-18_35N_BA_5
35N,92D,54,2010-11-18_35N_BA_5
52P,juvenile,124,2010-11-18_52P_BA_3
56E,73B,403,2010-11-18_56E_BA_5
82A,juvenile,82,2010-11-18_82A_BA_3
04I,55V,61,2010-11-22_04I_BA_6
14I,78T,39,2010-11-22_14I_BA_6
32S,juvenile,3,2010-11-22_32S_BA_4
36Z,juvenile,124,2010-11-22_36Z_BA_4
52P,68V,197,2010-11-22_52P_BA_5
52P,juvenile,154,2010-11-22_52P_BA_5
52P,juvenile,7,2010-11-22_52P_BA_5
43F,juvenile,406,2010-11-23_43F_BA_5
56E,V36,467,2010-11-23_56E_BA_6
68J,juvenile,56,2010-11-23_68J_BA_4
68J,juvenile,68,2010-11-23_68J_BA_4
60P,juvenile,34,2010-11-24_60P_BA_5
60P,juvenile,43,2010-11-24_60P_BA_5
28J,24B,143,2010-11-03_28J_BA_5
68J,juvenile,200,2010-11-03_68J_BA_5
03J,61J,459,2010-11-30_03J_BA_6
60P,juvenile,141,2010-11-30_60P_BA_4
60P,juvenile,201,2010-11-30_60P_BA_4
60P,juvenile,87,2010-11-30_60P_BA_4
60P,juvenile,46,2010-11-30_60P_BA_4
05I,81O,118,2010-11-04_05I_BA_5
28N,juvenile,12,2010-11-08_28N_BA_6
28N,juvenile,24,2010-11-08_28N_BA_6
04I,42L,180,2010-11-09_04I_BA_4
00O,90D,95,2010-12-07_00O_JB_6
O52,88I,195,2010-12-07_O52_JB_4
30C,07D,139,2010-12-08_30C_JB_2
61J,juvenile,137,2010-12-08_61J_JB_4
61J,juvenile,2,2010-12-08_61J_JB_4
63V,61J,30,2010-12-08_63V_JB_5
63V,61J,55,2010-12-08_63V_JB_5
57H,juvenile,91,2010-12-09_57H_JB_2
90D,juvenile,152,2010-12-09_90D_JB_3
90D,juvenile,95,2010-12-09_90D_JB_3
Z14,juvenile,54,2010-12-09_Z14_JB_3
36Z,00J,97,2010-12-01_36Z_BA_6
36Z,juvenile,318,2010-12-01_36Z_BA_6
43H,juvenile,195,2010-12-01_43H_JB_6
44J,juvenile,33,2010-12-01_44J_JB_2
92D,juvenile,195,2010-12-01_92D_BA_5
R65,juvenile,117,2010-12-01_R65_JB_5
Z14,V36,151,2010-12-01_Z14_JB_5
68V,10S,291,2010-12-10_68V_BA_2
36S,85B,232,2010-12-13_36S_JB_3
04N,98T,599,2010-12-14_04N_BA_6
29Z,56A,166,2010-12-14_29Z_BA_6
43F,85B,598,2010-12-14_43F_BA_6
57H,juvenile,235,2010-12-15_57H_JB_5
57H,juvenile,85,2010-12-15_57H_JB_5
57H,juvenile,161,2010-12-15_57H_JB_5
40L,adult female,334,2010-12-16_40L_JB_2
55V,04I,141,2010-12-16_55V_BA_6
55V,61J,157,2010-12-16_55V_BA_6
62H,juvenile,294,2010-12-16_62H_JB_2
73B,juvenile,136,2010-12-16_73B_JB_4
78T,juvenile,270,2010-12-16_78T_JB_6
81O,juvenile,48,2010-12-16_81O_BA_6
84J,81O,34,2010-12-16_84J_BA_6
85B,V36,234,2010-12-16_85B_JB_3
R65,60P,96,2010-12-16_R65_JB_4
V36,85B,361,2010-12-16_V36_BA_3
73B,juvenile,313,2010-12-17_73B_JB_2
O52,juvenile,240,2010-12-17_O52_JB_3
04T,juvenile,123,2010-12-02_04T_JB_6
62H,juvenile,597,2010-12-02_62H_JB_5
73B,82L,143,2010-12-02_73B_JB_1
96T,juvenile,598,2010-12-02_96T_BA_5
R65,juvenile,135,2010-12-02_R65_JB_6
28J,R65,64,2010-12-22_28J_BA_3
28J,R65,61,2010-12-22_28J_BA_3
28J,82A,1,2010-12-22_28J_BA_3
50I,63V,80,2010-12-03_50I_BA_2
60P,juvenile,148,2010-12-06_60P_BA_5
29V,juvenile,1,2010-12-07_29V_BA_4
43F,juvenile,35,2010-12-07_43F_BA_6
25R,30L,154,2010-12-08_25R_BA_1
74S,juvenile,521,2010-12-08_74S_BA_5
60P,juvenile,458,2010-08-11_60P_BA_3
60P,juvenile,7,2010-08-11_60P_BA_3
64P,juvenile,19,2010-08-11_64P_BA_3
74S,04T,312,2010-08-11_74S_BA_6
05I,04I,598,2010-08-12_05I_BA_6
36Z,juvenile,235,2010-08-12_36Z_BA_5
55V,00O,100,2010-08-12_55V_BA_6
36Z,juvenile,56,2010-08-13_36Z_BA_3
17C,98T,232,2010-08-16_17C_BA_3
17C,juvenile,177,2010-08-16_17C_BA_3
17C,98T,43,2010-08-16_17C_BA_3
43F,juvenile,27,2010-08-16_43F_BA_6
43F,85B,14,2010-08-16_43F_BA_6
60P,juvenile,28,2010-08-16_60P_BA_6
64P,juvenile,323,2010-08-16_64P_BA_5
68V,juvenile,251,2010-08-17_68V_BA_5
31I,36T,132,2010-08-18_31I_BA_5
05I,96T,147,2010-08-19_05I_BA_5
24B,04N,41,2010-08-19_24B_BA_4
43F,85B,307,2010-08-19_43F_BA_3
68V,juvenile,274,2010-08-02_68V_BA_6
87K,42L,66,2010-08-20_87K_BA_3
87K,42L,123,2010-08-20_87K_BA_3
87K,42L,85,2010-08-20_87K_BA_3
87K,42L,106,2010-08-20_87K_BA_3
87K,42L,47,2010-08-20_87K_BA_3
87K,42L,23,2010-08-20_87K_BA_3
14I,juvenile,64,2010-08-24_14I_BA_6
20F,juvenile,31,2010-08-24_20F_BA_6
20F,juvenile,56,2010-08-24_20F_BA_6
28J,V36,182,2010-08-24_28J_BA_5
28J,V36,365,2010-08-24_28J_BA_5
03J,juvenile,118,2010-08-25_03J_BA_5
35N,juvenile,130,2010-08-25_35N_BA_4
36Z,00J,125,2010-08-25_36Z_BA_5
36Z,juvenile,178,2010-08-25_36Z_BA_5
64P,juvenile,324,2010-08-26_64P_BA_5
17C,14L,317,2010-08-27_17C_BA_3
V36,85B,316,2010-08-27_V36_BA_2
31S,42L,523,2010-08-03_31S_BA_6
50I,juvenile,26,2010-08-03_50I_BA_5
60P,juvenile,133,2010-08-03_60P_BA_6
60P,juvenile,114,2010-08-03_60P_BA_6
60P,juvenile,164,2010-08-03_60P_BA_6
14I,juvenile,38,2010-08-04_14I_BA_4
14I,juvenile,30,2010-08-04_14I_BA_4
50I,juvenile,14,2010-08-04_50I_BA_3
68J,juvenile,265,2010-08-04_68J_BA_3
14I,85B,342,2010-08-06_14I_BA_3
14I,juvenile,161,2010-08-06_14I_BA_3
04N,R65,62,2010-09-01_04N_BA_5
04N,juvenile,136,2010-09-01_04N_BA_5
04N,juvenile,131,2010-09-01_04N_BA_5
04N,17C,144,2010-09-01_04N_BA_5
35N,78T,134,2010-09-01_35N_BA_6
35N,juvenile,297,2010-09-01_35N_BA_6
35N,juvenile,109,2010-09-01_35N_BA_6
35V,juvenile,18,2010-09-01_35V_BA_4
60E,juvenile,33,2010-09-01_60E_BA_5
52P,juvenile,213,2010-09-14_52P_BA_4
60E,juvenile,205,2010-09-14_60E_BA_6
68J,85B,36,2010-09-14_68J_BA_5
68V,N12,496,2010-09-15_68V_BA_2
04I,juvenile,24,2010-09-16_04I_BA_5
04I,juvenile,152,2010-09-16_04I_BA_5
29Z,14I,153,2010-09-16_29Z_BA_4
92D,30C,473,2010-09-16_92D_BA_4
60P,juvenile,241,2010-09-17_60P_BA_1
03J,juvenile,235,2010-09-02_03J_BA_6
50I,juvenile,124,2010-09-02_50I_BA_5
50I,juvenile,36,2010-09-02_50I_BA_5
50I,juvenile,118,2010-09-02_50I_BA_5
52P,juvenile,271,2010-09-02_52P_BA_3
52P,juvenile,43,2010-09-02_52P_BA_3
68J,juvenile,140,2010-09-02_68J_BA_5
68J,85B,87,2010-09-02_68J_BA_5
04N,unknown,518,2010-09-21_04N_BA_6
14I,juvenile,53,2010-09-21_14I_BA_5
60P,juvenile,62,2010-09-21_60P_BA_5
60P,juvenile,124,2010-09-21_60P_BA_5
60P,64P,7,2010-09-21_60P_BA_5
68V,35N,78,2010-09-21_68V_BA_5
68V,juvenile,520,2010-09-21_68V_BA_5
14I,juvenile,86,2010-09-27_14I_BA_4
20F,30C,163,2010-09-27_20F_BA_1
64D,juvenile,94,2010-09-27_64D_BA_4
64D,juvenile,44,2010-09-27_64D_BA_4
Z14,43F,55,2010-09-27_Z14_BA_1
43J,juvenile,46,2010-09-28_43J_BA_1
43J,juvenile,41,2010-09-28_43J_BA_1
74S,04T,108,2010-09-28_74S_BA_3
28N,juvenile,490,2010-09-07_28N_BA_3
50I,61J,37,2010-09-07_50I_BA_2
55V,04I,299,2010-09-07_55V_BA_2
17C,98T,232,2010-09-08_17C_BA_5
17C,juvenile,48,2010-09-08_17C_BA_5
17C,juvenile,93,2010-09-08_17C_BA_5
28J,juvenile,96,2010-09-08_28J_BA_5
32S,juvenile,81,2010-09-08_32S_BA_2
32S,juvenile,472,2010-09-08_32S_BA_2
36Z,juvenile,88,2010-09-08_36Z_BA_3
36Z,juvenile,78,2010-09-08_36Z_BA_3
36Z,juvenile,21,2010-09-08_36Z_BA_3
68V,63V,1,2010-09-08_68V_BA_4
52P,juvenile,39,2010-09-09_52P_BA_5
juvenile,85B,239,2010-07-28_85B_JB_6
juvenile,29B,224,2010-08-01_29B_JB_4
juvenile,40L,97,2010-08-01_40L_JB_2
juvenile,43P,374,2010-08-01_43P_JB_4
juvenile,43P,32,2010-08-01_43P_JB_4
juvenile,43P,33,2010-08-01_43P_JB_4
O52,88I,179,2010-08-01_88I_JB_6
17C,98T,512,2010-08-01_98T_JB_6
30C,00O,170,2010-08-02_00O_JB_5
