date,observation.name,scan.number,focal.monkey,in.proximity,focal.activity,partners.activity (sequential),time
2010-07-28,2010-07-28_07D_JB_5,1,07D,07D,NA,NA,2010-07-28T11:55:36Z
2010-07-28,2010-07-28_07D_JB_5,2,07D,07D,NA,NA,2010-07-28T12:05:34Z
2010-07-28,2010-07-28_14L_JB_5,1,14L,14L,NA,NA,2010-07-28T12:17:43Z
2010-07-28,2010-07-28_14L_JB_5,2,14L,14L,NA,NA,2010-07-28T12:22:50Z
2010-07-28,2010-07-28_25L_JB_1,1,25L,X44,NA,NA,2010-07-28T07:21:54Z
2010-07-28,2010-07-28_25L_JB_1,2,25L,25L,NA,NA,2010-07-28T07:27:27Z
2010-07-28,2010-07-28_25L_JB_1,3,25L,25L,NA,NA,2010-07-28T07:31:51Z
2010-07-28,2010-07-28_29B_JB_1,1,29B,29B,NA,NA,2010-07-28T08:16:11Z
2010-07-28,2010-07-28_29B_JB_1,2,29B,29B,NA,NA,2010-07-28T08:21:23Z
2010-07-28,2010-07-28_29B_JB_1,3,29B,43P,NA,NA,2010-07-28T08:25:33Z
2010-07-28,2010-07-28_29H_JB_4,1,29H,29H,NA,NA,2010-07-28T11:27:10Z
2010-07-28,2010-07-28_29H_JB_4,2,29H,29H,NA,NA,2010-07-28T11:32:09Z
2010-07-28,2010-07-28_29H_JB_4,3,29H,29H,NA,NA,2010-07-28T11:37:18Z
2010-07-28,2010-07-28_30C_JB_4,1,30C,R65,NA,NA,2010-07-28T11:42:05Z
2010-07-28,2010-07-28_30C_JB_4,2,30C,30C,NA,NA,2010-07-28T11:47:12Z
2010-07-28,2010-07-28_30C_JB_4,3,30C,30C,NA,NA,2010-07-28T11:51:57Z
2010-07-28,2010-07-28_33T_JB_4,1,33T,33T,NA,NA,2010-07-28T11:20:18Z
2010-07-28,2010-07-28_33T_JB_4,2,33T,33T,NA,NA,2010-07-28T11:24:56Z
2010-07-28,2010-07-28_34N_JB_1,1,34N,34N,NA,NA,2010-07-28T08:02:08Z
2010-07-28,2010-07-28_34N_JB_1,2,34N,34N,NA,NA,2010-07-28T08:07:10Z
2010-07-28,2010-07-28_34N_JB_1,3,34N,34N,NA,NA,2010-07-28T08:12:11Z
2010-07-28,2010-07-28_40L_JB_5,1,40L,40L,NA,NA,2010-07-28T12:41:52Z
2010-07-28,2010-07-28_40L_JB_5,2,40L,40L,NA,NA,2010-07-28T12:46:55Z
2010-07-28,2010-07-28_40L_JB_5,3,40L,40L,NA,NA,2010-07-28T12:51:35Z
2010-07-28,2010-07-28_43H_JB_1,1,43H,43H,NA,NA,2010-07-28T07:49:42Z
2010-07-28,2010-07-28_43H_JB_1,2,43H,43H,NA,NA,2010-07-28T07:55:38Z
2010-07-28,2010-07-28_44J_JB_2,1,44J,44J,NA,NA,2010-07-28T08:39:14Z
2010-07-28,2010-07-28_44J_JB_2,2,44J,44J,NA,NA,2010-07-28T08:44:13Z
2010-07-28,2010-07-28_44J_JB_2,3,44J,44J,NA,NA,2010-07-28T08:49:16Z
2010-07-28,2010-07-28_59A_JB_6,1,59A,59A,NA,NA,2010-07-28T13:11:52Z
2010-07-28,2010-07-28_59A_JB_6,2,59A,59A,NA,NA,2010-07-28T13:17:13Z
2010-07-28,2010-07-28_59A_JB_6,3,59A,59A,NA,NA,2010-07-28T13:21:58Z
2010-07-28,2010-07-28_61J_JB_2,1,61J,61J,NA,NA,2010-07-28T08:58:05Z
2010-07-28,2010-07-28_61J_JB_2,2,61J,61J,NA,NA,2010-07-28T09:03:14Z
2010-07-28,2010-07-28_61J_JB_2,3,61J,61J,NA,NA,2010-07-28T09:08:17Z
2010-07-28,2010-07-28_62H_JB_3,1,62H,62H,NA,NA,2010-07-28T09:26:14Z
2010-07-28,2010-07-28_62H_JB_3,2,62H,62H,NA,NA,2010-07-28T09:31:55Z
2010-07-28,2010-07-28_62H_JB_3,3,62H,"24B, 43P",NA,NA,2010-07-28T09:36:24Z
2010-07-28,2010-07-28_62V_JB_3,1,62V,62V,NA,NA,2010-07-28T09:38:11Z
2010-07-28,2010-07-28_62V_JB_3,2,62V,62V,NA,NA,2010-07-28T09:43:36Z
2010-07-28,2010-07-28_62V_JB_3,3,62V,62V,NA,NA,2010-07-28T09:48:10Z
2010-07-28,2010-07-28_63V_JB_5,1,63V,63V,NA,NA,2010-07-28T12:29:31Z
2010-07-28,2010-07-28_63V_JB_5,2,63V,63V,NA,NA,2010-07-28T12:34:39Z
2010-07-28,2010-07-28_63V_JB_5,3,63V,63V,NA,NA,2010-07-28T12:39:28Z
2010-07-28,2010-07-28_73B_JB_3,1,73B,73B,NA,NA,2010-07-28T09:56:50Z
2010-07-28,2010-07-28_73B_JB_3,2,73B,55V,NA,NA,2010-07-28T10:01:45Z
2010-07-28,2010-07-28_73B_JB_3,3,73B,73B,NA,NA,2010-07-28T10:06:45Z
2010-07-28,2010-07-28_78T_JB_6,1,78T,78T,NA,NA,2010-07-28T13:47:36Z
2010-07-28,2010-07-28_78T_JB_6,2,78T,78T,NA,NA,2010-07-28T13:52:38Z
2010-07-28,2010-07-28_78T_JB_6,3,78T,78T,NA,NA,2010-07-28T13:57:33Z
2010-07-28,2010-07-28_85B_JB_6,1,85B,04N,NA,NA,2010-07-28T13:26:09Z
2010-07-28,2010-07-28_85B_JB_6,2,85B,04N,NA,NA,2010-07-28T13:30:54Z
2010-07-28,2010-07-28_85B_JB_6,3,85B,"N12, 04N",NA,NA,2010-07-28T13:34:24Z
2010-07-28,2010-07-28_88I_JB_2,1,88I,99V,NA,NA,2010-07-28T08:27:48Z
2010-07-28,2010-07-28_88I_JB_2,2,88I,88I,NA,NA,2010-07-28T08:32:56Z
2010-07-28,2010-07-28_88I_JB_2,3,88I,44J,NA,NA,2010-07-28T08:37:53Z
2010-07-28,2010-07-28_98T_JB_4,1,98T,N12,NA,NA,2010-07-28T11:03:45Z
