agonism_winner,agonism_loser,agonism_type,winner_sex,loser_sex,date,observer,data_source,focal_individual
07D,juvenile,noncontactagg,Male,Unknown,2011-03-29,JB,focalfollow,agonism.winner
07D,juvenile,noncontactagg,Male,Unknown,2011-03-29,JB,focalfollow,agonism.winner
30C,04T,noncontactagg,Male,Male,2011-03-29,JB,focalfollow,agonism.winner
30C,juvenile,threat,Male,Unknown,2011-03-29,JB,focalfollow,agonism.winner
43P,29V,feargrm,Male,Male,2011-03-29,JB,focalfollow,agonism.winner
43P,80T,feargrm,Male,Male,2011-03-29,JB,focalfollow,agonism.winner
43P,juvenile,noncontactagg,Male,Unknown,2011-03-29,JB,focalfollow,agonism.winner
98T,64D,contactagg,Female,Female,2011-03-29,JB,focalfollow,agonism.winner
98T,juvenile,noncontactagg,Female,Unknown,2011-03-29,JB,focalfollow,agonism.winner
0B8,adult female,noncontactagg,Male,Unknown,2011-03-30,JB,focalfollow,agonism.winner
29H,25R,avoid,Male,Male,2011-03-30,JB,focalfollow,agonism.winner
33T,88I,feargrm,Male,Female,2011-03-30,JB,focalfollow,agonism.winner
43F,43H,avoid,Female,Male,2011-03-30,JB,focalfollow,agonism.winner
79Z,30L,avoid,Female,Male,2011-03-30,JB,focalfollow,agonism.winner
85B,infant,noncontactagg,Male,Unknown,2011-03-30,JB,focalfollow,agonism.winner
85B,2A2,feargrm,Male,Female,2011-03-30,JB,focalfollow,agonism.winner
00O,43H,avoid,Female,Male,2011-03-31,JB,focalfollow,agonism.winner
00O,25L,avoid,Female,Male,2011-03-31,JB,focalfollow,agonism.winner
00O,25L,avoid,Female,Male,2011-03-31,JB,focalfollow,agonism.winner
10S,60P,threat,Female,Female,2011-03-31,JB,focalfollow,agonism.winner
30C,infant,contactagg,Male,Unknown,2011-03-31,JB,focalfollow,agonism.winner
36T,R65,feargrm,Male,Female,2011-03-31,JB,focalfollow,agonism.winner
36T,64P,feargrm,Male,Female,2011-03-31,JB,focalfollow,agonism.winner
