id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,idcode,hrs.focalfollowed,focalcutoff_met
43F,F,1996,20,Z14,R70,Z14,F,1,H,100,4306,6.5,Y
0G5,F,2007,9,43F,75H,43F,F,2,H,97.5,75,6.333333333333333,Y
5C0,F,2005,11,43F,08N,43F,F,3,H,96.25,5030,6.666666666666667,Y
43J,F,1998,18,H74,O23,H74,F,4,H,95,4310,6.666666666666667,Y
4C1,F,2005,11,43J,07D,43J,F,5,H,93.75,4031,6.333333333333333,Y
9D8,F,2006,10,85S,84E,85S,F,6,H,92.5,9048,6.333333333333333,Y
98T,F,2004,12,R65,30C,R65,F,7,H,91.25,9820,6.666666666666667,Y
82A,F,1993,23,H74,H87,H74,F,8,H,90,8201,6.5,Y
6C0,F,2006,10,82A,08N,82A,F,9,H,88.75,6030,6.5,Y
8J6,F,2009,7,60P,91O,60P,F,10,H,87.5,8106,6.333333333333333,Y
04N,F,2000,16,17C,Z06,17C,F,11,H,86.25,414,6.5,Y
3E2,F,2006,10,04N,48L,04N,F,12,H,85,3052,6.333333333333333,Y
92D,F,1994,22,K00,D11,K00,F,13,H,83.75,9204,6.5,Y
0I6,F,2009,7,92D,36S,92D,F,14,H,82.5,96,6.5,Y
64P,F,2000,16,39B,85B,39B,F,15,H,81.25,6416,6.666666666666667,Y
62H,F,1996,20,O53,H87,O53,F,16,H,80,6208,6.5,Y
0A4,F,2004,12,62H,07D,62H,F,17,M,78.75,14,6,Y
2J8,F,2009,7,79C,25L,79C,F,18,M,77.5,2108,6.166666666666667,Y
59A,F,1992,24,NA,658,J97,F,19,M,76.25,5901,6.5,Y
8J8,F,2009,7,59A,36S,59A,F,20,M,75,8108,6.666666666666667,Y
7C0,F,2005,11,O52,64K,O52,F,21,M,73.75,7030,6.333333333333333,Y
56E,F,1996,20,C26,S94,C26,F,22,M,72.5,5605,5.666666666666667,Y
0I5,F,2008,8,90D,36S,90D,F,23,M,71.25,95,6.5,Y
8B0,F,2005,11,48B,08N,48B,F,24,M,70,8020,6.5,Y
2A8,F,2004,12,44J,86D,44J,F,25,M,68.75,2018,6.666666666666667,Y
32S,F,2001,15,V65,45A,V65,F,26,M,67.5,3219,6.5,Y
7D8,F,2006,10,47L,09K,47L,F,27,M,66.25,7048,6.666666666666667,Y
82L,F,2000,16,NA,56C,27C,F,28,M,65,8212,6.333333333333333,Y
00O,F,1999,17,90D,56C,90D,F,29,M,63.75,15,6.5,Y
79Z,F,2004,12,64A,79H,64A,F,30,M,62.5,7926,6.333333333333333,Y
0K7,F,2009,7,79Z,05I,79Z,F,31,M,61.25,117,6.666666666666667,Y
1C0,F,2005,11,V65,08N,V65,F,32,M,60,1030,6.5,Y
57H,F,1997,19,699,J26,699,F,33,M,58.75,5708,6.5,Y
50I,F,1997,19,64A,S56,64A,F,34,M,57.5,5009,6.333333333333333,Y
9H7,F,2008,8,50I,43P,50I,F,35,M,56.25,9087,6.333333333333333,Y
40L,F,1999,17,64A,Z06,64A,F,36,M,55,4012,6.166666666666667,Y
2A7,F,2004,12,40L,79H,40L,F,37,M,53.75,2017,6.333333333333333,Y
55V,F,2003,13,J92,90B,J92,F,38,M,52.5,5522,6,Y
34N,F,1999,17,J92,R70,J92,F,39,M,51.25,3414,6.5,Y
1A3,F,2004,12,34N,86D,34N,F,40,M,50,1013,6.166666666666667,Y
1J7,F,2010,6,X97,64K,X97,F,41,L,48.75,1107,6.5,Y
2H3,F,2008,8,28N,02R,28N,F,42,L,47.5,2083,6.5,Y
3C3,F,2005,11,43I,65F,43I,F,43,L,46.25,3033,6.333333333333333,Y
0K2,F,2009,7,3C3,16N,3C3,F,44,L,45,112,6.333333333333333,Y
61J,F,1999,17,V58,V79,V58,F,45,L,43.75,6110,6.666666666666667,Y
