id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,idcode,hrs.focalfollowed,focalcutoff_met
5B6,F,2005,9,76H,70C,22H,HH,1,H,100,5026,7.666666666666667,Y
77S,F,2003,11,76H,T53,76H,HH,2,H,93.333,7719,7.833333333333333,Y
21N,F,1999,15,N86,Z46,N86,F,3,H,90,2114,7.833333333333333,Y
62S,F,2003,11,N86,40C,N86,HH,4,H,86.667,6219,8,Y
0G3,F,2007,7,62S,08O,62S,HH,5,H,83.333,73,7.833333333333333,Y
2C0,F,2005,9,19J,28B,19J,HH,6,H,80,2030,7.833333333333333,Y
0B9,F,2004,10,19J,78B,19J,HH,7,M,76.667,29,8,Y
48V,F,2003,11,19J,29H,19J,HH,8,M,73.333,4822,8,Y
7E3,F,2007,7,48V,02R,48V,HH,9,M,70,7053,8,Y
39Z,F,2003,11,V78,25B,22H,HH,10,M,66.667,3926,7.833333333333333,Y
22H,F,1996,18,N86,V79,N86,F,11,M,63.333,2208,8,Y
20S,F,2001,13,22H,X58,22H,HH,12,M,60,2019,7.833333333333333,Y
2E8,F,2006,8,13A,15N,13A,HH,13,M,56.667,2058,7.666666666666667,Y
16S,F,2001,13,13A,X61,13A,HH,14,M,53.333,1619,8,Y
73C,F,1994,20,R61,NA,R61,F,15,M,50,7303,7.833333333333333,Y
8E2,F,2007,7,73C,46N,73C,HH,16,L,46.667,8052,8.166666666666666,Y
6B4,F,2005,9,73C,43H,73C,HH,17,L,43.333,6024,7.833333333333333,Y
80S,F,2002,12,73C,T53,73C,HH,18,L,40,8019,8,Y
94S,F,2002,12,66I,T53,66I,HH,19,L,36.667,9419,7.833333333333333,Y
3A9,F,2004,10,81B,96B,81B,HH,20,L,33.333,3019,7.833333333333333,Y
03Z,F,2004,10,81B,79F,81B,HH,21,L,30,326,8,Y
5B4,F,2005,9,55A,02F,55A,HH,22,L,26.667,5024,8,Y
65Z,F,2004,10,55A,40C,55A,HH,23,L,23.333,6526,8,Y
55R,F,2001,13,55A,X61,55A,HH,24,L,20,5518,8,Y
V80,F,1991,23,A71,C18,A71,F,25,L,16.667,2280,7.833333333333333,Y
56R,F,2001,13,V80,43A,V80,HH,26,L,13.333,5618,7.833333333333333,Y
2E9,F,2006,8,56R,15N,56R,HH,27,L,10,2059,8.166666666666666,Y
36O,F,2000,14,V80,90A,V80,HH,28,L,6.667,3615,7.5,Y
7E0,F,2007,7,36O,68N,36O,HH,29,L,3.333,7050,8.166666666666666,Y
2C7,F,2005,9,V72,V45,V72,HH,30,L,0,2037,8,Y
43N,M,1999,15,D82,96B,D82,S,1,H,100,4314,8,Y
76Z,M,2004,10,76H,96B,76H,HH,2,H,85.714,7626,8,Y
36V,M,2003,11,35B,62D,35B,R,3,M,78.571,3622,8,Y
94O,M,2000,14,13B,V45,13B,V,4,M,71.429,9415,8,Y
2D5,M,2006,8,45R,12O,45R,S,5,M,64.286,2045,8,Y
1B7,M,2005,9,06J,18I,06J,R,6,M,57.143,1027,8,Y
41N,M,2000,14,36D,86A,36D,S,7,M,50,4114,6.833333333333333,Y
97V,M,2003,11,V44,69I,V44,R,8,L,42.857,9722,8,Y
50P,M,2001,13,56E,I37,56E,F,9,L,35.714,5016,7,Y
2F8,M,2007,7,08Z,43N,08Z,R,10,L,28.571,2068,7.833333333333333,Y
30V,M,2003,11,70K,25I,70K,R,11,L,21.429,3022,8,Y
4C6,M,2006,8,78I,44E,78I,V,12,L,14.286,4036,5,Y
9C6,M,2006,8,54N,29H,54N,R,13,L,7.143,9036,6.666666666666667,Y
49L,M,1999,15,73C,R70,73C,F,14,L,0,4912,2.3333333333333335,N
49Z,M,2004,10,15E,85E,15E,V,NA,NA,NA,4926,2.3333333333333335,N
13I,M,1998,16,V58,A98,V58,F,NA,NA,NA,NA,0.3333333333333333,N
