date,observation.name,scan.number,focal.monkey,in.proximity,focal.activity,partners.activity (sequential),time
2014-04-07,2014-04-07_03Z_EL_1,1,03Z,03Z,rest,NA,2014-04-07T07:33:14Z
2014-04-07,2014-04-07_03Z_EL_1,2,03Z,03Z,rest,NA,2014-04-07T07:38:13Z
2014-04-07,2014-04-07_03Z_EL_1,3,03Z,03Z,rest,NA,2014-04-07T07:43:12Z
2014-04-07,2014-04-07_0B9_EL_2,1,0B9,0B9,rest,NA,2014-04-07T08:56:12Z
2014-04-07,2014-04-07_0B9_EL_2,2,0B9,0B9,rest,NA,2014-04-07T09:01:16Z
2014-04-07,2014-04-07_0B9_EL_2,3,0B9,0B9,rest,NA,2014-04-07T09:06:12Z
2014-04-07,2014-04-07_0G3_EL_5,1,0G3,"0G3, 97V",rest,rest,2014-04-07T12:48:15Z
2014-04-07,2014-04-07_0G3_EL_5,2,0G3,"0G3, 97V",rest,rest,2014-04-07T12:53:15Z
2014-04-07,2014-04-07_0G3_EL_5,3,0G3,"0G3, 1B7",rest,rest,2014-04-07T12:58:13Z
2014-04-07,2014-04-07_13I_EL_4,1,13I,13I,travel,NA,2014-04-07T11:53:07Z
2014-04-07,2014-04-07_13I_EL_4,2,13I,13I,rest,NA,2014-04-07T11:58:04Z
2014-04-07,2014-04-07_13I_EL_4,3,13I,13I,rest,NA,2014-04-07T12:03:05Z
2014-04-07,2014-04-07_16S_EL_3,1,16S,16S,rest,NA,2014-04-07T09:34:04Z
2014-04-07,2014-04-07_16S_EL_3,2,16S,16S,rest,NA,2014-04-07T09:39:04Z
2014-04-07,2014-04-07_16S_EL_3,3,16S,16S,rest,NA,2014-04-07T09:44:04Z
2014-04-07,2014-04-07_1B7_EL_6,1,1B7,1B7,rest,NA,2014-04-07T13:38:21Z
2014-04-07,2014-04-07_1B7_EL_6,2,1B7,1B7,rest,NA,2014-04-07T13:43:23Z
2014-04-07,2014-04-07_1B7_EL_6,3,1B7,1B7,rest,NA,2014-04-07T13:48:21Z
