agonism_winner,agonism_loser,agonism_type,winner_sex,loser_sex,date,observer,data_source,focal_individual
1C5,juvenile,threat,Female,Unknown,2013-08-28,CM,focalfollow,agonism.winner
1C5,juvenile,contactagg,Female,Unknown,2013-08-28,CM,focalfollow,agonism.winner
24V,juvenile,contactagg,Female,Unknown,2013-08-28,CM,focalfollow,agonism.winner
24V,6D9,submit,Female,Female,2013-08-28,CM,focalfollow,agonism.winner
24V,60R,threat,Female,Female,2013-08-28,CM,focalfollow,agonism.winner
24V,76J,avoid,Female,Female,2013-08-28,CM,focalfollow,agonism.winner
24V,6D9,submit,Female,Female,2013-08-28,CM,focalfollow,agonism.winner
24V,76J,displace,Female,Female,2013-08-28,CM,focalfollow,agonism.winner
24V,juvenile,noncontactagg,Female,Unknown,2013-08-28,CM,focalfollow,agonism.winner
24V,93O,displace,Female,Female,2013-08-28,CM,focalfollow,agonism.winner
24V,juvenile,threat,Female,Unknown,2013-08-28,CM,focalfollow,agonism.winner
25P,juvenile,threat,Female,Unknown,2013-08-28,CM,focalfollow,agonism.winner
2C3,juvenile,contactagg,Female,Unknown,2013-08-28,CM,focalfollow,agonism.winner
2C3,3A2,threat,Female,Female,2013-08-28,CM,focalfollow,agonism.winner
2C3,juvenile,threat,Female,Unknown,2013-08-28,CM,focalfollow,agonism.winner
37V,juvenile,threat,Female,Unknown,2013-08-28,CM,focalfollow,agonism.winner
53E,juvenile,threat,Female,Unknown,2013-08-28,CM,focalfollow,agonism.winner
53E,juvenile,threat,Female,Unknown,2013-08-28,CM,focalfollow,agonism.winner
6C2,juvenile,noncontactagg,Female,Unknown,2013-08-28,CM,focalfollow,agonism.winner
6D4,juvenile,contactagg,Female,Unknown,2013-08-28,CM,focalfollow,agonism.winner
6D9,juvenile,threat,Female,Unknown,2013-08-28,CM,focalfollow,agonism.winner
76J,juvenile,noncontactagg,Female,Unknown,2013-08-28,CM,focalfollow,agonism.winner
9C5,juvenile,noncontactagg,Female,Unknown,2013-08-28,CM,focalfollow,agonism.winner
9C5,6D4,threat,Female,Female,2013-08-28,CM,focalfollow,agonism.winner
19A,juvenile,contactagg,Female,Unknown,2013-08-29,CM,focalfollow,agonism.winner
24V,juvenile,threat,Female,Unknown,2013-08-29,CM,focalfollow,agonism.winner
25P,juvenile,noncontactagg,Female,Unknown,2013-08-29,CM,focalfollow,agonism.winner
25P,unknown,threat,Female,Unknown,2013-08-29,CM,focalfollow,agonism.winner
49V,juvenile,threat,Female,Unknown,2013-08-29,CM,focalfollow,agonism.winner
60R,juvenile,threat,Female,Unknown,2013-08-29,CM,focalfollow,agonism.winner
6C2,juvenile,threat,Female,Unknown,2013-08-29,CM,focalfollow,agonism.winner
1E2,4D8,displace,Female,Female,2013-08-30,CM,focalfollow,agonism.winner
4D8,6D6,contactagg,Female,Female,2013-08-30,CM,focalfollow,agonism.winner
53E,adult male,threat,Female,Unknown,2013-08-30,CM,focalfollow,agonism.winner
55J,juvenile,threat,Female,Unknown,2013-08-30,CM,focalfollow,agonism.winner
55J,adult male,threat,Female,Unknown,2013-08-30,CM,focalfollow,agonism.winner
60R,adult male,threat,Female,Unknown,2013-08-30,CM,focalfollow,agonism.winner
62R,juvenile,threat,Female,Unknown,2013-08-30,CM,focalfollow,agonism.winner
62R,juvenile,threat,Female,Unknown,2013-08-30,CM,focalfollow,agonism.winner
62R,25P,submit,Female,Female,2013-08-30,CM,focalfollow,agonism.winner
6D4,juvenile,threat,Female,Unknown,2013-08-30,CM,focalfollow,agonism.winner
6D4,juvenile,threat,Female,Unknown,2013-08-30,CM,focalfollow,agonism.winner
6D9,44V,contactagg,Female,Female,2013-08-30,CM,focalfollow,agonism.winner
6D9,juvenile,threat,Female,Unknown,2013-08-30,CM,focalfollow,agonism.winner
6D9,juvenile,threat,Female,Unknown,2013-08-30,CM,focalfollow,agonism.winner
76J,juvenile,threat,Female,Unknown,2013-08-30,CM,focalfollow,agonism.winner
83Z,juvenile,noncontactagg,Female,Unknown,2013-08-30,CM,focalfollow,agonism.winner
86Z,juvenile,avoid,Female,Unknown,2013-08-30,CM,focalfollow,agonism.winner
19A,juvenile,threat,Female,Unknown,2013-09-03,CM,overtime,agonism.winner
1E2,76J,feargrm,Female,Female,2013-09-03,CM,focalfollow,agonism.winner
1E2,juvenile,contactagg,Female,Unknown,2013-09-03,CM,focalfollow,agonism.winner
1E2,21H,feargrm,Female,Female,2013-09-03,CM,focalfollow,agonism.winner
1E2,21H,threat,Female,Female,2013-09-03,CM,focalfollow,agonism.winner
1E2,juvenile,threat,Female,Unknown,2013-09-03,CM,focalfollow,agonism.winner
