groom_giver,groom_reciever,constrained_duration,observation_name
9I8,juvenile male,14,2017-05-16_9I8_JN_1
1P0,8L3,2,2017-05-31_1P0_JN_4
1L1,1C5,4,2017-08-09_1L1_JN_4
97Z,juvenile female,17,2017-05-22_97Z_JN_4
7F0,juvenile female,17,2017-08-31_7F0_JN_4
76J,juvenile female,18,2017-08-03_76J_JN_4
0M6,6D4,18,2017-08-30_0M6_JN_1
0M6,6D4,20,2017-08-30_0M6_JN_1
6L4,juvenile male,8,2017-07-03_6L4_JN_4
1S8,juvenile male,10,2017-05-15_1S8_JN_4
25P,juvenile female,22,2017-06-13_25P_JN_1
1R7,juvenile female,24,2017-06-23_1R7_JN_4
93O,juvenile male,25,2017-08-10_93O_JN_4
2R9,juvenile female,26,2017-06-07_2R9_JN_4
62R,juvenile male,26,2017-08-03_62R_JN_4
8C9,1C5,26,2017-06-14_8C9_JN_4
5J3,6A9,27,2017-06-19_5J3_JN_1
2C3,juvenile,13,2017-05-24_2C3_JN_4
8C9,51V,28,2017-06-01_8C9_JN_4
1L1,1C5,29,2017-08-31_1L1_JN_4
24V,8L3,10,2017-08-10_24V_JN_1
4Q4,9I8,20,2017-06-23_4Q4_JN_4
6D9,76J,30,2017-07-31_6D9_JN_4
6D6,juvenile female,19,2017-06-15_6D6_JN_4
2C3,juvenile male,32,2017-05-15_2C3_JN_1
16R,juvenile female,33,2017-06-12_16R_JN_4
9N6,8I9,34,2017-07-28_9N6_JN_4
0J5,juvenile male,34,2017-07-17_0J5_JN_4
24V,2J7,36,2017-08-10_24V_JN_1
60R,6K6,36,2017-05-30_60R_JN_4
8O9,4D8,36,2017-08-07_8O9_JN_1
6D6,juvenile,37,2017-05-16_6D6_JN_4
7I8,juvenile female,38,2017-08-14_7I8_JN_1
83Z,juvenile female,38,2017-08-15_83Z_JN_4
6D6,juvenile male,40,2017-05-16_6D6_JN_4
46Z,86Z,30,2017-08-15_46Z_JN_1
8L3,juvenile female,41,2017-08-29_8L3_JN_4
1O9,83Z,43,2017-05-15_1O9_JN_4
6D4,51V,20,2017-06-23_6D4_JN_4
0J5,juvenile female,43,2017-05-09_0J5_JN_1
37V,juvenile female,43,2017-06-22_37V_JN_4
3G3,4R7,44,2017-05-08_3G3_JN_1
0J5,juvenile female,45,2017-06-06_0J5_JN_1
4R4,juvenile female,47,2017-08-07_4R4_JN_1
7J7,24V,47,2017-08-10_7J7_JN_4
9I8,juvenile female,48,2017-05-24_9I8_JN_4
7O3,juvenile female,49,2017-06-15_7O3_JN_4
0J5,juvenile female,49,2017-05-09_0J5_JN_1
2C4,juvenile female,50,2017-05-12_2C4_JN_4
9N6,83Z,50,2017-07-28_9N6_JN_4
6L1,juvenile male,41,2017-05-23_6L1_JN_1
7O3,24V,35,2017-06-09_7O3_JN_1
1C7,0J5,52,2017-07-05_1C7_JN_4
1S5,juvenile male,52,2017-08-30_1S5_JN_1
24V,juvenile female,52,2017-06-22_24V_JN_4
51V,juvenile male,53,2017-05-31_51V_JN_4
1R7,juvenile female,54,2017-07-06_1R7_JN_1
51J,juvenile male,55,2017-08-10_51J_JN_4
9H9,93O,46,2017-08-03_9H9_JN_4
9L9,juvenile,45,2017-06-22_9L9_JN_4
1E2,1E2,38,2017-06-05_1E2_JN_1
6L1,juvenile male,33,2017-06-27_6L1_JN_4
6D4,juvenile female,58,2017-08-28_6D4_JN_1
0M6,99L,58,2017-06-08_0M6_JN_1
8O9,2J7,36,2017-05-16_8O9_JN_4
9N6,8I9,33,2017-07-28_9N6_JN_4
4P6,0J5,45,2017-08-21_4P6_JN_4
0Q5,2C4,61,2017-08-07_0Q5_JN_4
2C3,juvenile female,61,2017-05-30_2C3_JN_1
3Q9,1E2,52,2017-06-29_3Q9_JN_1
60R,56K,63,2017-06-22_60R_JN_4
49V,juvenile male,64,2017-08-28_49V_JN_1
83Z,2J7,64,2017-07-25_83Z_JN_1
49V,1C7,66,2017-06-13_49V_JN_4
8O9,4D8,68,2017-05-09_8O9_JN_1
0J5,juvenile male,45,2017-07-17_0J5_JN_4
0J5,juvenile,68,2017-08-22_0J5_JN_4
