id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,idcode,hrs.focalfollowed,focalcutoff_met
5H4,F,2008,9,21V,02R,21V,KK,1,H,100,5084,1.75,Y
1P0,F,2012,5,5H4,03N,5H4,KK,2,H,97.05882353,1160,0.9166666666666666,Y
8L3,F,2010,7,11N,94O,11N,KK,3,H,95.58823529,8129,1.75,Y
24V,F,2003,14,Z51,70C,Z51,KK,4,H,94.11764706,2422,2,Y
3R0,F,2013,4,24V,51J,24V,KK,5,H,92.64705882,3180,0.8333333333333334,Y
7O3,F,2012,5,24V,16R,24V,KK,6,H,91.17647059,7153,1,Y
62R,F,2002,15,Z51,Z46,Z51,KK,7,H,89.70588235,6218,1.4166666666666667,Y
2J7,F,2009,8,62R,03N,62R,KK,8,H,88.23529412,2107,1.9166666666666667,Y
2C3,F,2005,12,R75,S76,R75,KK,9,H,86.76470588,2033,1.6666666666666667,Y
0M6,F,2011,6,2C3,11Z,2C3,KK,10,H,85.29411765,136,0.9166666666666666,Y
0K8,F,2009,8,2C3,56K,2C3,KK,11,H,83.82352941,118,1.8333333333333333,Y
76J,F,1999,18,R75,X81,R75,F,12,H,82.35294118,7610,1.9166666666666667,Y
4D8,F,2006,11,76J,94O,76J,KK,13,H,80.88235294,4048,1.9166666666666667,Y
8O9,F,2012,5,4D8,27J,4D8,KK,14,M,79.41176471,8159,0.8333333333333334,Y
4F1,F,2007,10,99N,09L,99N,KK,15,M,77.94117647,4061,1.8333333333333333,Y
1E2,F,2006,11,88R,84J,88R,KK,16,M,76.47058824,1052,1.9166666666666667,Y
1P4,F,2012,5,1E2,16R,1E2,KK,17,M,75,1164,0.9166666666666666,Y
9N6,F,2011,6,0B6,17L,0B6,KK,18,M,73.52941176,9146,0.75,Y
1O7,F,2012,5,21H,97Z,21H,KK,19,M,72.05882353,1157,0.9166666666666666,Y
7J7,F,2009,8,74T,94O,74T,KK,20,M,70.58823529,7107,1.9166666666666667,Y
