"id","sex","year.of.birth","age","mother","father","behavioral.mother","group.at.birth","rank","ordinal.rank","percofsex.dominanted","numObs","propObs","hrs.focalfollowed"
"5H4","F",2008,10,"21V","02R","21V","KK",1,"H",100,865,0.0216228377162284,8.01666708329167
"8L3","F",2010,8,"11N","94O","11N","KK",2,"H",95.45454545,785,0.0196230376962304,7.27524122587741
"24V","F",2003,15,"Z51","70C","Z51","KK",3,"H",93.18181818,733,0.0183231676832317,6.79331441855814
"2J7","F",2009,9,"62R","03N","62R","KK",4,"H",90.90909091,797,0.0199230076992301,7.38645510448955
"1E2","F",2006,12,"88R","84J","88R","KK",5,"H",88.63636364,710,0.0177482251774823,6.58015448455154
"9N6","F",2011,7,"0B6","17L","0B6","KK",6,"H",86.36363636,707,0.0176732326767323,6.55235101489851
"4F1","F",2007,11,"99N","09L","99N","KK",7,"H",84.09090909,795,0.0198730126987301,7.3679194580542
"76J","F",1999,19,"R75","X81","R75","F",8,"H",81.81818181,781,0.0195230476952305,7.2381699330067
"4D8","F",2006,12,"76J","94O","76J","KK",9,"M",79.54545455,785,0.0196230376962304,7.27524122587741
"2C3","F",2005,13,"R75","S76","R75","KK",10,"M",77.27272727,707,0.0176732326767323,6.55235101489851
"0M6","F",2011,7,"2C3","11Z","2C3","KK",11,"M",75,525,0.0131236876312369,4.86560718928107
"0K8","F",2009,9,"2C3","56K","2C3","KK",12,"M",72.72727273,609,0.0152234776522348,5.64410433956604
"7J7","F",2009,9,"74T","94O","74T","KK",13,"M",70.45454545,631,0.0157734226577342,5.84799645035497
"86Z","F",2004,14,"58H","30G","58H","KK",14,"M",68.18181818,739,0.0184731526847315,6.84892135786421
"60R","F",2001,17,"58H","K14","58H","KK",15,"M",65.90909091,640,0.015998400159984,5.93140685931407
"6K6","F",2010,8,"60R","99L","60R","KK",16,"M",63.63636364,613,0.0153234676532347,5.68117563243676
"6D6","F",2006,12,"45F","79H","45F","KK",17,"M",61.36363636,670,0.0167483251674833,6.20944155584441
"3F7","F",2007,11,"75J","09L","75J","KK",18,"M",59.09090909,659,0.0164733526647335,6.10749550044995
"6C2","F",2005,13,"75J","84J","75J","KK",19,"M",56.81818182,640,0.015998400159984,5.93140685931407
"83Z","F",2004,14,"58N","X81","58N","KK",20,"M",54.54545455,793,0.0198230176982302,7.34938381161884
"8I9","F",2009,9,"83Z","94O","83Z","KK",21,"M",52.27272727,608,0.0151984801519848,5.63483651634836
"2C4","F",2005,13,"53E","57F","53E","KK",22,"M",50,701,0.0175232476752325,6.49674407559244
"6D9","F",2006,12,"64R","56K","64R","KK",23,"L",47.72727273,590,0.0147485251474853,5.46801569843016
"6M7","F",2011,7,"6D9","97Z","6D9","KK",24,"L",45.45454545,564,0.0140985901409859,5.22705229477052
"7I8","F",2009,9,"53E","68N","53E","KK",25,"L",43.18181818,757,0.0189231076892311,7.01574217578242
"3F5","F",2007,11,"48J","56K","48J","KK",26,"L",40.90909091,606,0.0151484851514849,5.61630086991301
"9I8","F",2009,9,"3A2","20J","3A2","KK",27,"L",38.63636364,688,0.0171982801719828,6.37626237376262
"44V","F",2004,14,"O55","S56","O55","KK",28,"L",36.36363636,372,0.0092990700929907,3.4476302369763
"37V","F",2003,15,"19A","90B","19A","KK",29,"L",34.09090909,511,0.0127737226277372,4.73585766423358
"6L1","F",2010,8,"37V","60T","37V","KK",30,"L",31.81818182,635,0.0158734126587341,5.88506774322568
"1C7","F",2005,13,"19A","09L","19A","KK",31,"L",29.54545455,586,0.0146485351464854,5.43094440555944
"4M9","F",2011,7,"1C7","64S","1C7","KK",32,"L",27.27272727,408,0.0101989801019898,3.78127187281272
"2F2","F",2007,11,"L84","57F","L84","KK",33,"L",25,606,0.0151484851514849,5.61630086991301
