id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,idcode,hrs.focalfollowed,focalcutoff_met
69O,F,2001,14,D07,N60,D07,R,1,H,100,6915,4,Y
2C8,F,2006,9,69O,80B,69O,R,2,H,96.923,2038,4,Y
2F0,F,2007,8,69O,13I,69O,R,3,H,95.385,2060,4,Y
4H0,F,2008,7,38E,49L,38E,R,4,H,93.846,4080,4,Y
4B2,F,2005,10,95A,O15,95A,R,5,H,92.308,4022,4,Y
14Z,F,2003,12,95A,L83,95A,R,6,H,90.769,1426,4,Y
8F0,F,2007,8,14Z,57D,14Z,R,7,H,89.231,8060,4,Y
1E7,F,2006,9,22S,80B,22S,R,8,H,87.692,1057,4,Y
X91,F,1991,24,D07,E05,D07,R,9,H,86.154,2491,4,Y
3B1,F,2005,10,X91,03D,X91,R,10,H,84.615,3021,4,Y
1E6,F,2006,9,29I,37N,29I,R,11,H,83.077,1056,4,Y
54N,F,2000,15,C12,L83,C12,R,12,H,81.538,5414,4,Y
0G2,F,2007,8,40T,54F,40T,R,13,H,80,72,2,N
8A3,F,2004,11,71G,29H,71G,R,14,M,78.462,8013,4,Y
4H1,F,2008,7,4A3,T82,4A3,R,15,M,76.923,4081,4,Y
28I,F,1997,18,K84,K85,K84,R,16,M,75.385,2809,4,Y
4A0,F,2004,11,K84,80B,K84,R,17,M,73.846,4010,4,Y
4A5,F,2004,11,02A,25I,02A,R,18,M,72.308,4015,4,Y
3H4,F,2008,7,4A5,22O,4A5,R,19,M,70.769,3084,4,Y
87F,F,1995,20,02A,H89,02A,R,20,M,69.231,8706,4,Y
7A8,F,2004,11,NA,Z71,S96,R,21,M,67.692,7018,3.8333333333333335,Y
93I,F,1998,17,NA,T30,S96,R,22,M,66.154,9309,4,Y
0B5,F,2004,11,93I,69I,93I,R,23,M,64.615,25,3.5,Y
4E0,F,2007,8,15O,50G,15O,R,24,M,63.077,4050,3.8333333333333335,Y
89K,F,1999,16,54B,V45,54B,R,25,M,61.538,8911,4,Y
0A2,F,2004,11,89K,80B,89K,R,26,M,60,12,3.8333333333333335,Y
3F4,F,2007,8,11L,13I,11L,R,27,M,58.462,3064,4,Y
6D8,F,2006,9,20R,08O,20R,R,28,M,56.923,6048,4,Y
09Z,F,2003,12,46K,G07,46K,R,30,M,53.846,926,3.8333333333333335,Y
7A6,F,2004,11,K28,25I,K28,R,31,M,52.308,7016,4,Y
77V,F,2003,12,37J,80B,37J,R,32,M,50.769,7722,4,Y
0F6,F,2007,8,10Z,73S,10Z,R,33,L,49.231,66,4,Y
0E1,F,2006,9,96G,26P,96G,R,34,L,47.692,51,3.8333333333333335,Y
0E2,F,2006,9,02T,T82,02T,R,35,L,46.154,52,4,Y
4F8,F,2007,8,37P,44H,37P,R,36,L,44.615,4068,3.8333333333333335,Y
37P,F,2000,15,K28,J81,K28,R,37,L,43.077,3716,3.6666666666666665,Y
6B0,F,2005,10,37P,25I,37P,R,38,L,41.538,6020,4,Y
7F7,F,2007,8,X28,30G,X28,R,39,L,40,7067,4,Y
4D5,F,2007,8,06J,70D,06J,R,40,L,38.462,4045,4,Y
51T,F,2002,13,76K,23E,76K,R,41,L,36.923,5120,4,Y
95V,F,2003,12,H45,25I,H45,R,42,L,35.385,9522,4,Y
3H6,F,2008,7,95V,91P,95V,R,43,L,33.846,3086,4,Y
31V,F,2003,12,30D,O15,30D,R,44,L,32.308,3122,4,Y
5F7,F,2007,8,31V,42F,31V,R,45,L,30.769,5067,4,Y
33V,F,2004,11,50K,31I,50K,R,46,L,29.231,3322,4,Y
91V,F,2003,12,67C,13I,67C,R,47,L,27.692,9122,4,Y
3A7,F,2004,11,O33,Z71,O33,R,48,L,26.154,3017,4,Y
76L,F,1999,16,68C,L83,68C,R,49,L,24.615,7612,4,Y
1F4,F,2007,8,O33,25I,O33,R,50,L,23.077,1064,4,Y
X83,F,1991,24,H45,E05,H45,R,51,L,21.538,2483,3.8333333333333335,Y
60V,F,2003,12,77D,80B,77D,R,52,L,20,6022,4.166666666666667,Y
99Z,F,2004,11,68C,25I,68C,R,53,L,18.462,9926,4,Y
0B4,F,2004,11,67C,13I,67C,R,54,L,16.923,24,4,Y
16Z,F,2003,12,68C,62D,68C,R,55,L,15.385,1626,4,Y
7F2,F,2007,8,16Z,42F,16Z,R,56,L,13.846,7062,4.166666666666667,Y
26V,F,2003,12,O96,62D,O96,R,57,L,12.308,2622,4,Y
48N,F,1999,16,O96,V92,O96,R,58,L,10.769,4814,4,Y
8A5,F,2004,11,48N,83L,48N,R,59,L,9.231,8015,4,Y
4F5,F,2007,8,L19,83L,L19,R,60,L,7.692,4065,4,Y
5C4,F,2005,10,38P,50B,38P,R,61,L,6.154,5034,3.6666666666666665,Y
6A4,F,2004,11,91A,18I,91A,R,62,L,4.615,6014,4,Y
3F8,F,2007,8,03H,43R,03H,R,63,L,3.077,3068,4,Y
7C8,F,2006,9,03H,25I,03H,R,64,L,1.538,7038,4,Y
