groom_giver,groom_reciever,constrained_duration,observation_name
1G6,33T,113,2016-02-10_1G6_DP_4
1I7,15E,29,2016-02-10_1I7_DP_4
3H0,1B0,201,2016-02-10_3H0_DP_1
52Z,61R,30,2016-02-10_52Z_DP_3
2G4,51A,112,2016-02-11_2G4_DP_3
1G4,98J,135,2016-02-15_1G4_DP_3
1G1,00V,33,2016-02-16_1G1_DP_5
2I3,52Z,122,2016-02-16_2I3_DP_6
2I3,52Z,59,2016-02-16_2I3_DP_6
4J4,90T,150,2016-02-16_4J4_DP_4
93T,9E8,136,2016-02-16_93T_DP_3
5C6,9E8,39,2016-02-17_5C6_DP_4
4C5,T03,35,2016-02-22_4C5_DP_4
47Z,25R,48,2016-02-24_47Z_DP_3
73V,9E8,73,2016-02-24_73V_DP_3
78I,18I,146,2016-02-24_78I_DP_4
78I,18I,108,2016-02-24_78I_DP_4
78I,18I,184,2016-02-24_78I_DP_4
98J,85T,34,2016-02-25_98J_DP_6
93T,9E8,116,2016-03-01_93T_DP_3
18I,5E8,84,2016-03-11_18I_DP_5
0F0,2E4,152,2016-03-15_0F0_DP_3
25R,4C5,48,2016-03-15_25R_DP_6
4C5,25R,101,2016-03-16_4C5_DP_4
51Z,5C6,194,2016-03-16_51Z_DP_4
47Z,1B0,104,2016-03-02_47Z_DP_5
2E4,61R,53,2016-03-21_2E4_DP_4
78I,18I,25,2016-03-21_78I_DP_5
8D8,15E,128,2016-03-21_8D8_DP_4
3H0,0J4,319,2016-03-22_3H0_DP_6
9E8,73V,598,2016-03-22_9E8_DP_5
0J4,47Z,299,2016-03-29_0J4_DP_4
1B0,1K2,477,2016-03-29_1B0_DP_5
73V,13H,141,2016-03-29_73V_DP_4
73V,13H,39,2016-03-29_73V_DP_4
73V,13H,77,2016-03-29_73V_DP_4
78I,18I,74,2016-03-29_78I_DP_6
78I,18I,340,2016-03-29_78I_DP_6
12O,2G3,41,2016-03-03_12O_DP_6
13H,1I7,235,2016-03-03_13H_DP_4
73V,5C6,431,2016-03-03_73V_DP_4
1K2,4E2,250,2016-03-30_1K2_DP_5
51A,0F0,23,2016-03-30_51A_DP_4
1G4,85T,49,2016-03-31_1G4_DP_3
1B0,3H0,137,2016-03-04_1B0_DP_3
00V,12O,506,2016-03-09_00V_DP_6
0F0,0K0,341,2016-03-09_0F0_DP_5
1G1,5E6,87,2016-03-09_1G1_DP_4
1G1,5E6,215,2016-03-09_1G1_DP_4
2G3,47Z,110,2016-04-11_2G3_DP_4
98K,00V,205,2016-04-11_98K_DP_6
4J4,1G0,151,2016-04-13_4J4_DP_5
3J7,81O,67,2016-04-14_3J7_DP_3
7C4,61R,72,2016-04-15_7C4_DP_3
1I7,13H,96,2016-04-18_1I7_DP_6
51Z,14E,248,2016-04-19_51Z_DP_6
5I5,3I9,81,2016-04-19_5I5_DP_4
98K,7C4,64,2016-04-22_98K_DP_5
00V,12O,106,2016-04-25_00V_DP_6
00V,53Z,142,2016-04-25_00V_DP_6
5C6,61R,164,2016-04-26_5C6_DP_2
73V,2G4,337,2016-04-27_73V_DP_5
12E,14E,174,2016-04-04_12E_DP_6
5E8,33T,72,2016-04-04_5E8_DP_4
2I3,32Z,74,2016-04-05_2I3_DP_6
2I3,32Z,435,2016-04-05_2I3_DP_6
51Z,0K0,28,2016-04-05_51Z_DP_6
5C6,15E,86,2016-04-06_5C6_DP_4
5C6,15E,37,2016-04-06_5C6_DP_4
0K0,15E,156,2016-04-07_0K0_DP_5
3H0,1B0,69,2016-04-08_3H0_DP_3
3H0,1B0,122,2016-04-08_3H0_DP_3
5E6,1I6,526,2016-05-02_5E6_DP_5
4E2,1K2,74,2016-05-03_4E2_DP_6
5I3,9I9,242,2016-05-03_5I3_DP_4
5J1,2F8,20,2016-05-03_5J1_DP_3
4J4,2I3,378,2016-05-04_4J4_DP_3
52Z,98K,181,2016-05-04_52Z_DP_5
51Z,1I6,47,2016-05-06_51Z_DP_5
90T,4J4,27,2016-05-06_90T_DP_3
18I,98J,174,2016-05-09_18I_DP_4
1B0,51Z,74,2016-05-16_1B0_DP_4
33T,1G1,347,2016-05-16_33T_DP_6
98K,13H,214,2016-05-19_98K_DP_3
2G4,00V,183,2016-05-20_2G4_DP_1
3I9,0J4,118,2016-05-26_3I9_DP_5
5C6,7C4,201,2016-05-27_5C6_DP_3
T03,98K,128,2016-06-01_T03_DP_4
1G6,2I3,224,2016-06-02_1G6_DP_6
2G4,1K2,50,2016-06-02_2G4_DP_5
4J4,90T,63,2016-06-02_4J4_DP_3
5C6,1K1,54,2016-06-02_5C6_DP_4
1K1,9E8,83,2016-06-06_1K1_DP_1
1G1,00V,183,2016-06-13_1G1_DP_5
5C6,0F0,76,2016-06-13_5C6_DP_5
8D8,1G1,106,2016-06-14_8D8_DP_4
4J4,1I5,66,2016-06-15_4J4_DP_4
3D9,4E2,506,2016-06-17_3D9_DP_2
1B1,4C5,54,2016-06-24_1B1_DP_2
90T,4J4,71,2016-06-28_90T_DP_6
0F0,00V,86,2016-06-30_0F0_DP_5
0F0,0K0,176,2016-06-30_0F0_DP_5
5I5,2C9,11,2016-07-05_5I5_DP_4
78I,5E8,35,2016-07-05_78I_DP_1
78I,98K,82,2016-07-05_78I_DP_1
13H,1I7,37,2016-07-06_13H_DP_6
7A2,5J1,155,2016-07-06_7A2_DP_6
7A2,5J1,51,2016-07-06_7A2_DP_6
0J4,19T,88,2016-07-07_0J4_DP_6
33T,1G6,76,2016-07-07_33T_DP_1
90T,4J4,158,2016-07-08_90T_DP_1
1K2,4E2,216,2016-07-11_1K2_DP_4
1K2,4E2,237,2016-07-11_1K2_DP_4
5J1,7A2,59,2016-07-14_5J1_DP_3
