agonism_winner,agonism_loser,agonism_type,winner_sex,loser_sex,date,observer,data_source,focal_individual
0C7,4K7,feargrm,Male,Male,2019-02-04,DP,focalfollow,agonism.winner
2D0,9F9,feargrm,Male,Male,2019-02-04,DP,focalfollow,agonism.winner
3K1,9C1,feargrm,Male,Female,2019-02-04,DP,focalfollow,agonism.winner
77I,6K5,feargrm,Male,Male,2019-02-04,DP,focalfollow,agonism.winner
8C3,51Z,displace,Male,Female,2019-02-04,DP,focalfollow,agonism.winner
9K9,1G1,noncontactagg,Male,Female,2019-02-04,DP,focalfollow,agonism.winner
36V,3I9,feargrm,Male,Male,2019-02-05,DP,focalfollow,agonism.winner
61R,0C7,feargrm,Male,Male,2019-02-05,DP,focalfollow,agonism.winner
5K8,9C1,feargrm,Male,Female,2019-02-06,DP,focalfollow,agonism.winner
5K8,5B2,feargrm,Male,Male,2019-02-06,DP,focalfollow,agonism.winner
5K8,5B2,avoid,Male,Male,2019-02-06,DP,focalfollow,agonism.winner
1B1,9C1,feargrm,Male,Female,2019-02-07,DP,focalfollow,agonism.winner
1B1,3I6,submit,Male,Male,2019-02-07,DP,focalfollow,agonism.winner
3I6,90T,feargrm,Male,Female,2019-02-07,DP,focalfollow,agonism.winner
3I6,2D0,noncontactagg,Male,Male,2019-02-07,DP,focalfollow,agonism.winner
7G1,0C3,feargrm,Male,Male,2019-02-07,DP,focalfollow,agonism.winner
8K1,93T,noncontactagg,Male,Female,2019-02-11,DP,focalfollow,agonism.winner
1I7,7C4,contactagg,Female,Female,2019-02-12,DP,focalfollow,agonism.winner
04T,7G1,submit,Male,Male,2019-02-13,DP,focalfollow,agonism.winner
0I9,3I9,noncontactagg,Male,Male,2019-02-13,DP,focalfollow,agonism.winner
0M1,5B0,feargrm,Male,Male,2019-02-13,DP,focalfollow,agonism.winner
4G8,2N8,avoid,Male,Male,2019-02-18,DP,focalfollow,agonism.winner
4K7,0I9,feargrm,Male,Male,2019-02-18,DP,focalfollow,agonism.winner
