id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,idcode,hrs.focalfollowed,focalcutoff_met
0M4,F,2010,9,14E,72O,14E,V,1,H,100,134,3.6666666666666665,Y
2E4,F,2006,13,29J,54F,29J,V,2,H,94.73684211,2054,4,Y
1K1,F,2009,10,31L,98K,31L,V,4,H,89.47368421,1111,4.166666666666667,Y
9C1,F,2006,13,67F,54F,67F,V,5,H,86.84210526,9031,3.8333333333333335,Y
00V,F,2003,16,30J,51A,30J,V,6,H,84.21052632,22,4,Y
1G1,F,2008,11,48S,61B,48S,V,7,H,81.57894737,1071,3.8333333333333335,Y
4O4,F,2012,7,1G1,4C3,1G1,V,8,M,78.94736842,NA,4.333333333333333,Y
8N3,F,2011,8,15E,12E,15E,V,9,M,76.31578947,NA,4,Y
7K8,F,2010,9,13B,97V,13B,V,10,M,73.68421053,7118,4,Y
1I7,F,2009,10,13H,12E,13H,V,11,M,71.05263158,1097,3.8333333333333335,Y
7C4,F,2005,14,13B,17L,13B,V,12,M,68.42105263,7034,3.8333333333333335,Y
78I,F,1997,22,13B,L07,13B,V,13,M,65.78947368,7809,4,Y
5E8,F,2008,11,78I,60L,78I,V,14,M,63.15789474,5058,3.8333333333333335,Y
52Z,F,2004,15,78I,01K,78I,V,15,M,60.52631579,5226,4,Y
2I3,F,2009,10,52Z,51A,52Z,V,16,M,57.89473684,2093,3.6666666666666665,Y
93T,F,2003,16,L66,51A,L66,V,17,M,55.26315789,9320,4,Y
90T,F,2003,16,79I,72H,79I,V,18,M,52.63157895,9020,4,Y
4J4,F,2009,10,90T,72O,90T,V,19,M,50,4104,4,Y
5L7,F,2010,9,81E,60L,81E,V,20,L,47.36842105,5127,3.8333333333333335,Y
1B0,F,2004,15,99J,12E,99J,V,21,L,44.73684211,1020,3.8333333333333335,Y
3H0,F,2008,11,1B0,NA,1B0,V,22,L,42.10526316,3080,4,Y
2G2,F,2008,11,81E,61B,81E,V,23,L,39.47368421,2072,4.166666666666667,Y
9P3,F,2012,7,2G2,8D3,2G2,V,24,L,36.84210526,NA,4,Y
1G0,F,2008,11,25N,41N,25N,V,25,L,34.21052632,1070,4.166666666666667,Y
1I5,F,2009,10,01R,72O,01R,V,26,L,31.57894737,1095,4,Y
2G3,F,2008,11,47Z,NA,47Z,V,27,L,28.94736842,2073,4,Y
4C9,F,2005,14,20C,44E,20C,V,28,L,26.31578947,4039,2.3333333333333335,Y
45Z,F,2004,15,20C,51J,20C,V,29,L,23.68421053,4526,4,Y
9M8,F,2011,8,45Z,73S,45Z,V,30,L,21.05263158,NA,4,Y
3D9,F,2007,12,T03,51A,T03,V,31,L,18.42105263,3049,3.6666666666666665,Y
51Z,F,2004,15,97J,61B,97J,V,32,L,15.78947368,5126,4,Y
1I6,F,2009,10,51Z,60L,51Z,V,33,L,13.15789474,1096,4,Y
4C5,F,2005,14,T03,51A,T03,V,34,L,10.52631579,4035,4,Y
2K1,F,2010,9,98J,46Z,98J,V,35,L,7.894736842,2111,4,Y
85T,F,2003,16,98J,51A,98J,V,36,L,5.263157895,8520,2.3333333333333335,Y
1G4,F,2008,11,85T,30S,85T,V,37,L,2.631578947,1074,3.5,Y
1Q7,F,2012,7,1G4,1D4,1G4,V,38,L,0,NA,4,Y
5O0,F,2012,7,31L,61R,31L,V,NA,NA,NA,NA,3.8333333333333335,Y
61R,M,2001,18,07A,45A,07A,KK,1,H,100,6118,4,Y
0M1,M,2010,9,13H,12E,13H,V,2,H,96.55172414,131,4,Y
77I,M,1998,21,S97,D52,S97,R,3,H,94.82758621,7709,4,Y
81O,M,2000,19,02A,L83,02A,R,4,H,93.10344828,8115,4,Y
12O,M,1999,20,I56,85A,I56,S,5,H,91.37931034,1215,4,Y
33T,M,2002,17,89K,80B,89K,R,6,H,89.65517241,3320,4,Y
1B1,M,2004,15,36O,78B,36O,HH,7,H,87.93103448,1021,4,Y
19T,M,2002,17,V05,S76,V05,KK,8,H,86.20689655,1920,4,Y
1F2,M,2007,12,81I,26P,81I,S,9,H,84.48275862,1062,4,Y
5K8,M,2010,9,28G,02R,28G,HH,10,H,82.75862069,5118,4,Y
0G8,M,2007,12,55H,02F,55H,F,11,H,81.03448276,78,3.8333333333333335,Y
0H8,M,2009,10,X17,02R,X17,F,12,M,79.31034483,88,3.8333333333333335,Y
0C7,M,2005,14,28J,10D,28J,F,13,M,77.5862069,37,4,Y
3I6,M,2009,10,61A,23T,61A,F,14,M,75.86206897,3096,1.8333333333333333,Y
04T,M,2002,17,96G,80B,96G,R,15,M,74.13793103,420,3.8333333333333335,Y
5B0,M,2005,14,81I,57D,81I,S,16,M,72.4137931,5020,4,Y
1E5,M,2006,13,50I,07D,50I,F,17,M,70.68965517,1055,4,Y
7G1,M,2008,11,39F,25I,39F,R,18,M,68.96551724,7071,3.8333333333333335,Y
3M8,M,2011,8,8A5,44T,8A5,R,19,M,67.24137931,NA,4,Y
36V,M,2003,16,35B,62D,35B,R,20,M,65.51724138,3622,4,Y
0J4,M,2009,10,16Z,50T,16Z,R,21,M,63.79310345,94,4,Y
32Z,M,2004,15,J91,X81,J91,F,22,M,62.06896552,3226,4.166666666666667,Y
9E3,M,2007,12,56E,30L,56E,F,23,M,60.34482759,9053,4,Y
6E6,M,2007,12,42V,02R,42V,HH,24,M,58.62068966,6056,4,Y
6B8,M,2005,14,96G,80B,96G,R,25,M,56.89655172,6028,3.8333333333333335,Y
6K5,M,2010,9,0C8,49L,0C8,HH,26,M,55.17241379,NA,4,Y
2K6,M,2010,9,9C1,49Z,9C1,V,27,M,53.44827586,2116,4,Y
8J3,M,2009,10,56A,40C,56A,F,28,M,51.72413793,8093,4,Y
4K7,M,2010,9,3E7,8B3,3E7,F,29,M,50,4117,4,Y
4E2,M,2007,12,67G,17L,67G,F,30,L,48.27586207,4052,3.8333333333333335,Y
2N8,M,2011,8,73B,04T,73B,F,31,L,46.55172414,NA,4,Y
2D0,M,2006,13,X37,05I,X37,R,32,L,44.82758621,2040,3.8333333333333335,Y
93R,M,2001,18,Z82,17A,Z82,S,33,L,43.10344828,9318,3.6666666666666665,Y
9K9,M,2010,9,06A,94O,06A,S,34,L,41.37931034,9119,4,Y
0I9,M,2009,10,85T,72O,85T,V,35,L,39.65517241,109,3.8333333333333335,Y
8C3,M,2006,13,37D,27N,93O,KK,36,L,37.93103448,8033,4,Y
9M5,M,2011,8,40L,46Z,40L,F,37,L,36.20689655,NA,3.6666666666666665,Y
8K9,M,2010,9,90V,30Z,90V,R,38,L,34.48275862,NA,3.6666666666666665,Y
8M1,M,2011,8,4B2,22O,4B2,R,39,L,32.75862069,NA,2,Y
8K1,M,2010,9,6C2,13I,6C2,KK,40,L,31.03448276,8111,4,Y
8A7,M,2004,15,46K,31I,46K,R,41,L,29.31034483,8017,3.8333333333333335,Y
3I9,M,2009,10,6A4,50T,6A4,R,42,L,27.5862069,3099,4,Y
7P0,M,2012,7,37P,3A6,37P,R,43,L,25.86206897,NA,4,Y
7K4,M,2010,9,1E3,8A7,1E3,F,44,L,24.13793103,NA,3.6666666666666665,Y
4G8,M,2008,11,73B,89N,73B,F,45,L,22.4137931,4078,4,Y
2N0,M,2011,8,79Z,43P,79Z,F,46,L,20.68965517,NA,4,Y
3M2,M,2011,8,24V,44T,24V,KK,47,L,18.96551724,NA,3.6666666666666665,Y
0P9,M,2012,7,54N,3A6,54N,R,48,L,17.24137931,NA,3.6666666666666665,Y
7M8,M,2011,8,97R,53N,97R,S,49,L,15.51724138,NA,3.8333333333333335,Y
3P3,M,2012,7,7A8,44T,7A8,R,50,L,13.79310345,NA,4,Y
2N2,M,2011,8,61J,6A8,61J,F,51,L,12.06896552,NA,3,Y
6I9,M,2009,10,43J,22R,43J,F,52,L,10.34482759,6109,4,Y
3L1,M,2010,9,92D,33T,92D,F,53,L,8.620689655,3121,2.1666666666666665,Y
3P6,M,2012,7,7A6,11Z,7A6,R,54,L,6.896551724,NA,4.166666666666667,Y
6P9,M,2012,7,6F2,2D7,6F2,F,55,L,5.172413793,NA,4,Y
8N5,M,2011,8,8B0,12Z,8B0,F,56,L,3.448275862,NA,4,Y
5P4,M,2012,7,9C5,53N,9C5,KK,57,L,1.724137931,5164,3.6666666666666665,Y
07D,M,1995,24,L19,K85,L19,R,58,L,0,704,2.5,Y
3K1,M,2010,9,14L,36S,14L,F,NA,NA,NA,3111,0.3333333333333333,N
2K3,M,2010,9,90T,46Z,90T,V,NA,NA,NA,2113,0.5,N
9F9,M,2007,12,30F,22O,30F,S,NA,NA,NA,9069,1.6666666666666667,N
3I2,M,2009,10,4A0,11Z,4A0,R,NA,NA,NA,3092,0.3333333333333333,N
5B2,M,2005,14,07L,O15,07L,R,NA,NA,NA,5022,0.16666666666666666,N
2O1,M,2012,7,09Z,1A6,09Z,R,NA,NA,NA,NA,1.1666666666666667,N
1M6,M,2011,8,53E,11Z,53E,KK,NA,NA,NA,NA,0.16666666666666666,N
