date,observation.name,scan.number,focal.monkey,in.proximity,focal.activity,partners.activity (sequential),time
2019-01-31,2019-01-31_1K1_DP_1,1,1K1,1K1,feedchow,NA,2019-01-31T08:13:37Z
2019-01-31,2019-01-31_1K1_DP_1,2,1K1,1K1,rest,NA,2019-01-31T08:18:36Z
2019-01-31,2019-01-31_1K1_DP_1,3,1K1,1K1,travel,NA,2019-01-31T08:23:37Z
2019-02-04,2019-02-04_04T_DP_6,1,04T,04T,rest,NA,2019-02-04T13:46:03Z
2019-02-04,2019-02-04_04T_DP_6,2,04T,04T,rest,NA,2019-02-04T13:51:08Z
2019-02-04,2019-02-04_04T_DP_6,3,04T,04T,feedwater,NA,2019-02-04T13:56:03Z
2019-02-04,2019-02-04_0C7_DP_2,1,0C7,0C7,rest,NA,2019-02-04T08:27:19Z
2019-02-04,2019-02-04_0C7_DP_2,2,0C7,0C7,rest,NA,2019-02-04T08:32:19Z
2019-02-04,2019-02-04_0C7_DP_2,3,0C7,0C7,rest,NA,2019-02-04T08:37:19Z
2019-02-04,2019-02-04_0I9_DP_2,1,0I9,0I9,rest,NA,2019-02-04T09:19:17Z
2019-02-04,2019-02-04_0I9_DP_2,2,0I9,0I9,social,NA,2019-02-04T09:24:17Z
2019-02-04,2019-02-04_0I9_DP_2,3,0I9,0I9,travel,NA,2019-02-04T09:29:17Z
2019-02-04,2019-02-04_0P9_DP_4,1,0P9,0P9,rest,NA,2019-02-04T11:48:07Z
2019-02-04,2019-02-04_0P9_DP_4,2,0P9,3M2,NA,rest,2019-02-04T11:53:09Z
2019-02-04,2019-02-04_0P9_DP_4,3,0P9,5P4,NA,social,2019-02-04T11:58:08Z
2019-02-04,2019-02-04_1G1_DP_6,1,1G1,1G1,rest,NA,2019-02-04T12:58:05Z
2019-02-04,2019-02-04_1G1_DP_6,2,1G1,93R,NA,rest,2019-02-04T13:03:14Z
2019-02-04,2019-02-04_1G1_DP_6,3,1G1,1G1,rest,NA,2019-02-04T13:08:07Z
2019-02-04,2019-02-04_1I5_DP_4,1,1I5,1I5,feedplant,NA,2019-02-04T11:22:22Z
2019-02-04,2019-02-04_1I5_DP_4,2,1I5,1I5,rest,NA,2019-02-04T11:27:20Z
2019-02-04,2019-02-04_1I5_DP_4,3,1I5,1I5,feedplant,NA,2019-02-04T11:32:21Z
2019-02-04,2019-02-04_1I7_DP_6,1,1I7,1I7,rest,NA,2019-02-04T13:11:05Z
2019-02-04,2019-02-04_1I7_DP_6,2,1I7,1I7,rest,NA,2019-02-04T13:16:29Z
2019-02-04,2019-02-04_1I7_DP_6,3,1I7,1I7,travel,NA,2019-02-04T13:21:04Z
2019-02-04,2019-02-04_2D0_DP_1,1,2D0,2D0,rest,NA,2019-02-04T07:35:58Z
2019-02-04,2019-02-04_2D0_DP_1,2,2D0,2D0,travel,NA,2019-02-04T07:40:58Z
2019-02-04,2019-02-04_2D0_DP_1,3,2D0,2D0,travel,NA,2019-02-04T07:45:56Z
2019-02-04,2019-02-04_2I3_DP_6,1,2I3,2I3,rest,NA,2019-02-04T13:22:33Z
2019-02-04,2019-02-04_2I3_DP_6,2,2I3,2I3,rest,NA,2019-02-04T13:27:32Z
2019-02-04,2019-02-04_2I3_DP_6,3,2I3,2I3,rest,NA,2019-02-04T13:32:32Z
2019-02-04,2019-02-04_2K1_DP_2,1,2K1,2K1,rest,NA,2019-02-04T09:06:46Z
2019-02-04,2019-02-04_2K1_DP_2,2,2K1,2K1,rest,NA,2019-02-04T09:11:46Z
2019-02-04,2019-02-04_2K1_DP_2,3,2K1,2K1,travel,NA,2019-02-04T09:16:46Z
2019-02-04,2019-02-04_2N0_DP_5,1,2N0,2N0,rest,NA,2019-02-04T12:21:41Z
2019-02-04,2019-02-04_2N0_DP_5,2,2N0,2N0,rest,NA,2019-02-04T12:26:41Z
2019-02-04,2019-02-04_2N0_DP_5,3,2N0,2N0,rest,NA,2019-02-04T12:31:41Z
2019-02-04,2019-02-04_3D9_DP_5,1,3D9,3D9,rest,NA,2019-02-04T12:33:37Z
