agonism_winner,Winner_group_tenure,agonism_loser,Loser_group_tenure,agonism_type,date,observer,winner_sex,loser_sex,focal_individual,data_source
1K1,12,9C1,12,contactagg,2020-04-02,DP,Female,Female,NA,adlib.observation
2E4,12,52Z,12,contactagg,2020-04-03,ES,Female,Female,NA,adlib.observation
00V,12,9R8,12,contactagg,2020-04-03,ES,Female,Female,NA,adlib.observation
00V,12,1I6,12,avoid,2020-10-03,DP,Female,Female,NA,adlib.observation
5E8,12,3H0,12,noncontactagg,2020-02-04,DP,Female,Female,NA,adlib.observation
8R7,12,4O4,12,noncontactagg,2020-05-04,DP,Female,Female,NA,adlib.observation
9P3,12,51Z,12,contactagg,2020-11-04,DP,Female,Female,NA,adlib.observation
8N3,12,1I5,12,avoid,2020-04-20,DP,Female,Female,NA,adlib.observation
2G2,12,1B0,12,avoid,2020-04-23,DP,Female,Female,NA,adlib.observation
5O0,12,4O4,12,avoid,2020-04-26,DP,Female,Female,NA,adlib.observation
2G2,12,1G4,12,noncontactagg,2020-04-26,DP,Female,Female,NA,adlib.observation
9C1,12,78I,12,avoid,2020-04-29,DP,Female,Female,NA,adlib.observation
00V,12,78I,12,avoid,2020-04-29,DP,Female,Female,NA,adlib.observation
2G2,12,1G4,12,displace,2020-04-29,DP,Female,Female,NA,adlib.observation
7C4,12,1I6,12,contactagg,2020-02-05,DP,Female,Female,NA,adlib.observation
2G3,12,4C5,12,noncontactagg,2020-08-05,DP,Female,Female,NA,adlib.observation
9M8,12,1I6,12,noncontactagg,2020-08-05,DP,Female,Female,NA,adlib.observation
9M8,12,1I6,12,contactagg,2020-08-05,DP,Female,Female,NA,adlib.observation
90T,12,51Z,12,noncontactagg,2020-08-05,DP,Female,Female,NA,adlib.observation
4O4,12,2K1,12,noncontactagg,2020-05-14,DP,Female,Female,NA,adlib.observation
45Z,12,1I6,12,avoid,2020-05-14,DP,Female,Female,NA,adlib.observation
4O4,12,2I3,12,noncontactagg,2020-05-14,DP,Female,Female,NA,adlib.observation
2E4,12,2I3,12,submit/threat,2020-05-14,DP,Female,Female,NA,adlib.observation
52Z,12,51Z,12,contactagg,2020-05-14,DP,Female,Female,NA,adlib.observation
8N3,12,2G2,12,noncontactagg,2020-05-20,DP,Female,Female,NA,adlib.observation
9R8,12,3D9,12,noncontactagg,2020-05-20,DP,Female,Female,NA,adlib.observation
8N3,12,90T,12,avoid,2020-05-29,DP,Female,Female,NA,adlib.observation
9P3,12,90T,12,avoid,2020-05-29,DP,Female,Female,NA,adlib.observation
4O4,12,4S7,12,contactagg,2020-05-29,DP,Female,Female,NA,adlib.observation
7C4,12,5L7,12,noncontactagg,2020-05-29,DP,Female,Female,NA,adlib.observation
5E8,12,1Q7,12,feargrm,2020-05-29,DP,Female,Female,NA,adlib.observation
93T,12,9R8,12,avoid,2020-05-29,DP,Female,Female,NA,adlib.observation
1I5,12,1B0,12,noncontactagg,2020-05-29,DP,Female,Female,NA,adlib.observation
5E8,12,8R5,12,avoid,2020-01-06,DP,Female,Female,NA,adlib.observation
0M4,12,1K1,12,displace,2020-01-06,DP,Female,Female,NA,adlib.observation
2I3,12,45Z,12,noncontactagg,2020-04-06,DP,Female,Female,NA,adlib.observation
0S5,12,93T,12,avoid,2020-04-06,DP,Female,Female,NA,adlib.observation
4J4,12,3D9,12,avoid,2020-04-06,DP,Female,Female,NA,adlib.observation
2E4,12,1G4,12,displace,2020-04-06,DP,Female,Female,NA,adlib.observation
0S6,12,1I5,12,avoid,2020-07-06,DP,Female,Female,NA,adlib.observation
1I7,12,8N3,12,avoid,2020-07-06,DP,Female,Female,NA,adlib.observation
1G1,12,1I6,12,noncontactagg,2020-07-06,DP,Female,Female,NA,adlib.observation
5E8,12,1I6,12,contactagg,2020-07-06,DP,Female,Female,NA,adlib.observation
2G2,12,51Z,12,submit/threat,2020-07-06,DP,Female,Female,NA,adlib.observation
1G1,12,7C4,12,contactagg,2020-07-06,DP,Female,Female,NA,adlib.observation
9C1,12,9M8,12,avoid,2020-06-13,DP,Female,Female,NA,adlib.observation
1I7,12,9M8,12,noncontactagg,2020-06-13,DP,Female,Female,NA,adlib.observation
1I5,12,9M8,12,noncontactagg,2020-06-16,DP,Female,Female,NA,adlib.observation
4O4,12,2G2,12,noncontactagg,2020-06-16,DP,Female,Female,NA,adlib.observation
4O4,12,51Z,12,noncontactagg,2020-06-16,DP,Female,Female,NA,adlib.observation
1I7,12,2G2,12,noncontactagg,2020-06-28,DP,Female,Female,NA,adlib.observation
1K1,12,1G1,12,noncontactagg,2020-06-28,DP,Female,Female,NA,adlib.observation
9C1,12,3D9,12,noncontactagg,2020-06-28,DP,Female,Female,NA,adlib.observation
00V,12,1G0,12,avoid,2020-06-28,DP,Female,Female,NA,adlib.observation
93T,12,1Q7,12,submit/threat,2020-01-07,DP,Female,Female,NA,adlib.observation
4C5,12,1G4,12,noncontactagg,2020-01-07,DP,Female,Female,NA,adlib.observation
1K1,12,3D9,12,avoid,2020-01-07,DP,Female,Female,NA,adlib.observation
9C1,12,78I,12,avoid,2020-01-07,DP,Female,Female,NA,adlib.observation
2I3,12,1I5,12,contactagg,2020-01-07,DP,Female,Female,NA,adlib.observation
00V,12,78I,12,avoid,2020-04-07,DP,Female,Female,NA,adlib.observation
4O4,12,52Z,12,noncontactagg,2020-04-07,DP,Female,Female,NA,adlib.observation
4O4,12,5E8,12,submit/threat,2020-04-07,DP,Female,Female,NA,adlib.observation
4O4,12,8N3,12,displace,2020-04-07,DP,Female,Female,NA,adlib.observation
5O0,12,1Q7,12,noncontactagg,2020-04-07,DP,Female,Female,NA,adlib.observation
1I7,12,0S5,12,noncontactagg,2020-04-07,DP,Female,Female,NA,adlib.observation
1G1,12,51Z,12,avoid,2020-04-07,DP,Female,Female,NA,adlib.observation
5L7,12,2G3,12,feargrm,2020-07-07,DP,Female,Female,NA,adlib.observation
2E4,12,5L7,12,avoid,2020-07-07,DP,Female,Female,NA,adlib.observation
1I7,12,93T,12,avoid,2020-07-07,DP,Female,Female,NA,adlib.observation
1K1,12,93T,12,feargrm,2020-10-07,DP,Female,Female,NA,adlib.observation
2G2,12,90T,12,contactagg,2020-10-07,DP,Female,Female,NA,adlib.observation
2E4,12,5L7,12,noncontactagg,2020-10-07,DP,Female,Female,NA,adlib.observation
