animal_ID,revised_necropsy_id,age,sex,body_wt,brain_wt
0V5,A16-374,1.2,f,1.21,NA
2Q2,A16-375,3.2,f,3.85,86.1
3Q5,A16-376,3,m,3.88,87.6
7L0,A16-377,6.1,f,5.5,92.4
6R4,A16-378,3.2,f,5.62,85.6
4N7,A16-379,5.1,m,9.93,95.8
0K1,A16-380,7,m,7.92,93.7
6I4,A16-382,7.1,m,13.02,97.1
3P2,A16-383,4,m,6.4,93.1
9O0,A16-384,4,m,4.93,88.1
4N5,A16-385,5.1,f,6.71,88.7
9N0,A16-386,5.1,f,5.74,77.2
I174L8,A16-387,0.2,m,0.84,71.6
1R2,A16-388,3.2,m,4.4,89.2
50P,A16-389,15.6,m,5.76,98.4
4L8,A16-390,6.1,f,7.96,80.1
9P6,A16-391,4.1,m,5.42,102.9
5N1,A16-392,5.1,f,6.88,89.8
I1722H,A16-393,0.1,f,0.54,85.6
91O,A16-394,15.9,m,12.86,99.7
8L6,A16-396,6.1,m,9.7,88.1
22H,A16-397,19.9,f,5.98,85.6
4J0,A16-398,7.1,m,11.4,107.3
3L5,A16-399,5.9,m,8.14,107.8
4Q6,A16-400,3.2,f,4.24,79.6
I1703Z,A16-401,0.2,f,0.82,74.2
I173N4,A16-403,0.3,m,0.7,77.6
94O,A16-404,15.9,m,10.28,94.6
3N4,A16-406,5,f,5.84,83.4
03Z,A16-407,12.8,f,7.62,80.4
3L6,A16-408,6.1,m,9.88,94.8
9I7,A16-409,6.9,f,5.94,90.6
4I9,A16-413,7,f,6.1,94
60T,A16-414,13.9,m,10.66,99.1
4C6,A16-415,10.8,m,9.38,102.4
I1720S,A16-416,0.2,f,0.7,65
1G8,A16-417,7.9,m,9.3,112.4
20S,A16-418,14.9,f,6.6,77
I1794S,A16-419,0.3,f,1,80.4
I1765Z,A16-420,0.3,f,0.96,88.5
I1755R,A16-421,0.2,f,0.9,83.3
94S,A16-422,13.9,f,7.16,79.3
65Z,A16-423,12,f,7.62,96.8
55R,A16-424,15,f,7.18,100.9
3R3,A16-426,3.2,f,4.94,81.4
41N,A16-427,16.7,m,8.7,91.2
2Q0,A16-428,3.2,f,4.28,86.2
3A6,A16-429,12,m,10.62,101.4
9I5,A16-430,7,f,5.18,87.8
5R9,A16-431,3.2,m,4.38,94.1
I1762S,A16-444,0.3,m,0.8,86.2
62S,A16-445,13.8,f,6.9,94.7
43N,A16-451,17,m,9.74,94.8
I1756R,A16-456,0.2,f,0.84,81.6
56R,A16-457,14.9,f,6.62,91
I1748V,A16-458,0.3,f,0.82,72.7
I174J6,A16-460,0.3,m,0.6,75.5
48V,A16-461,13,f,6.74,91.6
4J6,A16-462,7.1,f,6.36,87.4
1B7,A16-463,11,m,8.58,96.1
8E2,A16-464,9.1,f,6.32,89.3
2R4,A16-465,3.2,m,3.96,88.9
9P5,A16-474,4.3,f,4.94,81.9
2S6,A16-475,3.2,m,5.54,84.6
I1777S,A16-476,0.2,m,0.62,58.7
0G3,A16-477,9.1,f,4.3,88.6
V80,A16-478,25.9,f,7.62,86.6
77S,A16-479,13.9,f,6.66,79.4
8K7,A16-480,6.2,f,5.24,95.7
2C7,A16-486,11.2,f,6.32,90.6
5P6,A16-487,4.2,f,4.52,85.5
49Z,A16-488,12,m,9.26,113.4
I174J3,A16-489,0.4,m,1.1,74.5
4N8,A16-490,5.3,m,9.6,106
4S3,A16-491,3.2,f,4,74.7
4J3,A16-492,7.3,f,6.34,89
4S0,A16-495,3.1,f,3.6,86.5
I177E3,A16-496,0.4,f,1.02,75.9
1Q8,A16-497,4.3,m,5.62,112.5
I176B4,A16-498,0.2,m,0.58,76.9
7E3,A16-499,9.2,f,7.2,91.4
6B4,A16-500,11.2,f,6.08,94.6
3R1,A16-501,3.3,m,4.64,89.9
5H7,A16-502,8.2,m,8.32,95.5
I177E0,A16-503,0.3,f,0.68,74.5
2S8,A16-504,3.3,f,3.62,81.7
9C6,A16-505,10.2,m,10.2,92.3
7E0,A16-506,9.2,f,6.3,94.7
I175B6,A16-508,0.4,f,0.8,61.3
0B9,A16-509,12.1,f,5.84,95.7
5I9,A16-510,7.1,f,5.58,85.9
5B6,A16-511,11.2,f,5.48,75.5
5J6,A16-514,7.1,f,4.66,83.7
3R7,A16-515,3.3,m,4.8,95.8
6R9,A16-516,3.2,m,4.64,90.3
I177L7,A16-517,0.4,m,1.6,75.2
36O,A16-518,16,f,6.7,90.2
6H6,A16-519,8,f,6.28,94.1
3A9,A16-520,12.1,f,8.46,90.3
7L7,A16-521,6.1,f,6.04,89.3
16S,A16-525,15.1,f,6.72,87.5
I172E9,A16-528,0.1,m,0.62,67.6
80S,A16-530,14.1,f,6.86,90.2
3P7,A16-531,4.3,f,4.76,91.9
I172C0,A16-532,0.2,f,0.76,71.5
2E9,A16-533,10.2,f,7.38,85.7
2C0,A16-534,11,f,6.96,96.1
8T5,A18-329,4.3,m,6.9,99
7S5,A18-330,4.1,m,5.1,90.9
1S8,A18-337,4.2,m,8.62,111
8S7,A18-338,5.2,m,6.14,103.5
4S8,A18-341,4,m,6.12,90.4
1T9,A18-342,4.1,f,5.48,99.6
1C5,A18-343,13,f,6.6,82.3
3Q9,A18-344,5.2,m,7.6,92.4
4T4,A18-346,4.2,f,5.5,86.5
5S3,A18-347,4.2,m,5,89.8
5L3,A18-348,8.1,m,11.14,115.7
6S2,A18-349,4.3,m,6.02,101.8
4R3,A18-350,5.2,m,6.92,83.1
1R1,A18-352,5.3,f,6.56,90.4
4P6,A18-353,6.1,f,6.24,100.1
2R9,A18-354,5.1,f,6.48,93.6
I191R1,A18-355,0.3,m,0.88,81.7
I194P6,A18-356,0.3,m,1.04,87.1
5S1,A18-358,4.2,m,6.08,103.9
6O7,A18-359,6,f,6.92,93.1
2T2,A18-360,4.1,m,4.98,105.6
0T8,A18-361,4.2,f,4.98,75.9
7J7,A18-362,9.1,f,6.2,84.8
3O7,A18-363,6.1,m,8.52,88.4
5M5,A18-364,7.2,f,6.92,NA
1C7,A18-365,13,f,7.22,90.1
9Q5,A18-366,5.2,f,6,93
6L3,A18-367,8.1,m,10.72,99.2
0L5,A18-368,8.1,m,12.76,91.1
6K6,A18-369,8.2,f,6.24,88.2
1P5,A18-370,6.2,m,10.76,96
2O7,A18-371,6.4,f,6.32,81.2
8H2,A18-372,10.1,m,11.3,114.7
4R4,A18-373,5.2,f,6.06,90.3
I194R4,A18-374,0.3,m,1.04,81.6
1E2,A18-387,12.1,f,6.32,83
I191E2,A18-388,0.3,m,0.72,66.2
1L1,A18-389,8.2,f,5.01,84.5
I191L1,A18-390,0.4,f,0.88,68.2
44V,A18-392,14.8,f,7.12,96.4
4Q4,A18-394,5.2,f,5.1,90.5
4T2,A18-395,4.4,m,5.4,93.6
3Q3,A18-396,5.3,f,5.32,98.1
I193Q3,A18-397,0.5,f,0.96,80
8S9,A18-398,4.3,m,7.08,101.5
6U6,A18-399,4.2,f,4.66,89.1
1O9,A18-400,6.1,f,5.08,87.8
3R9,A18-401,5.2,f,5.68,87.7
1J8,A18-402,9.1,m,10.58,99.8
8B3,A18-403,13.1,m,10.66,98.1
7I8,A18-404,9.2,f,7.68,96.3
I197I8,A18-405,0.4,f,1.24,83.9
2K0,A18-406,8.1,m,9.28,99.5
3O3,A18-407,6.2,m,8.94,101.4
6L4,A18-408,8.2,m,9.44,101.2
5I5,A18-409,9.2,m,10.16,90.9
1T5,A18-412,4.4,m,5.04,85.9
60R,A18-413,17,f,5.9,82.6
I1960R,A18-414,0.3,f,0.66,60
7Q3,A18-415,5.3,f,4.62,71.5
I197Q3,A18-416,0.4,f,0.74,64
49V,A18-417,15,f,7.74,81.8
3F7,A18-418,11.2,f,7.5,91
I193F7,A18-419,0.3,m,1.04,87.7
5Q7,A18-420,5.3,f,5.68,91.8
7O3,A18-421,6.2,m,8.36,107.8
3F5,A18-422,11,f,7.62,97.6
I193F5,A18-423,0.4,m,1.08,81.8
2F2,A18-426,11,f,7.44,101.9
I192F2,A18-427,0.5,f,1.05,83.9
4D8,A18-428,12.2,f,7.56,87
4F1,A18-429,11.1,f,6.16,88
I194F1,A18-430,0.3,f,0.78,68
2T5,A18-431,4.3,f,5.18,93.3
4M9,A18-432,7.2,f,6.62,86
