agonism_winner,agonism_loser,agonism_type,winner_sex,loser_sex,date,observer,data_source,focal_individual
07D,00O,feargrm,Male,Female,2010-07-28,JB,focalfollow,agonism.winner
07D,00O,feargrm,Male,Female,2010-07-28,JB,focalfollow,agonism.winner
07D,00O,threat,Male,Female,2010-07-28,JB,focalfollow,agonism.winner
29B,juvenile,threat,Female,Unknown,2010-07-28,JB,focalfollow,agonism.winner
33T,juvenile,noncontactagg,Male,Unknown,2010-07-28,JB,focalfollow,agonism.winner
34N,04I,avoid,Female,Male,2010-07-28,JB,focalfollow,agonism.winner
44J,43P,avoid,Female,Male,2010-07-28,JB,focalfollow,agonism.winner
44J,juvenile,threat,Female,Unknown,2010-07-28,JB,focalfollow,agonism.winner
61J,juvenile,noncontactagg,Female,Unknown,2010-07-28,JB,focalfollow,agonism.winner
62H,07D,avoid,Female,Male,2010-07-28,JB,focalfollow,agonism.winner
62H,juvenile,noncontactagg,Female,Unknown,2010-07-28,JB,focalfollow,agonism.winner
62H,juvenile,contactagg,Female,Unknown,2010-07-28,JB,focalfollow,agonism.winner
62V,43P,avoid,Female,Male,2010-07-28,JB,focalfollow,agonism.winner
85B,57H,feargrm,Male,Female,2010-07-28,JB,focalfollow,agonism.winner
R65,juvenile,threat,Female,Unknown,2010-07-28,JB,focalfollow,agonism.winner
00J,juvenile,threat,Female,Unknown,2010-07-29,JB,focalfollow,agonism.winner
07D,00O,feargrm,Male,Female,2010-07-29,JB,focalfollow,agonism.winner
07D,00O,threat,Male,Female,2010-07-29,JB,focalfollow,agonism.winner
07D,40L,noncontactagg,Male,Female,2010-07-29,JB,focalfollow,agonism.winner
07D,14L,noncontactagg,Male,Female,2010-07-29,JB,focalfollow,agonism.winner
07D,infant,threat,Male,Unknown,2010-07-29,JB,focalfollow,agonism.winner
36S,juvenile,noncontactagg,Male,Unknown,2010-07-29,JB,focalfollow,agonism.winner
36S,52P,feargrm,Male,Female,2010-07-29,JB,overtime,agonism.winner
44J,07D,avoid,Female,Male,2010-07-29,JB,focalfollow,agonism.winner
59A,00O,displace,Female,Female,2010-07-29,JB,focalfollow,agonism.winner
59A,28J,noncontactagg,Female,Female,2010-07-29,JB,focalfollow,agonism.winner
80T,unknown,threat,Male,Unknown,2010-07-29,JB,focalfollow,agonism.winner
90D,36S,avoid,Female,Male,2010-07-29,JB,focalfollow,agonism.winner
96B,79C,displace,Male,Female,2010-07-29,JB,focalfollow,agonism.winner
96B,30L,displace,Male,Male,2010-07-29,JB,focalfollow,agonism.winner
X58,juvenile,threat,Male,Unknown,2010-07-29,JB,focalfollow,agonism.winner
00O,85B,avoid,Female,Male,2010-07-30,JB,focalfollow,agonism.winner
04T,81O,noncontactagg,Male,Male,2010-07-30,JB,focalfollow,agonism.winner
43P,juvenile,noncontactagg,Male,Unknown,2010-07-30,JB,focalfollow,agonism.winner
04T,juvenile,noncontactagg,Male,Unknown,2010-08-01,JB,focalfollow,agonism.winner
04T,juvenile,feargrm,Male,Unknown,2010-08-01,JB,focalfollow,agonism.winner
04T,juvenile,noncontactagg,Male,Unknown,2010-08-01,JB,focalfollow,agonism.winner
29B,juvenile,threat,Female,Unknown,2010-08-01,JB,focalfollow,agonism.winner
43H,juvenile,threat,Male,Unknown,2010-08-01,JB,focalfollow,agonism.winner
43J,88I,noncontactagg,Female,Female,2010-08-01,JB,focalfollow,agonism.winner
59A,juvenile,noncontactagg,Female,Unknown,2010-08-01,JB,focalfollow,agonism.winner
59A,juvenile,feargrm,Female,Unknown,2010-08-01,JB,focalfollow,agonism.winner
59A,juvenile,threat,Female,Unknown,2010-08-01,JB,focalfollow,agonism.winner
78T,juvenile,displace,Female,Unknown,2010-08-01,JB,focalfollow,agonism.winner
96B,juvenile,displace,Male,Unknown,2010-08-01,JB,focalfollow,agonism.winner
K00,30L,avoid,Female,Male,2010-08-01,JB,focalfollow,agonism.winner
00O,juvenile,noncontactagg,Female,Unknown,2010-08-02,JB,overtime,agonism.winner
25L,juvenile,noncontactagg,Male,Unknown,2010-08-02,JB,focalfollow,agonism.winner
34N,36S,avoid,Female,Male,2010-08-02,JB,focalfollow,agonism.winner
44J,96B,noncontactagg,Female,Male,2010-08-02,JB,focalfollow,agonism.winner
61J,juvenile,displace,Female,Unknown,2010-08-02,JB,focalfollow,agonism.winner
33T,juvenile,feargrm,Male,Unknown,2010-08-03,JB,focalfollow,agonism.winner
33T,juvenile,avoid,Male,Unknown,2010-08-03,JB,focalfollow,agonism.winner
34N,59A,avoid,Female,Female,2010-08-03,JB,focalfollow,agonism.winner
36S,juvenile,displace,Male,Unknown,2010-08-03,JB,focalfollow,agonism.winner
40L,57H,submit,Female,Female,2010-08-03,JB,focalfollow,agonism.winner
40L,43P,avoid,Female,Male,2010-08-03,JB,focalfollow,agonism.winner
43H,juvenile,threat,Male,Unknown,2010-08-03,JB,focalfollow,agonism.winner
96B,juvenile,feargrm,Male,Unknown,2010-08-03,JB,focalfollow,agonism.winner
