groom_giver,groom_reciever,constrained_duration,observation_name
44J,juvenile,59,2011-03-29_44J_JB_2
93Z,36S,31,2011-03-29_93Z_JB_5
98T,juvenile,244,2011-03-29_98T_JB_4
98T,04T,120,2011-03-29_98T_JB_4
O52,juvenile,29,2011-03-29_O52_JB_3
0A9,juvenile,54,2011-03-30_0A9_JB_5
56A,30C,432,2011-03-30_56A_JB_3
64D,juvenile,50,2011-03-30_64D_JB_4
64D,61J,127,2011-03-30_64D_JB_4
78T,juvenile,51,2011-03-30_78T_JB_2
78T,juvenile,144,2011-03-30_78T_JB_2
00O,90D,31,2011-03-31_00O_JB_4
00O,juvenile,22,2011-03-31_00O_JB_4
00O,juvenile,214,2011-03-31_00O_JB_4
20F,juvenile,315,2011-03-31_20F_JB_2
20F,Z14,144,2011-03-31_20F_JB_2
52P,juvenile,161,2011-03-31_52P_JB_2
52P,juvenile,122,2011-03-31_52P_JB_2
68V,juvenile,223,2011-03-31_68V_JB_2
O52,85B,341,2011-03-31_O52_JB_6
R65,98T,236,2011-03-31_R65_JB_6
36S,40L,295,2011-04-01_36S_JB_2
79Z,juvenile,55,2011-04-01_79Z_JB_2
42L,juvenile,13,2011-04-04_42L_JB_3
42L,juvenile,89,2011-04-04_42L_JB_3
10S,juvenile,130,2011-04-06_10S_JB_2
2A8,50S,26,2011-04-06_2A8_JB_2
73B,juvenile,28,2011-04-27_73B_JB_6
78T,14I,48,2011-04-27_78T_JB_5
78T,14I,265,2011-04-27_78T_JB_5
85B,O52,36,2011-04-27_85B_JB_6
98T,25L,254,2011-04-27_98T_JB_1
V36,68V,32,2011-04-27_V36_JB_5
30C,98T,40,2011-04-28_30C_JB_4
43J,juvenile,46,2011-04-28_43J_JB_6
43J,juvenile,61,2011-04-28_43J_JB_6
79C,juvenile,595,2011-04-28_79C_JB_3
90D,juvenile,54,2011-04-28_90D_JB_5
90D,juvenile,51,2011-04-28_90D_JB_5
07D,28J,191,2011-04-29_07D_JB_2
88I,juvenile,32,2011-04-29_88I_JB_3
96B,V36,262,2011-04-29_96B_JB_2
2A8,44J,529,2011-05-02_2A8_JB_6
43P,juvenile,299,2011-05-02_43P_JB_6
44J,juvenile,13,2011-05-02_44J_JB_5
79C,juvenile,31,2011-05-02_79C_JB_2
N12,juvenile,33,2011-05-02_N12_JB_6
36S,59A,44,2011-05-03_36S_JB_5
36S,59A,105,2011-05-03_36S_JB_5
52P,juvenile,578,2011-05-03_52P_JB_3
79Z,juvenile,453,2011-05-03_79Z_JB_4
20F,juvenile,10,2011-05-04_20F_JB_4
20F,juvenile,274,2011-05-05_20F_JB_5
44J,juvenile,309,2011-05-05_44J_JB_3
98T,62H,196,2011-05-05_98T_JB_3
00O,juvenile,75,2011-05-06_00O_JB_1
98T,R65,55,2011-05-06_98T_JB_2
00O,96B,205,2011-05-09_00O_JB_3
00O,96B,76,2011-05-09_00O_JB_3
00O,96B,171,2011-05-09_00O_JB_3
0A9,29B,33,2011-05-09_0A9_JB_3
0A9,juvenile,215,2011-05-09_0A9_JB_3
29B,juvenile,28,2011-05-09_29B_JB_6
29B,juvenile,229,2011-05-09_29B_JB_6
O52,79C,196,2011-05-09_O52_JB_2
R65,04N,186,2011-05-09_R65_JB_2
R65,98T,97,2011-05-09_R65_JB_2
R65,juvenile,42,2011-05-09_R65_JB_2
10S,28J,104,2011-05-10_10S_JB_5
93Z,00J,133,2011-05-10_93Z_JB_3
2A8,68J,144,2011-05-11_2A8_JB_5
32S,juvenile,345,2011-05-11_32S_JB_4
34N,juvenile,236,2011-05-11_34N_JB_6
43P,82L,93,2011-05-13_43P_JB_1
0A9,juvenile,72,2011-05-13_0A9_JB_2
0A9,29B,58,2011-05-13_0A9_JB_2
32S,juvenile,68,2011-05-13_32S_JB_3
52P,juvenile,27,2011-05-13_52P_JB_1
0A9,juvenile,33,2011-05-18_0A9_JB_3
0A9,29B,32,2011-05-18_0A9_JB_3
10S,juvenile,96,2011-05-18_10S_JB_4
10S,juvenile,55,2011-05-18_10S_JB_4
25L,43J,597,2011-05-18_25L_JB_5
30C,X44,25,2011-05-18_30C_JB_3
30C,X44,28,2011-05-18_30C_JB_3
30C,X44,4,2011-05-18_30C_JB_3
33T,40L,354,2011-05-18_33T_JB_4
36S,17C,84,2011-05-18_36S_JB_6
52P,juvenile,280,2011-05-18_52P_JB_5
64D,juvenile,315,2011-05-18_64D_JB_5
68V,juvenile,39,2011-05-18_68V_JB_6
79Z,juvenile,85,2011-05-18_79Z_JB_3
R65,juvenile,331,2011-05-18_R65_JB_1
29B,juvenile,232,2011-05-19_29B_JB_3
43F,85B,57,2011-05-19_43F_JB_3
78T,juvenile,109,2011-05-24_78T_JB_3
79Z,juvenile,46,2011-05-24_79Z_JB_6
90D,juvenile,150,2011-05-24_90D_JB_6
42L,87K,110,2011-05-25_42L_JB_3
42L,87K,20,2011-05-25_42L_JB_3
79C,juvenile,596,2011-05-25_79C_JB_6
98T,31I,155,2011-05-25_98T_JB_6
98T,juvenile,167,2011-05-25_98T_JB_6
O52,85B,308,2011-05-25_O52_JB_3
O52,85B,201,2011-05-25_O52_JB_3
32S,79C,536,2011-05-26_32S_JB_6
2A7,juvenile,134,2011-05-27_2A7_JB_2
2A7,juvenile,85,2011-05-27_2A7_JB_2
44J,juvenile,67,2011-05-27_44J_JB_1
44J,juvenile,100,2011-05-27_44J_JB_1
59A,juvenile,121,2011-05-27_59A_JB_3
2A7,juvenile,352,2011-06-01_2A7_JB_3
52P,juvenile,67,2011-06-01_52P_JB_4
52P,juvenile,289,2011-06-01_52P_JB_4
78T,juvenile,70,2011-06-01_78T_JB_6
78T,juvenile,28,2011-06-01_78T_JB_6
85B,20F,88,2011-06-01_85B_JB_3
90D,juvenile,136,2011-06-01_90D_JB_3
90D,juvenile,224,2011-06-01_90D_JB_3
0A9,juvenile,25,2011-06-02_0A9_JB_6
20F,85B,124,2011-06-02_20F_JB_5
20F,85B,451,2011-06-02_20F_JB_5
29B,0A9,102,2011-06-02_29B_JB_4
29B,0A9,84,2011-06-02_29B_JB_4
36T,adult female,27,2011-06-02_36T_JB_3
36T,adult female,70,2011-06-02_36T_JB_3
36T,adult female,48,2011-06-02_36T_JB_3
43J,juvenile,556,2011-06-02_43J_JB_4
56A,28J,68,2011-06-02_56A_JB_4
62V,juvenile,128,2011-06-02_62V_JB_3
62V,juvenile,80,2011-06-02_62V_JB_3
00O,96B,335,2011-06-03_00O_JB_3
00O,96B,144,2011-06-03_00O_JB_3
42L,42L,598,2011-06-03_42L_JB_3
79Z,juvenile,36,2011-06-03_79Z_JB_1
0A9,29B,163,2011-06-06_0A9_JB_1
56E,73B,43,2011-06-06_56E_JB_2
56E,73B,40,2011-06-06_56E_JB_2
57H,17C,294,2011-06-06_57H_JB_4
96B,90D,28,2011-06-06_96B_JB_3
98T,R65,347,2011-06-06_98T_JB_2
O52,juvenile,163,2011-06-06_O52_JB_4
O52,juvenile,68,2011-06-06_O52_JB_4
00O,24B,119,2011-06-09_00O_JB_2
00O,96B,36,2011-06-09_00O_JB_2
00O,24B,74,2011-06-09_00O_JB_2
00O,24B,145,2011-06-09_00O_JB_2
43J,juvenile,118,2011-06-09_43J_JB_6
43J,juvenile,85,2011-06-09_43J_JB_6
43J,juvenile,50,2011-06-09_43J_JB_6
79Z,juvenile,40,2011-06-09_79Z_JB_2
O52,juvenile,114,2011-06-09_O52_JB_5
90D,29H,336,2011-06-10_90D_JB_1
36S,90D,112,2011-06-13_36S_JB_6
36S,90D,54,2011-06-13_36S_JB_6
56E,30C,345,2011-06-13_56E_JB_6
90D,juvenile,594,2011-06-13_90D_JB_6
20F,85B,204,2011-06-14_20F_JB_3
43F,36S,239,2011-06-14_43F_JB_6
43F,36S,103,2011-06-14_43F_JB_6
52P,juvenile,176,2011-06-14_52P_JB_6
20F,85B,597,2011-06-15_20F_JB_2
78T,juvenile,39,2011-06-16_78T_JB_1
59A,O52,186,2011-06-17_59A_JB_2
59A,O52,185,2011-06-17_59A_JB_2
00O,96B,77,2011-06-20_00O_JB_6
0A9,29B,137,2011-06-20_0A9_JB_5
0A9,29B,62,2011-06-20_0A9_JB_5
0A9,29B,246,2011-06-20_0A9_JB_5
20F,85B,82,2011-06-20_20F_JB_6
20F,juvenile,49,2011-06-20_20F_JB_6
33T,juvenile,131,2011-06-20_33T_JB_1
36T,juvenile,30,2011-06-20_36T_JB_4
98T,31S,32,2011-06-20_98T_JB_5
2A8,juvenile,39,2011-06-21_2A8_JB_4
43F,Z14,33,2011-06-21_43F_JB_2
43P,14L,117,2011-06-21_43P_JB_5
78T,juvenile,234,2011-06-21_78T_JB_5
78T,juvenile,108,2011-06-21_78T_JB_5
29B,07D,598,2011-06-22_29B_JB_5
42L,96Z,468,2011-06-22_42L_JB_4
68V,9A4,89,2011-06-22_68V_JB_1
68V,juvenile,50,2011-06-22_68V_JB_1
93Z,03J,96,2011-06-22_93Z_JB_1
V36,V36,596,2011-06-22_V36_JB_6
57H,79Z,83,2011-06-23_57H_JB_3
57H,2A7,107,2011-06-23_57H_JB_3
90D,juvenile,586,2011-06-23_90D_JB_5
2A7,juvenile,314,2011-06-28_2A7_JB_5
96B,42L,592,2011-06-28_96B_JB_6
98T,R65,589,2011-06-28_98T_JB_3
00O,36S,28,2011-06-30_00O_JB_2
00O,36S,231,2011-06-30_00O_JB_2
10S,juvenile,508,2011-06-30_10S_JB_5
52P,juvenile,237,2011-06-30_52P_JB_5
52P,juvenile,222,2011-06-30_52P_JB_5
59A,juvenile,84,2011-06-30_59A_JB_3
73B,juvenile,26,2011-06-30_73B_JB_4
73B,juvenile,33,2011-06-30_73B_JB_4
73B,56E,47,2011-06-30_73B_JB_4
X58,juvenile,73,2011-06-30_X58_JB_5
98T,98T,302,2011-07-05_98T_JB_4
00O,90D,116,2011-07-06_00O_JB_3
07D,78T,597,2011-07-06_07D_JB_5
29H,28N,560,2011-07-06_29H_JB_6
59A,85B,106,2011-07-06_59A_JB_6
88I,O52,39,2011-07-06_88I_JB_3
V36,juvenile,63,2011-07-06_V36_JB_3
43J,juvenile,91,2011-07-11_43J_JB_3
43J,juvenile,99,2011-07-11_43J_JB_3
43J,juvenile,282,2011-07-11_43J_JB_3
73B,59A,69,2011-07-11_73B_JB_5
73B,juvenile,281,2011-07-11_73B_JB_5
93Z,00J,126,2011-07-12_93Z_JB_3
2A8,juvenile,48,2011-07-13_2A8_JB_3
2A8,juvenile,319,2011-07-13_2A8_JB_3
90D,juvenile,350,2011-07-13_90D_JB_4
96B,00O,219,2011-07-13_96B_JB_6
78T,juvenile,315,2011-07-14_78T_JB_5
79Z,juvenile,547,2011-07-14_79Z_JB_5
2A7,juvenile,27,2011-07-15_2A7_JB_3
34N,00J,58,2011-07-15_34N_JB_1
34N,00J,34,2011-07-15_34N_JB_1
64D,juvenile,75,2011-07-15_64D_JB_2
90D,00O,122,2011-07-15_90D_JB_3
