id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,idcode,hrs.focalfollowed,focalcutoff_met
43F,F,1996,16,Z14,R70,Z14,F,1,H,100,4306,3.5,Y
5C0,F,2005,7,43F,08N,43F,F,2,H,96.61,5030,3.6666666666666665,Y
43J,F,1998,14,H74,O23,H74,F,3,H,94.915,4310,3.6666666666666665,Y
4C1,F,2005,7,43J,07D,43J,F,4,H,93.22,4031,3.3333333333333335,Y
82A,F,1993,19,H74,H87,H74,F,5,H,91.525,8201,3.8333333333333335,Y
6C0,F,2006,6,82A,08N,82A,F,6,H,89.831,6030,3.8333333333333335,Y
98T,F,2004,8,R65,30C,R65,F,7,H,88.136,9820,3.6666666666666665,Y
17C,F,1994,18,R65,G07,R65,F,8,H,86.441,1703,3.6666666666666665,Y
04N,F,2000,12,17C,Z06,17C,F,9,H,84.746,414,3.6666666666666665,Y
60P,F,2000,12,42B,29C,42B,F,10,H,83.051,6016,3.6666666666666665,Y
62H,F,1996,16,O53,H87,O53,F,11,H,81.356,6208,3.5,Y
92D,F,1994,18,K00,D11,K00,F,12,M,79.661,9204,3.5,Y
0A4,F,2004,8,62H,07D,62H,F,13,M,77.966,14,3.6666666666666665,Y
K00,F,1986,26,NA,NA,930,F,14,M,76.271,1100,3.6666666666666665,Y
59A,F,1992,20,NA,658,J97,F,15,M,74.576,5901,3.3333333333333335,Y
64P,F,2000,12,39B,85B,39B,F,16,M,72.881,6416,3.5,Y
82L,F,2000,12,NA,56C,27C,F,17,M,71.186,8212,4,Y
1C0,F,2005,7,V65,08N,V65,F,18,M,69.492,1030,3.1666666666666665,Y
32S,F,2001,11,V65,45A,V65,F,19,M,67.797,3219,3.6666666666666665,Y
50S,F,2002,10,Z08,10D,Z08,F,20,M,66.102,5019,3.5,Y
O52,F,1988,24,577,C18,577,F,21,M,64.407,1552,3.5,Y
7C0,F,2005,7,O52,64K,O52,F,22,M,62.712,7030,3.6666666666666665,Y
88I,F,1997,15,23B,K42,23B,F,23,M,61.017,8809,3.6666666666666665,Y
56E,F,1996,16,C26,S94,C26,F,24,M,59.322,5605,3.6666666666666665,Y
