date,group,observer.initials,scan.num,start.time,stop.time,cayo.map.code,subject.ID,subject.activity,partner.ID,prox.adult.IDs,nearest.adult.neighbour.ID,distance.nearest.neighbour,partner.activity
10/26/17,F,JN,1,8:19,8:35,LCL,6C0,F,N/A,1A3,1A3,1,NA
10/26/17,F,JN,1,8:19,8:35,LCL,1A3,F,N/A,N/A,6C0,3,NA
10/26/17,F,JN,1,8:19,8:35,LCL,43J,F,N/A,1A3,1A3,2,NA
10/26/17,F,JN,1,8:19,8:35,LCL,7J8,F,N/A,N/A,6B2,4,NA
10/26/17,F,JN,1,8:19,8:35,LCL,6B2,F,N/A,N/A,7J8,4,NA
10/26/17,F,JN,1,8:19,8:35,LCL,7D7,F,N/A,N/A,9I6,3,NA
10/26/17,F,JN,1,8:19,8:35,LCL,9I6,F,N/A,7D7,7D7,2,NA
10/26/17,F,JN,1,8:19,8:35,LCL,2J8,AG,9I6,"7D7, 1A3",7D7,1,NA
10/26/17,F,JN,1,8:19,8:35,LCL,5G3,F,N/A,N/A,29Z,4,NA
10/26/17,F,JN,1,8:19,8:35,LCL,29Z,F,N/A,N/A,5G3,3,NA
10/26/17,F,JN,1,8:19,8:35,LCL,0I5,T,N/A,N/A,1A3,5,NA
10/26/17,F,JN,1,8:19,8:35,LCL,68V,F,N/A,0E0,0E0,1,NA
10/26/17,F,JN,1,8:19,8:35,LCL,7G2,AG,68V,68V,68V,1,NA
10/26/17,F,JN,1,8:19,8:35,LCL,2L5,F,N/A,1C2,1C2,2,NA
10/26/17,F,JN,1,8:19,8:35,LCL,1C2,F,N/A,"2L5, 7J8",2L5,0,NA
10/26/17,F,JN,1,8:19,8:35,LCL,9A4,F,N/A,0I6,0I6,1,NA
10/26/17,F,JN,2,8:44,8:59,LCL,9D1,F,N/A,N/A,37N,3,NA
10/26/17,F,JN,2,8:44,8:59,LCL,79Z,F,N/A,9D1,9D1,2,NA
10/26/17,F,JN,2,8:44,8:59,LCL,4C1,F,N/A,N/A,0A4,5,NA
10/26/17,F,JN,2,8:44,8:59,LCL,0A4,F,N/A,N/A,4C1,4,NA
10/26/17,F,JN,2,8:44,8:59,LCL,59A,R,N/A,N/A,8J8,4,NA
10/26/17,F,JN,2,8:44,8:59,LCL,8J8,F,N/A,N/A,9D1,3,NA
10/26/17,F,JN,2,8:44,8:59,LCL,37N,F,N/A,N/A,9D1,4,NA
10/26/17,F,JN,2,8:44,8:59,LCL,43P,F,N/A,37N,37N,2,NA
10/26/17,F,JN,2,8:44,8:59,LCL,96B,F,N/A,N/A,4C1,3,NA
10/26/17,F,JN,2,8:44,8:59,LCL,40L,F,N/A,43P,43P,1,NA
10/26/17,F,JN,2,8:44,8:59,LCL,8B0,F,N/A,43P,43P,0,NA
10/26/17,F,JN,2,8:44,8:59,LCL,2C9,F,N/A,N/A,8D8,3,NA
10/26/17,F,JN,2,8:44,8:59,LCL,8D8,F,N/A,N/A,2C9,3,NA
10/26/17,F,JN,2,8:44,8:59,LCL,18Z,F,N/A,N/A,63V,4,NA
10/26/17,F,JN,2,8:44,8:59,LCL,7B7,F,N/A,9D1,9D1,0,NA
10/26/17,F,JN,2,8:44,8:59,LCL,63V,T,N/A,N/A,-,-,NA
10/26/17,F,JN,2,8:44,8:59,LCL,9M5,T,N/A,N/A,98T,3,NA
10/26/17,F,JN,2,8:44,8:59,LCL,98T,R,N/A,N/A,40L,6,NA
10/26/17,F,JN,2,8:44,8:59,LCL,4C2,R,N/A,59A,59A,2,NA
10/26/17,F,JN,2,8:44,8:59,LCL,9D8,T,N/A,N/A,2A7,5,NA
