groom_giver,groom_reciever,constrained_duration,observation_name
0B6,2C3,193,2013-08-28_0B6_CM_5
1C5,51V,28,2013-08-28_1C5_CM_5
37V,19A,167,2013-08-29_37V_CM_5
37V,19A,158,2013-08-29_37V_CM_5
44V,adult male,79,2013-08-29_44V_CM_5
21H,0B6,68,2013-08-30_21H_CM_2
51V,6D9,95,2013-08-30_51V_CM_1
76J,25P,47,2013-08-30_76J_CM_6
1E2,21H,66,2013-09-03_1E2_CM_5
1C7,37V,363,2013-09-09_1C7_CM_6
3A2,83Z,151,2013-09-09_3A2_CM_1
62R,adult male,387,2013-09-09_62R_CM_5
9C5,adult male,269,2013-09-09_9C5_CM_2
6D9,24V,139,2013-09-10_6D9_CM_2
1C5,2C3,59,2013-09-11_1C5_CM_6
53E,2C4,19,2013-09-12_53E_CM_5
62R,adult male,323,2013-09-12_62R_CM_6
6D4,4D8,72,2013-09-12_6D4_CM_4
6D4,4D8,54,2013-09-12_6D4_CM_4
6D9,76J,239,2013-09-12_6D9_CM_4
83Z,1E2,236,2013-09-12_83Z_CM_4
2C4,adult male,191,2013-09-13_2C4_CM_6
2C4,2C3,124,2013-09-13_2C4_CM_6
51V,93O,154,2013-09-13_51V_CM_5
6D6,adult male,167,2013-09-13_6D6_CM_6
24V,4D8,113,2013-09-16_24V_CM_3
24V,76J,112,2013-09-16_24V_CM_3
37V,3A2,282,2013-09-16_37V_CM_6
49V,adult male,169,2013-09-16_49V_CM_4
3A2,6D4,360,2013-09-17_3A2_CM_1
24V,adult male,355,2013-09-18_24V_CM_4
44V,2C3,210,2013-09-18_44V_CM_1
62R,24V,30,2013-09-18_62R_CM_4
62R,24V,208,2013-09-18_62R_CM_4
6D4,adult male,203,2013-09-18_6D4_CM_6
1C7,44V,155,2013-09-19_1C7_CM_4
21H,adult male,596,2013-09-19_21H_CM_5
51V,44V,100,2013-09-19_51V_CM_6
51V,44V,50,2013-09-19_51V_CM_6
51V,62R,261,2013-09-19_51V_CM_6
55J,0B6,154,2013-09-19_55J_CM_2
62R,adult male,147,2013-09-19_62R_CM_1
6D6,adult male,161,2013-09-20_6D6_CM_1
1C5,adult male,168,2013-09-23_1C5_CM_1
1C7,44V,539,2013-09-23_1C7_CM_5
44V,adult male,112,2013-09-23_44V_CM_4
55J,adult male,225,2013-09-23_55J_CM_2
62R,83Z,125,2013-09-23_62R_CM_2
6C2,adult male,56,2013-09-23_6C2_CM_3
62R,1E2,64,2013-09-25_62R_CM_1
83Z,24V,18,2013-09-25_83Z_CM_6
0B6,62R,261,2013-09-26_0B6_CM_6
49V,93O,181,2013-09-26_49V_CM_6
