agonism_winner,agonism_loser,agonism_type,winner_sex,loser_sex,date,observer,data_source,focal_individual
6L3,infant,noncontactAgg,Male,Unknown,2017-05-08,JN,focalfollow,agonism.winner
97Z,juvenile male,noncontactAgg,Male,Unknown,2017-05-08,JN,focalfollow,agonism.winner
11Z,adult male,threat,Male,Unknown,2017-05-09,JN,focalfollow,agonism.winner
27J,juvenile female,displace,Male,Unknown,2017-05-09,JN,focalfollow,agonism.winner
27J,0K8,FearGrm,Male,Female,2017-05-09,JN,focalfollow,agonism.winner
27N,infant,threat,Male,Unknown,2017-05-09,JN,focalfollow,agonism.winner
4D8,0J5,threat,Female,Female,2017-05-09,JN,focalfollow,agonism.winner
94H,juvenile male,noncontactAgg,Male,Unknown,2017-05-09,JN,focalfollow,agonism.winner
9L9,juvenile female,noncontactAgg,Female,Unknown,2017-05-09,JN,focalfollow,agonism.winner
0R2,37V,avoid,Male,Female,2017-05-12,JN,focalfollow,agonism.winner
1R1,juvenile female,contactAgg,Female,Unknown,2017-05-12,JN,focalfollow,agonism.winner
46Z,3F5,avoid,Male,Female,2017-05-12,JN,focalfollow,agonism.winner
4P6,juvenile male,noncontactAgg,Female,Unknown,2017-05-15,JN,focalfollow,agonism.winner
4R3,1C5,avoid,Male,Female,2017-05-15,JN,focalfollow,agonism.winner
5H4,2C4,threat,Female,Female,2017-05-15,JN,focalfollow,agonism.winner
5J3,1C7,threat,Male,Female,2017-05-15,JN,focalfollow,agonism.winner
5J3,juvenile,threat,Male,Unknown,2017-05-15,JN,focalfollow,agonism.winner
5J3,8I9,displace,Male,Female,2017-05-15,JN,focalfollow,agonism.winner
6D4,juvenile female,displace,Female,Unknown,2017-05-15,JN,focalfollow,agonism.winner
6D4,juvenile female,displace,Female,Unknown,2017-05-15,JN,focalfollow,agonism.winner
98Z,juvenile female,noncontactAgg,Male,Unknown,2017-05-15,JN,focalfollow,agonism.winner
98Z,9I8,noncontactAgg,Male,Female,2017-05-15,JN,focalfollow,agonism.winner
1E2,juvenile male,avoid,Female,Unknown,2017-05-16,JN,focalfollow,agonism.winner
1E2,3F5,avoid,Female,Female,2017-05-16,JN,focalfollow,agonism.winner
2F2,93O,contactAgg,Female,Female,2017-05-16,JN,overtime,agonism.winner
2R0,juvenile male,displace,Male,Unknown,2017-05-16,JN,focalfollow,agonism.winner
6C2,25P,noncontactAgg,Female,Female,2017-05-16,JN,focalfollow,agonism.winner
6L1,9L9,displace,Female,Female,2017-05-16,JN,focalfollow,agonism.winner
6L1,9L9,Submit,Female,Female,2017-05-16,JN,focalfollow,agonism.winner
6L4,5J3,noncontactAgg,Male,Male,2017-05-16,JN,focalfollow,agonism.winner
6L4,5J3,threat,Male,Male,2017-05-16,JN,focalfollow,agonism.winner
83Z,3G3,threat,Female,Female,2017-05-16,JN,focalfollow,agonism.winner
99L,9I8,FearGrm,Male,Female,2017-05-16,JN,focalfollow,agonism.winner
1P0,juvenile male,displace,Female,Unknown,2017-05-17,JN,focalfollow,agonism.winner
2C4,2F2,avoid,Female,Female,2017-05-17,JN,focalfollow,agonism.winner
2C4,1C5,avoid,Female,Female,2017-05-17,JN,focalfollow,agonism.winner
4Q4,juvenile,Submit,Female,Unknown,2017-05-18,JN,focalfollow,agonism.winner
73Z,37V,avoid,Male,Female,2017-05-22,JN,focalfollow,agonism.winner
73Z,98Z,displace,Male,Male,2017-05-22,JN,focalfollow,agonism.winner
97Z,juvenile female,contactAgg,Male,Unknown,2017-05-22,JN,focalfollow,agonism.winner
6K6,juvenile female,FearGrm,Female,Unknown,2017-05-23,JN,focalfollow,agonism.winner
8I9,juvenile female,avoid,Female,Unknown,2017-05-23,JN,focalfollow,agonism.winner
99L,86Z,displace,Male,Female,2017-05-23,JN,focalfollow,agonism.winner
0Q5,9L9,threat,Female,Female,2017-05-24,JN,focalfollow,agonism.winner
2C3,7I8,threat,Female,Female,2017-05-24,JN,focalfollow,agonism.winner
3G3,25P,avoid,Female,Female,2017-05-24,JN,focalfollow,agonism.winner
46Z,3G3,avoid,Male,Female,2017-05-24,JN,focalfollow,agonism.winner
46Z,3F5,displace,Male,Female,2017-05-24,JN,focalfollow,agonism.winner
62R,2J7,contactAgg,Female,Female,2017-05-24,JN,focalfollow,agonism.winner
7O3,1C7,displace,Female,Female,2017-05-24,JN,focalfollow,agonism.winner
1C5,juvenile,noncontactAgg,Female,Unknown,2017-05-25,JN,focalfollow,agonism.winner
27N,juvenile female,avoid,Male,Unknown,2017-05-25,JN,focalfollow,agonism.winner
27N,none,threat,Male,Unknown,2017-05-25,JN,focalfollow,agonism.winner
8O9,juvenile,threat,Female,Unknown,2017-05-25,JN,focalfollow,agonism.winner
56K,adult female,noncontactAgg,Male,Unknown,2017-05-30,JN,focalfollow,agonism.winner
5M5,1C5,displace,Female,Female,2017-05-30,JN,focalfollow,agonism.winner
62R,1E2,avoid,Female,Female,2017-05-30,JN,focalfollow,agonism.winner
64S,juvenile male,avoid,Male,Unknown,2017-05-30,JN,focalfollow,agonism.winner
6K6,infant,noncontactAgg,Female,Unknown,2017-05-30,JN,focalfollow,agonism.winner
4F1,infant,contactAgg,Female,Unknown,2017-05-31,JN,focalfollow,agonism.winner
6A9,juvenile male,noncontactAgg,Male,Unknown,2017-05-31,JN,focalfollow,agonism.winner
6D6,infant,contactAgg,Female,Unknown,2017-05-31,JN,focalfollow,agonism.winner
6M7,juvenile female,contactAgg,Female,Unknown,2017-05-31,JN,focalfollow,agonism.winner
8L3,2J7,displace,Female,Female,2017-05-31,JN,focalfollow,agonism.winner
