date,observation.name,scan.number,focal.monkey,in.proximity,focal.activity,partners.activity (sequential),time
2017-05-08,2017-05-08_0M6_JN_4,1,0M6,0M6,rest,NA,2017-05-08T12:34:49Z
2017-05-08,2017-05-08_0M6_JN_4,2,0M6,0M6,social,NA,2017-05-08T12:39:50Z
2017-05-08,2017-05-08_0R2_JN_1,1,0R2,0R2,social,NA,2017-05-08T09:33:11Z
2017-05-08,2017-05-08_0R2_JN_1,2,0R2,0R2,rest,NA,2017-05-08T09:38:09Z
2017-05-08,2017-05-08_1C5_JN_4,1,1C5,1C5,social,NA,2017-05-08T12:43:44Z
2017-05-08,2017-05-08_1C5_JN_4,2,1C5,1C5,social,NA,2017-05-08T12:48:40Z
2017-05-08,2017-05-08_1C7_JN_4,1,1C7,1C7,rest,NA,2017-05-08T13:32:51Z
2017-05-08,2017-05-08_1C7_JN_4,2,1C7,1C7,rest,NA,2017-05-08T13:38:16Z
2017-05-08,2017-05-08_1L1_JN_1,1,1L1,1L1,rest,NA,2017-05-08T09:57:54Z
2017-05-08,2017-05-08_1L1_JN_1,2,1L1,1L1,rest,NA,2017-05-08T10:03:02Z
2017-05-08,2017-05-08_1M8_JN_1,1,1M8,1M8,rest,NA,2017-05-08T09:14:20Z
2017-05-08,2017-05-08_1M8_JN_1,2,1M8,1M8,rest,NA,2017-05-08T09:19:21Z
2017-05-08,2017-05-08_1O9_JN_1,1,1O9,1O9,feedchow,NA,2017-05-08T10:09:12Z
2017-05-08,2017-05-08_1O9_JN_1,2,1O9,1O9,feedplant,NA,2017-05-08T10:14:12Z
2017-05-08,2017-05-08_1P5_JN_4,1,1P5,1P5,rest,NA,2017-05-08T11:58:05Z
2017-05-08,2017-05-08_1P5_JN_4,2,1P5,1P5,feedplant,NA,2017-05-08T12:03:06Z
2017-05-08,2017-05-08_24V_JN_4,1,24V,24V,rest,NA,2017-05-08T12:18:25Z
2017-05-08,2017-05-08_24V_JN_4,2,24V,24V,social,NA,2017-05-08T12:23:25Z
2017-05-08,2017-05-08_2O4_JN_1,1,2O4,2O4,feedplant,NA,2017-05-08T08:11:19Z
2017-05-08,2017-05-08_2O4_JN_1,2,2O4,2O4,feedplant,NA,2017-05-08T08:16:19Z
2017-05-08,2017-05-08_3F5_JN_1,1,3F5,3F5,feedplant,NA,2017-05-08T09:52:11Z
2017-05-08,2017-05-08_3F5_JN_1,2,3F5,3F5,feedplant,NA,2017-05-08T09:57:10Z
2017-05-08,2017-05-08_3G3_JN_1,1,3G3,3G3,rest,NA,2017-05-08T08:53:06Z
2017-05-08,2017-05-08_3G3_JN_1,2,3G3,3G3,travel,NA,2017-05-08T08:58:08Z
2017-05-08,2017-05-08_3M3_JN_4,1,3M3,"3M3, 4F1, 27J",rest,"social, social",2017-05-08T12:49:37Z
2017-05-08,2017-05-08_3M3_JN_4,2,3M3,"3M3, 4F1, 27J",social,"social, social",2017-05-08T12:54:39Z
2017-05-08,2017-05-08_3R0_JN_4,1,3R0,3R0,social,NA,2017-05-08T11:23:15Z
2017-05-08,2017-05-08_3R0_JN_4,2,3R0,3R0,feedplant,NA,2017-05-08T11:28:12Z
2017-05-08,2017-05-08_44V_JN_1,1,44V,44V,rest,NA,2017-05-08T08:47:03Z
2017-05-08,2017-05-08_44V_JN_1,2,44V,44V,rest,NA,2017-05-08T08:52:04Z
2017-05-08,2017-05-08_4M0_JN_4,1,4M0,4M0,rest,NA,2017-05-08T11:35:24Z
2017-05-08,2017-05-08_4M0_JN_4,2,4M0,4M0,rest,NA,2017-05-08T11:40:24Z
2017-05-08,2017-05-08_4R4_JN_4,1,4R4,4R4,social,NA,2017-05-08T13:25:52Z
2017-05-08,2017-05-08_4R4_JN_4,2,4R4,4R4,travel,NA,2017-05-08T13:30:41Z
2017-05-08,2017-05-08_5J3_JN_1,1,5J3,5J3,feedplant,NA,2017-05-08T07:56:03Z
2017-05-08,2017-05-08_5J3_JN_1,2,5J3,5J3,feedplant,NA,2017-05-08T08:01:00Z
2017-05-08,2017-05-08_5M5_JN_1,1,5M5,5M5,feedplant,NA,2017-05-08T10:22:09Z
2017-05-08,2017-05-08_5M5_JN_1,2,5M5,5M5,travel,NA,2017-05-08T10:27:08Z
2017-05-08,2017-05-08_64S_JN_1,1,64S,64S,feedplant,NA,2017-05-08T10:15:08Z
2017-05-08,2017-05-08_64S_JN_1,2,64S,64S,feedplant,NA,2017-05-08T10:20:07Z
2017-05-08,2017-05-08_6A9_JN_1,1,6A9,6A9,feedplant,NA,2017-05-08T08:40:33Z
2017-05-08,2017-05-08_6A9_JN_1,2,6A9,6A9,feedplant,NA,2017-05-08T08:45:33Z
2017-05-08,2017-05-08_6C2_JN_4,1,6C2,6C2,feedplant,NA,2017-05-08T13:55:03Z
2017-05-08,2017-05-08_6C2_JN_4,2,6C2,6C2,feedplant,NA,2017-05-08T14:00:03Z
2017-05-08,2017-05-08_6D4_JN_4,1,6D4,6D4,feedplant,NA,2017-05-08T13:48:38Z
2017-05-08,2017-05-08_6D4_JN_4,2,6D4,"6D4, 1C7",feedplant,feedplant,2017-05-08T13:53:38Z
2017-05-08,2017-05-08_6K6_JN_4,1,6K6,6K6,rest,NA,2017-05-08T13:42:44Z
2017-05-08,2017-05-08_6K6_JN_4,2,6K6,6K6,rest,NA,2017-05-08T13:47:47Z
2017-05-08,2017-05-08_6L1_JN_4,1,6L1,6L1,rest,NA,2017-05-08T13:03:20Z
2017-05-08,2017-05-08_6L1_JN_4,2,6L1,"6L1, 1E2",rest,rest,2017-05-08T13:08:19Z
2017-05-08,2017-05-08_6L3_JN_1,1,6L3,6L3,feedplant,NA,2017-05-08T08:17:55Z
2017-05-08,2017-05-08_6L3_JN_1,2,6L3,6L3,feedplant,NA,2017-05-08T08:22:55Z
2017-05-08,2017-05-08_6L4_JN_4,1,6L4,6L4,rest,NA,2017-05-08T11:42:00Z
2017-05-08,2017-05-08_6L4_JN_4,2,6L4,6L4,rest,NA,2017-05-08T11:47:01Z
2017-05-08,2017-05-08_6M7_JN_1,1,6M7,"6M7, 1C7",rest,rest,2017-05-08T09:42:38Z
2017-05-08,2017-05-08_6M7_JN_1,2,6M7,6M7,rest,NA,2017-05-08T09:47:49Z
2017-05-08,2017-05-08_73Z_JN_1,1,73Z,73Z,rest,NA,2017-05-08T09:01:33Z
2017-05-08,2017-05-08_73Z_JN_1,2,73Z,73Z,rest,NA,2017-05-08T09:06:34Z
2017-05-08,2017-05-08_76J_JN_4,1,76J,76J,rest,NA,2017-05-08T12:12:05Z
2017-05-08,2017-05-08_76J_JN_4,2,76J,76J,feedplant,NA,2017-05-08T12:17:05Z
2017-05-08,2017-05-08_7F0_JN_1,1,7F0,7F0,rest,NA,2017-05-08T09:08:26Z
2017-05-08,2017-05-08_7F0_JN_1,2,7F0,7F0,social,NA,2017-05-08T09:13:26Z
2017-05-08,2017-05-08_7J7_JN_4,1,7J7,7J7,rest,NA,2017-05-08T12:56:31Z
2017-05-08,2017-05-08_7J7_JN_4,2,7J7,7J7,rest,NA,2017-05-08T13:01:32Z
2017-05-08,2017-05-08_86Z_JN_1,1,86Z,86Z,feedplant,NA,2017-05-08T08:27:56Z
2017-05-08,2017-05-08_86Z_JN_1,2,86Z,86Z,feedplant,NA,2017-05-08T08:33:05Z
2017-05-08,2017-05-08_8I9_JN_4,1,8I9,8I9,feedplant,NA,2017-05-08T12:03:51Z
2017-05-08,2017-05-08_8I9_JN_4,2,8I9,8I9,travel,NA,2017-05-08T12:08:50Z
2017-05-08,2017-05-08_93O_JN_1,1,93O,93O,rest,NA,2017-05-08T09:26:17Z
2017-05-08,2017-05-08_93O_JN_1,2,93O,93O,rest,NA,2017-05-08T09:31:17Z
2017-05-08,2017-05-08_97Z_JN_1,1,97Z,"97Z, 97Z, 7F0",social,rest,2017-05-08T09:20:31Z
2017-05-08,2017-05-08_97Z_JN_1,2,97Z,97Z,rest,NA,2017-05-08T09:25:29Z
2017-05-08,2017-05-08_98Z_JN_4,1,98Z,98Z,rest,NA,2017-05-08T13:17:00Z
2017-05-08,2017-05-08_98Z_JN_4,2,98Z,"98Z, 6A9",rest,rest,2017-05-08T13:22:01Z
2017-05-08,2017-05-08_99L_JN_4,1,99L,99L,rest,NA,2017-05-08T13:10:43Z
2017-05-08,2017-05-08_99L_JN_4,2,99L,99L,rest,NA,2017-05-08T13:15:59Z
2017-05-08,2017-05-08_9H9_JN_1,1,9H9,9H9,feedplant,NA,2017-05-08T08:04:17Z
2017-05-08,2017-05-08_9H9_JN_1,2,9H9,9H9,travel,NA,2017-05-08T08:09:16Z
2017-05-08,2017-05-08_9I8_JN_4,1,9I8,9I8,feedplant,NA,2017-05-08T11:29:20Z
2017-05-08,2017-05-08_9I8_JN_4,2,9I8,9I8,feedplant,NA,2017-05-08T11:34:18Z
2017-05-09,2017-05-09_0J5_JN_1,1,0J5,0J5,rest,NA,2017-05-09T09:33:59Z
2017-05-09,2017-05-09_0J5_JN_1,2,0J5,"0J5, 55J",rest,rest,2017-05-09T09:38:59Z
2017-05-09,2017-05-09_0K8_JN_1,1,0K8,0K8,feedplant,NA,2017-05-09T08:40:20Z
2017-05-09,2017-05-09_0K8_JN_1,2,0K8,0K8,feedplant,NA,2017-05-09T08:45:20Z
2017-05-09,2017-05-09_0Q5_JN_1,1,0Q5,0Q5,rest,NA,2017-05-09T10:05:31Z
2017-05-09,2017-05-09_0Q5_JN_1,2,0Q5,0Q5,social,NA,2017-05-09T10:10:31Z
2017-05-09,2017-05-09_11Z_JN_4,1,11Z,11Z,rest,NA,2017-05-09T11:19:28Z
2017-05-09,2017-05-09_11Z_JN_4,2,11Z,11Z,rest,NA,2017-05-09T11:24:29Z
2017-05-09,2017-05-09_1O7_JN_1,1,1O7,1O7,social,NA,2017-05-09T09:14:26Z
2017-05-09,2017-05-09_1O7_JN_1,2,1O7,1O7,social,NA,2017-05-09T09:19:21Z
2017-05-09,2017-05-09_1P0_JN_1,1,1P0,1P0,rest,NA,2017-05-09T09:20:38Z
2017-05-09,2017-05-09_1P0_JN_1,2,1P0,1P0,rest,NA,2017-05-09T09:25:39Z
2017-05-09,2017-05-09_24V_JN_1,1,24V,24V,rest,NA,2017-05-09T10:17:29Z
2017-05-09,2017-05-09_24V_JN_1,2,24V,"24V, 16R",feedplant,rest,2017-05-09T10:22:30Z
2017-05-09,2017-05-09_25P_JN_1,1,25P,25P,rest,NA,2017-05-09T09:40:01Z
2017-05-09,2017-05-09_25P_JN_1,2,25P,25P,social,NA,2017-05-09T09:45:06Z
2017-05-09,2017-05-09_27J_JN_1,1,27J,"27J, 6L1",feedplant,feedplant,2017-05-09T08:00:02Z
2017-05-09,2017-05-09_27J_JN_1,2,27J,27J,travel,NA,2017-05-09T08:05:08Z
2017-05-09,2017-05-09_27N_JN_1,1,27N,27N,feedwater,NA,2017-05-09T08:17:39Z
2017-05-09,2017-05-09_27N_JN_1,2,27N,"27N, 49V",feedwater,rest,2017-05-09T08:22:39Z
2017-05-09,2017-05-09_2F2_JN_1,1,2F2,2F2,feedplant,NA,2017-05-09T08:46:08Z
2017-05-09,2017-05-09_2F2_JN_1,2,2F2,2F2,feedplant,NA,2017-05-09T08:51:09Z
2017-05-09,2017-05-09_2J7_JN_1,1,2J7,2J7,feedplant,NA,2017-05-09T08:11:54Z
2017-05-09,2017-05-09_2J7_JN_1,2,2J7,"2J7, 62R",feedplant,feedplant,2017-05-09T08:16:49Z
2017-05-09,2017-05-09_3O3_JN_4,1,3O3,"3O3, 64S",rest,rest,2017-05-09T11:51:36Z
2017-05-09,2017-05-09_3O3_JN_4,2,3O3,3O3,rest,NA,2017-05-09T11:56:37Z
2017-05-09,2017-05-09_4D8_JN_1,1,4D8,4D8,feedplant,NA,2017-05-09T08:05:57Z
2017-05-09,2017-05-09_4D8_JN_1,2,4D8,4D8,rest,NA,2017-05-09T08:10:58Z
2017-05-09,2017-05-09_4F1_JN_1,1,4F1,4F1,feedwater,NA,2017-05-09T08:34:29Z
2017-05-09,2017-05-09_4F1_JN_1,2,4F1,4F1,feedplant,NA,2017-05-09T08:39:37Z
2017-05-09,2017-05-09_51J_JN_4,1,51J,51J,social,NA,2017-05-09T11:26:10Z
2017-05-09,2017-05-09_51J_JN_4,2,51J,51J,rest,NA,2017-05-09T11:31:06Z
2017-05-09,2017-05-09_56K_JN_1,1,56K,56K,rest,NA,2017-05-09T08:58:20Z
2017-05-09,2017-05-09_56K_JN_1,2,56K,56K,rest,NA,2017-05-09T09:03:20Z
2017-05-09,2017-05-09_60R_JN_4,1,60R,60R,rest,NA,2017-05-09T11:32:36Z
2017-05-09,2017-05-09_60R_JN_4,2,60R,"60R, 2F2",rest,rest,2017-05-09T11:37:38Z
2017-05-09,2017-05-09_6O7_JN_4,1,6O7,6O7,rest,NA,2017-05-09T11:39:06Z
2017-05-09,2017-05-09_6O7_JN_4,2,6O7,6O7,rest,NA,2017-05-09T11:44:27Z
2017-05-09,2017-05-09_7O3_JN_1,1,7O3,"7O3, 24V",rest,rest,2017-05-09T10:11:26Z
2017-05-09,2017-05-09_7O3_JN_1,2,7O3,7O3,travel,NA,2017-05-09T10:16:26Z
2017-05-09,2017-05-09_83Z_JN_4,1,83Z,83Z,social,NA,2017-05-09T12:02:01Z
2017-05-09,2017-05-09_83Z_JN_4,2,83Z,83Z,social,NA,2017-05-09T12:06:58Z
2017-05-09,2017-05-09_8C9_JN_1,1,8C9,8C9,rest,NA,2017-05-09T08:27:35Z
2017-05-09,2017-05-09_8C9_JN_1,2,8C9,8C9,rest,NA,2017-05-09T08:32:37Z
2017-05-09,2017-05-09_8L3_JN_1,1,8L3,8L3,rest,NA,2017-05-09T09:58:06Z
2017-05-09,2017-05-09_8L3_JN_1,2,8L3,8L3,rest,NA,2017-05-09T10:03:15Z
2017-05-09,2017-05-09_8O9_JN_1,1,8O9,8O9,rest,NA,2017-05-09T08:51:53Z
2017-05-09,2017-05-09_8O9_JN_1,2,8O9,8O9,travel,NA,2017-05-09T08:56:54Z
