date,group,observer.initials,scan.num,start.time,stop.time,cayo.map.code,subject.ID,subject.activity,partner.ID,prox.adult.IDs,nearest.adult.neighbour.ID,distance.nearest.neighbour,partner.activity
1/18/17,KK,JN,1,7:50:00,8:05:00,LCUW,2J7,AG,JF,"24V,56K",56K,1,NA
1/18/17,KK,JN,1,7:50:00,8:05:00,LCUW,27J,AG,97Z,24V,25V,2,NA
1/18/17,KK,JN,5,9:49:00,10:06:00,LCUW,8H2,AG,9H9,9H9,9H9,1,NA
1/18/17,KK,JN,7,10:40:00,10:55:00,LCCE,7F0,AG,INF,N/A,44V,3,NA
1/18/17,KK,JN,7,10:40:00,10:55:00,LCCE,8C9,AG,2C4,N/A,49V,5,NA
1/18/17,KK,JN,6,10:16:00,10:30:00,LCUW,1C7,E,JF,N/A,1E2,7,NA
1/18/17,KK,JN,1,7:50:00,8:05:00,LCUW,6D4,F,N/A,"9N6,7I8,1E2",9N6,1,NA
1/18/17,KK,JN,1,7:50:00,8:05:00,LCUW,9N6,F,N/A,"3F7,6D4,1E2,2J7",3F7,1,NA
1/18/17,KK,JN,1,7:50:00,8:05:00,LCUW,3F7,F,N/A,"6D4,7I8",6D4,1,NA
1/18/17,KK,JN,1,7:50:00,8:05:00,LCUW,56K,F,N/A,"2J7,5H4,97Z,8L3,24V",5H4,1,NA
1/18/17,KK,JN,1,7:50:00,8:05:00,LCUW,5H4,F,N/A,"56K,24V,0M6,97Z,8L3",56K,1,NA
1/18/17,KK,JN,1,7:50:00,8:05:00,LCUW,0M6,F,N/A,"5H4,56K,97Z",5H4,1,NA
1/18/17,KK,JN,1,7:50:00,8:05:00,LCUW,97Z,F,N/A,"5H4,0M6,3F5",0M6,1,NA
1/18/17,KK,JN,1,7:50:00,8:05:00,LCUW,3F5,F,N/A,"97Z,4F1",97Z,2,NA
1/18/17,KK,JN,1,7:50:00,8:05:00,LCUW,1E2,F,N/A,"97Z,4F1",97Z,2,NA
