groom_giver,groom_reciever,constrained_duration,observation_name
2J5,4H1,420,2016-08-10_2J5_SML_4
2J5,4H1,0,2016-08-10_2J5_SML_4
7F7,33V,295,2016-08-10_7F7_SML_2
7F7,33V,0,2016-08-10_7F7_SML_2
9E6,8B5,113,2016-08-10_9E6_SML_5
9E6,8B5,0,2016-08-10_9E6_SML_5
9E6,8B5,111,2016-08-10_9E6_SML_5
9E6,8B5,0,2016-08-10_9E6_SML_5
7F7,33V,48,2016-08-11_7F7_SML_4
7F7,33V,0,2016-08-11_7F7_SML_4
91V,33V,289,2016-08-11_91V_SML_6
91V,33V,0,2016-08-11_91V_SML_6
8C3,76L,23,2016-08-12_8C3_SML_2
8C3,76L,0,2016-08-12_8C3_SML_2
4I5,8A5,79,2016-08-16_4I5_SML_4
4I5,8A5,0,2016-08-16_4I5_SML_4
7C8,26V,492,2016-08-03_7C8_SML_4
7C8,26V,0,2016-08-03_7C8_SML_4
48N,16Z,42,2016-08-04_48N_SML_5
48N,16Z,0,2016-08-04_48N_SML_5
0B5,3I3,43,2016-08-08_0B5_SML_5
0B5,3I3,0,2016-08-08_0B5_SML_5
0B5,3I3,322,2016-08-08_0B5_SML_5
2F0,2J5,43,2016-08-08_2F0_SML_6
2F0,2J5,0,2016-08-08_2F0_SML_6
2F0,2J5,167,2016-08-08_2F0_SML_6
4A0,3I2,403,2016-08-08_4A0_SML_5
4A0,3I2,0,2016-08-08_4A0_SML_5
4A0,3I2,75,2016-08-08_4A0_SML_5
4I4,1E7,76,2016-08-08_4I4_SML_6
4I4,1E7,0,2016-08-08_4I4_SML_6
7F7,09Z,113,2016-08-08_7F7_SML_1
7F7,09Z,0,2016-08-08_7F7_SML_1
0E2,0F6,84,2016-08-09_0E2_SML_5
0E2,0F6,0,2016-08-09_0E2_SML_5
0E2,3B1,122,2016-08-09_0E2_SML_5
0E2,3B1,0,2016-08-09_0E2_SML_5
0E2,28I,82,2016-08-09_0E2_SML_5
4A5,4A0,251,2016-03-01_4A5_SML_5
4I4,84E,401,2016-03-10_4I4_SML_4
48N,8A5,43,2016-03-14_48N_SML_1
48N,8A5,0,2016-03-14_48N_SML_1
09Z,73S,318,2016-03-15_09Z_SML_5
7B2,8A3,251,2016-03-15_7B2_SML_3
7B2,8A3,0,2016-03-15_7B2_SML_3
7B2,8A3,148,2016-03-15_7B2_SML_3
3I5,54N,70,2016-03-16_3I5_SML_4
3H4,4A5,114,2016-03-17_3H4_SML_5
3H4,4A5,0,2016-03-17_3H4_SML_5
3H4,4A5,33,2016-03-17_3H4_SML_5
3H4,4A5,0,2016-03-17_3H4_SML_5
54N,3I5,97,2016-03-17_54N_SML_3
54N,3I5,0,2016-03-17_54N_SML_3
2J9,2F0,251,2016-03-02_2J9_SML_6
2J9,2F0,0,2016-03-02_2J9_SML_6
31V,4I2,163,2016-03-02_31V_SML_5
31V,4I2,0,2016-03-02_31V_SML_5
31V,4I2,60,2016-03-02_31V_SML_5
4D5,09Z,23,2016-03-02_4D5_SML_4
4D5,09Z,0,2016-03-02_4D5_SML_4
91V,01K,91,2016-03-21_91V_SML_4
4B2,2F0,89,2016-03-03_4B2_SML_6
4B2,2F0,0,2016-03-03_4B2_SML_6
5F7,31V,84,2016-03-03_5F7_SML_5
5F7,31V,0,2016-03-03_5F7_SML_5
5F7,93R,30,2016-03-03_5F7_SML_5
4D5,7F7,236,2016-03-31_4D5_SML_6
4D5,7F7,0,2016-03-31_4D5_SML_6
0B4,3I3,325,2016-03-04_0B4_SML_3
8F0,14Z,99,2016-03-07_8F0_SML_4
7F2,4F5,23,2016-03-10_7F2_SML_2
7F2,4F5,0,2016-03-10_7F2_SML_2
7F2,0E8,116,2016-03-10_7F2_SML_2
0J0,2C8,26,2016-03-11_0J0_SML_3
0J0,2C8,0,2016-03-11_0J0_SML_3
3B1,84E,90,2016-03-30_3B1_SML_3
7C8,93R,20,2016-03-30_7C8_SML_6
28I,1E6,216,2016-03-31_28I_SML_5
X91,3B1,144,2016-03-31_X91_SML_5
X91,3B1,0,2016-03-31_X91_SML_5
3B1,X91,151,2016-05-16_3B1_SML_2
3B1,X91,0,2016-05-16_3B1_SML_2
8D6,5C4,134,2016-05-16_8D6_SML_6
33V,2G8,53,2016-04-21_33V_SML_6
0E1,37P,151,2016-04-23_0E1_SML_5
0E1,37P,0,2016-04-23_0E1_SML_5
3F4,0B5,59,2016-04-23_3F4_SML_4
3F4,0B5,0,2016-04-23_3F4_SML_4
16Z,99Z,155,2016-04-25_16Z_SML_3
3B1,X91,297,2016-04-25_3B1_SML_2
3B1,X91,0,2016-04-25_3B1_SML_2
69O,3I3,35,2016-04-25_69O_SML_6
69O,3I3,0,2016-04-25_69O_SML_6
37P,0E2,51,2016-04-26_37P_SML_4
37P,0E2,0,2016-04-26_37P_SML_4
37P,0E2,143,2016-04-26_37P_SML_4
37P,0E2,0,2016-04-26_37P_SML_4
4H1,6B0,81,2016-04-27_4H1_SML_3
4H1,6B0,0,2016-04-27_4H1_SML_3
5F7,31V,286,2016-04-04_5F7_SML_4
0B4,91V,185,2016-04-06_0B4_SML_4
0B4,91V,0,2016-04-06_0B4_SML_4
7F2,0E8,487,2016-04-06_7F2_SML_5
7F2,0E8,0,2016-04-06_7F2_SML_5
0B5,93I,67,2016-05-11_0B5_SML_5
3H6,95V,40,2016-05-13_3H6_SML_1
3H6,95V,0,2016-05-13_3H6_SML_1
5F7,31V,114,2016-05-05_5F7_CE_5
5F7,31V,0,2016-05-05_5F7_CE_5
5F7,31V,117,2016-05-05_5F7_CE_5
60V,95V,217,2016-05-05_60V_CE_6
60V,95V,0,2016-05-05_60V_CE_6
5G2,8A3,506,2016-05-06_5G2_CE_1
5G2,8A3,0,2016-05-06_5G2_CE_1
6B0,87F,76,2016-05-05_6B0_SML_4
6B0,87F,0,2016-05-05_6B0_SML_4
85V,4H0,82,2016-05-05_85V_SML_5
85V,4H0,0,2016-05-05_85V_SML_5
3F4,25L,516,2016-05-06_3F4_SML_5
3F4,25L,0,2016-05-06_3F4_SML_5
2F0,69O,43,2016-05-09_2F0_SML_5
2F0,69O,0,2016-05-09_2F0_SML_5
3H6,6C6,205,2016-05-12_3H6_SML_4
3H6,6C6,0,2016-05-12_3H6_SML_4
6D8,31V,50,2016-05-10_6D8_CE_1
69O,2F0,44,2016-05-09_69O_CE_6
69O,2F0,0,2016-05-09_69O_CE_6
8A3,3J3,319,2016-05-16_8A3_CE_1
8A3,3J3,0,2016-05-16_8A3_CE_1
2J5,4I4,370,2016-05-18_2J5_CE_4
4F8,6I1,37,2016-05-18_4F8_CE_3
4F8,6I1,0,2016-05-18_4F8_CE_3
4E0,7A8,158,2016-05-20_4E0_CE_6
4E0,7A8,0,2016-05-20_4E0_CE_6
0G8,5C4,50,2016-05-20_0G8_CE_4
0G8,5C4,0,2016-05-20_0G8_CE_4
09Z,7F7,147,2016-06-01_09Z_CE_2
09Z,7F7,0,2016-06-01_09Z_CE_2
2C8,4I4,94,2016-05-23_2C8_CE_4
2C8,4I4,0,2016-05-23_2C8_CE_4
5C4,8D6,121,2016-05-24_5C4_CE_5
9F9,0B4,65,2016-05-24_9F9_CE_6
2G8,33V,126,2016-05-26_2G8_CE_1
2G8,33V,0,2016-05-26_2G8_CE_1
3H4,2J9,277,2016-05-26_3H4_CE_3
93I,0B5,102,2016-05-26_93I_CE_1
93I,0B5,0,2016-05-26_93I_CE_1
4F8,85V,54,2016-05-27_4F8_CE_6
4F8,85V,0,2016-05-27_4F8_CE_6
5F7,31V,69,2016-05-27_5F7_CE_6
5F7,31V,0,2016-05-27_5F7_CE_6
5F7,31V,200,2016-05-27_5F7_CE_6
5F7,31V,0,2016-05-27_5F7_CE_6
4B2,2C8,412,2016-05-30_4B2_CE_4
4B2,2C8,0,2016-05-30_4B2_CE_4
4H2,4I8,43,2016-06-01_4H2_CE_6
4H2,4I8,0,2016-06-01_4H2_CE_6
4H2,4I8,225,2016-06-01_4H2_CE_6
4H2,4I8,0,2016-06-01_4H2_CE_6
3H4,7A8,234,2016-05-23_3H4_CE_4
3H4,7A8,0,2016-05-23_3H4_CE_4
5I0,8A3,530,2016-05-23_5I0_CE_5
5I0,8A3,0,2016-05-23_5I0_CE_5
0H8,3F4,173,2016-05-25_0H8_CE_4
0H8,3F4,0,2016-05-25_0H8_CE_4
0H8,3F4,321,2016-05-25_0H8_CE_4
9D7,7J0,63,2016-08-19_9D7_CE_6
9D7,7J0,0,2016-08-19_9D7_CE_6
X91,3B1,17,2016-06-07_X91_CE_1
26V,48N,133,2016-06-07_26V_CE_6
26V,48N,0,2016-06-07_26V_CE_6
3A7,5F7,8,2016-06-07_3A7_CE_6
33V,95V,290,2016-06-07_33V_CE_4
33V,95V,0,2016-06-07_33V_CE_4
33V,95V,196,2016-06-07_33V_CE_4
0H8,6D8,43,2016-06-07_0H8_CE_1
0H8,6D8,0,2016-06-07_0H8_CE_1
85V,7A6,86,2016-06-08_85V_CE_1
85V,7A6,0,2016-06-08_85V_CE_1
4E0,2J9,228,2016-06-16_4E0_CE_4
4E0,2J9,0,2016-06-16_4E0_CE_4
4E0,2J9,284,2016-06-16_4E0_CE_4
4E0,2J9,0,2016-06-16_4E0_CE_4
8D2,8B5,224,2016-06-16_8D2_CE_6
8D2,8B5,0,2016-06-16_8D2_CE_6
9E6,8D2,81,2016-06-16_9E6_CE_6
9E6,8D2,0,2016-06-16_9E6_CE_6
7F2,16Z,209,2016-06-17_7F2_CE_5
76L,8C3,183,2016-06-18_76L_CE_4
26V,3A7,180,2016-06-21_26V_CE_2
26V,3A7,0,2016-06-21_26V_CE_2
33V,2G8,128,2016-06-21_33V_CE_6
3B1,X91,74,2016-06-22_3B1_CE_6
3J5,46N,362,2016-06-22_3J5_CE_3
09Z,4F8,34,2016-06-29_09Z_CE_6
09Z,4F8,0,2016-06-29_09Z_CE_6
95V,6C6,323,2016-06-29_95V_CE_5
95V,6C6,0,2016-06-29_95V_CE_5
0B4,9F9,255,2016-07-18_0B4_SML_2
0B4,9F9,0,2016-07-18_0B4_SML_2
0B4,9F9,45,2016-07-18_0B4_SML_2
0B4,9F9,0,2016-07-18_0B4_SML_2
3B1,2J5,107,2016-07-18_3B1_SML_1
7F7,09Z,280,2016-07-18_7F7_SML_3
7F7,09Z,0,2016-07-18_7F7_SML_3
89K,6B0,60,2016-07-19_89K_SML_6
89K,6B0,0,2016-07-19_89K_SML_6
85V,93I,68,2016-07-21_85V_SML_4
85V,93I,0,2016-07-21_85V_SML_4
2F0,2C8,82,2016-07-25_2F0_SML_2
2F0,2C8,0,2016-07-25_2F0_SML_2
95V,4I4,68,2016-07-27_95V_SML_6
95V,4I4,0,2016-07-27_95V_SML_6
95V,3H6,326,2016-07-28_95V_SML_3
95V,3H6,0,2016-07-28_95V_SML_3
9J5,4B2,180,2016-07-28_9J5_SML_1
9J5,4B2,0,2016-07-28_9J5_SML_1
09Z,7F7,28,2016-07-29_09Z_SML_3
09Z,7F7,0,2016-07-29_09Z_SML_3
2G8,33V,372,2016-08-02_2G8_SML_3
2G8,33V,0,2016-08-02_2G8_SML_3
6I2,0J8,102,2016-08-15_6I2_CE_4
8A5,4I5,19,2016-08-21_8A5_CE_6
9E6,8D2,178,2016-08-21_9E6_CE_5
9E6,8D2,0,2016-08-21_9E6_CE_5
9J5,4H1,28,2016-08-21_9J5_CE_3
9J5,4H1,0,2016-08-21_9J5_CE_3
4F8,8A5,116,2016-08-22_4F8_CE_4
4I5,7C8,34,2016-08-22_4I5_CE_4
4I5,7C8,0,2016-08-22_4I5_CE_4
7J0,9D7,114,2016-08-23_7J0_CE_6
0G9,5E4,32,2016-08-23_0G9_CE_4
0G9,5E4,0,2016-08-23_0G9_CE_4
8B5,9E6,387,2016-08-23_8B5_CE_5
8B5,9E6,0,2016-08-23_8B5_CE_5
3J3,7H9,398,2016-08-29_3J3_CE_5
3J3,7H9,0,2016-08-29_3J3_CE_5
5I0,8A3,124,2016-08-29_5I0_CE_5
5I0,8A3,0,2016-08-29_5I0_CE_5
0B4,9F9,163,2016-08-31_0B4_CE_5
0B4,9F9,0,2016-08-31_0B4_CE_5
5I0,5D1,190,2016-08-31_5I0_CE_3
6I1,0J1,379,2016-08-31_6I1_CE_4
6I1,0J1,0,2016-08-31_6I1_CE_4
9D7,5G2,47,2016-09-01_9D7_CE_5
9D7,5G2,0,2016-09-01_9D7_CE_5
16Z,76L,118,2016-07-06_16Z_CE_5
16Z,76L,0,2016-07-06_16Z_CE_5
