focal_id,focal_sex,behaviour,activity,focalfollow_starttime,complete_duration,constrained_duration,partner_id,partner_sex,observation_name,date,obs_start,obs_stop,timeblock,observer,data_type,groom_notes,food_type,aggression_type,voc_type,redirected,winner,direction,initiator,ejaculation/inf_mom,within_2m,within_3_5m,proxscan,numbjuvs_males,numb_juvs_females,numbjuvs_unknown
26P,Male,no2ndGroom,,2011-06-26T12:21:40Z,601,600,none,NA,2011-06-26_26P_SML_5,2011-06-26,2011-06-26T12:21:40Z,2011-06-26T12:31:41Z,5,SML,focal,,,,,,,,,,none,none,NA,NA,NA,NA
26P,Male,nopascon,,2011-06-26T12:21:40Z,601,600,none,NA,2011-06-26_26P_SML_5,2011-06-26,2011-06-26T12:21:40Z,2011-06-26T12:31:41Z,5,SML,focal,,,,,,,,,,none,none,NA,NA,NA,NA
26P,Male,OutCoral,,2011-06-26T12:21:40Z,601,600,none,NA,2011-06-26_26P_SML_5,2011-06-26,2011-06-26T12:21:40Z,2011-06-26T12:31:41Z,5,SML,focal,,,,,,,,,,none,none,NA,NA,NA,NA
26P,Male,Rest,,2011-06-26T12:21:40Z,4,4,none,NA,2011-06-26_26P_SML_5,2011-06-26,2011-06-26T12:21:40Z,2011-06-26T12:21:44Z,5,SML,focal,,,,,,,,,,none,none,NA,NA,NA,NA
26P,Male,GroomGET,,2011-06-26T12:21:40Z,597,596,juvenile,NA,2011-06-26_26P_SML_5,2011-06-26,2011-06-26T12:21:44Z,2011-06-26T12:31:41Z,5,SML,focal,,,,,,,receive,,,juvenile,none,NA,NA,NA,NA
26P,Male,scan,Social,2011-06-26T12:21:40Z,0,0,none,NA,2011-06-26_26P_SML_5,2011-06-26,2011-06-26T12:21:54Z,2011-06-26T12:21:54Z,5,SML,scan,,,,,,,,,,none,NOTCOLLECTED,NA,NA,NA,NA
26P,Male,scan,Social,2011-06-26T12:21:40Z,0,0,none,NA,2011-06-26_26P_SML_5,2011-06-26,2011-06-26T12:26:41Z,2011-06-26T12:26:41Z,5,SML,scan,,,,,,,,,,none,NOTCOLLECTED,NA,NA,NA,NA
26P,Male,Approach,,2011-06-26T12:21:40Z,0,0,57T,Female,2011-06-26_26P_SML_5,2011-06-26,2011-06-26T12:29:00Z,2011-06-26T12:29:00Z,5,SML,focal,,,,,,,,Partner,,none,none,NA,NA,NA,NA
26P,Male,Leave,,2011-06-26T12:21:40Z,0,0,57T,Female,2011-06-26_26P_SML_5,2011-06-26,2011-06-26T12:29:18Z,2011-06-26T12:29:18Z,5,SML,focal,,,,,,,,Partner,,57T,none,NA,NA,NA,NA
26P,Male,Approach,,2011-06-26T12:21:40Z,0,0,03N,Male,2011-06-26_26P_SML_5,2011-06-26,2011-06-26T12:29:26Z,2011-06-26T12:29:26Z,5,SML,focal,,,,,,,,Partner,,none,none,NA,NA,NA,NA
