groom_giver,groom_reciever,constrained_duration,observation_name
4A9,infant,328,2011-06-26_4A9_SML_5
81I,57T,153,2011-06-26_81I_SML_1
5A0,juvenile,348,2011-06-28_5A0_SML_7
5A0,juvenile,39,2011-06-28_5A0_SML_7
74K,48L,479,2011-06-28_74K_SML_2
T83,infant,49,2011-06-28_T83_SML_2
T84,53N,282,2011-06-28_T84_SML_7
T84,53N,79,2011-06-28_T84_SML_7
T84,53N,39,2011-06-28_T84_SML_7
5A1,infant,60,2011-06-29_5A1_SML_2
5A1,infant,75,2011-06-29_5A1_SML_2
82V,juvenile,32,2011-06-29_82V_SML_6
82V,juvenile,191,2011-06-29_82V_SML_6
82V,84L,227,2011-06-29_82V_SML_6
03N,88N,72,2011-06-30_03N_SML_6
30F,juvenile,507,2011-06-30_30F_SML_3
48L,81I,90,2011-06-30_48L_SML_5
97R,infant,40,2011-06-30_97R_SML_5
T84,infant,534,2011-06-30_T84_SML_2
36D,juvenile,115,2011-07-01_36D_SML_1
36D,juvenile,40,2011-07-01_36D_SML_1
36D,juvenile,29,2011-07-01_36D_SML_1
38Z,infant,187,2011-07-01_38Z_SML_4
38Z,juvenile,247,2011-07-01_38Z_SML_4
74K,53N,94,2011-07-01_74K_SML_3
74K,53N,221,2011-07-01_74K_SML_3
82Z,juvenile,205,2011-07-01_82Z_SML_4
88N,infant,68,2011-07-01_88N_SML_4
97R,juvenile,30,2011-07-01_97R_SML_2
97R,infant,285,2011-07-01_97R_SML_2
97R,infant,72,2011-07-01_97R_SML_2
38Z,infant,70,2011-07-10_38Z_SML_2
57T,74K,557,2011-07-10_57T_SML_2
5A0,5A1,172,2011-07-10_5A0_SML_2
5A0,4A9,70,2011-07-10_5A0_SML_2
5A0,juvenile,17,2011-07-10_5A0_SML_2
5A1,infant,53,2011-07-10_5A1_SML_3
5A1,infant,59,2011-07-10_5A1_SML_3
5A1,infant,45,2011-07-10_5A1_SML_3
5A1,infant,74,2011-07-10_5A1_SML_3
74K,juvenile,66,2011-07-10_74K_SML_6
74K,infant,80,2011-07-10_74K_SML_6
74K,juvenile,163,2011-07-10_74K_SML_6
74K,infant,62,2011-07-10_74K_SML_6
97R,82Z,46,2011-07-10_97R_SML_4
97R,infant,29,2011-07-10_97R_SML_4
Z82,juvenile,34,2011-07-10_Z82_SML_5
36D,juvenile,150,2011-07-11_36D_SML_5
97R,infant,86,2011-07-11_97R_SML_1
97R,infant,241,2011-07-11_97R_SML_1
T84,infant,198,2011-07-11_T84_SML_6
Z82,juvenile,162,2011-07-11_Z82_SML_2
4A9,infant,30,2011-07-13_4A9_SML_6
70T,88V,406,2011-07-13_70T_SML_3
30F,juvenile,89,2011-07-14_30F_SML_6
70T,infant,79,2011-07-14_70T_SML_4
70T,infant,66,2011-07-14_70T_SML_4
74K,53N,161,2011-07-14_74K_SML_1
