id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,idcode,hrs.focalfollowed,focalcutoff_met
38Z,F,2003,8,I56,57D,I56,S,1,H,100,3826,5.5,Y
5A1,F,2004,7,I56,L34,I56,S,2,H,89.47368421,5011,5,Y
4A9,F,2004,7,42A,96B,42A,S,3,H,84.21052632,4019,5.166666666666667,Y
97R,F,2002,9,Z99,Z01,Z99,S,4,M,78.94736842,9718,5.333333333333333,Y
5A0,F,2004,7,84N,Z46,84N,S,5,M,73.68421053,5010,5.333333333333333,Y
74K,F,1998,13,42A,O15,42A,S,6,M,68.42105263,7411,5.5,Y
7A9,F,2004,7,74K,N60,74K,S,7,M,63.15789474,7019,5,Y
98V,F,2003,8,74K,25I,74K,S,8,M,57.89473684,9822,4.666666666666667,Y
T84,F,1990,21,953,F05,953,S,9,M,52.63157895,2084,5.166666666666667,Y
30F,F,1995,16,T84,O34,T84,S,10,L,47.36842105,3006,4.5,Y
81I,F,1997,14,06A,983,06A,S,11,L,42.10526316,8109,5.5,Y
57T,F,2002,9,81I,21B,81I,S,12,L,36.84210526,5720,4.833333333333333,Y
36D,F,1995,16,N16,A92,N16,S,13,L,31.57894737,3604,5.166666666666667,Y
88N,F,2000,11,H64,O81,H64,S,14,L,26.31578947,8814,5.333333333333333,Y
T83,F,1990,21,H64,788,H64,S,15,L,21.05263158,2083,5.5,Y
82V,F,2003,8,82H,57D,82H,S,16,L,15.78947368,8222,4.833333333333333,Y
70T,F,2002,9,J74,19C,J74,S,17,L,10.52631579,7020,5.166666666666667,Y
82Z,F,2004,7,H64,77I,H64,S,18,L,5.263157895,8226,5,Y
Z82,F,1991,20,H64,NA,H64,S,19,L,0,2682,4.666666666666667,Y
53N,M,1999,12,O52,V79,O52,F,1,H,100,5314,5,Y
48L,M,1999,12,59A,R70,59A,F,2,M,75,4812,5.333333333333333,Y
03N,M,1999,12,89C,R70,89C,F,3,M,62.5,314,5.333333333333333,Y
26P,M,2000,11,I56,F32,I56,S,4,M,50,2616,4.833333333333333,Y
88V,M,2003,8,02A,25I,02A,R,5,L,37.5,8822,5.333333333333333,Y
72T,M,2002,9,81B,40C,81B,HH,6,L,25,7220,5,Y
9A1,M,2005,6,X83,Z71,X83,R,7,L,12.5,9011,4.5,Y
05Z,M,2003,8,21H,30G,21H,KK,8,L,0,526,4.166666666666667,N
