agonism_winner,agonism_loser,agonism_type,winner_sex,loser_sex,date,observer,data_source,focal_individual
0C9,juvenile,threat,Male,Unknown,2019-02-06,JN,focalfollow,agonism.winner
3B8,3I4,avoid,Female,Female,2019-02-06,JN,focalfollow,agonism.winner
4I3,infant,noncontactAgg,Female,Unknown,2019-02-06,JN,focalfollow,agonism.winner
6M8,juvenile female,threat,Male,Unknown,2019-02-06,JN,focalfollow,agonism.winner
7M4,1K8,avoid,Male,Female,2019-02-06,JN,focalfollow,agonism.winner
9O5,juvenile male,noncontactAgg,Male,Unknown,2019-02-06,JN,focalfollow,agonism.winner
2I1,0J9,displace,Male,Male,2019-02-07,JN,focalfollow,agonism.winner
74K,3I4,avoid,Female,Female,2019-02-07,JN,focalfollow,agonism.winner
2C6,60V,FearGrm,Male,Female,2019-02-11,JN,focalfollow,agonism.winner
2C6,juvenile female,noncontactAgg,Male,Unknown,2019-02-11,JN,focalfollow,agonism.winner
38Z,74K,Submit,Female,Female,2019-02-11,JN,focalfollow,agonism.winner
5E4,5A1,avoid,Male,Female,2019-02-11,JN,focalfollow,agonism.winner
5E4,0I7,avoid,Male,Female,2019-02-11,JN,focalfollow,agonism.winner
5E4,3D1,noncontactAgg,Male,Female,2019-02-11,JN,focalfollow,agonism.winner
6C6,juvenile female,FearGrm,Male,Unknown,2019-02-11,JN,focalfollow,agonism.winner
7B3,6O6,threat,Male,Male,2019-02-11,JN,focalfollow,agonism.winner
8M5,juvenile male,contactAgg,Male,Unknown,2019-02-11,JN,focalfollow,agonism.winner
0G1,4A9,threat,Male,Female,2019-02-12,JN,focalfollow,agonism.winner
3H6,82V,threat,Female,Female,2019-02-12,JN,focalfollow,agonism.winner
5P1,juvenile male,threat,Female,Unknown,2019-02-12,JN,focalfollow,agonism.winner
5P2,3B8,displace,Male,Female,2019-02-12,JN,focalfollow,agonism.winner
7M4,4P3,displace,Male,Female,2019-02-12,JN,focalfollow,agonism.winner
7M4,60V,avoid,Male,Female,2019-02-12,JN,focalfollow,agonism.winner
8M5,6I7,contactAgg,Male,Male,2019-02-12,JN,focalfollow,agonism.winner
9I4,4P3,displace,Male,Female,2019-02-12,JN,focalfollow,agonism.winner
09Z,7F7,Submit,Female,Female,2019-02-13,JN,focalfollow,agonism.winner
0C9,juvenile female,avoid,Male,Unknown,2019-02-13,JN,focalfollow,agonism.winner
4M2,8M5,noncontactAgg,Female,Male,2019-02-13,JN,focalfollow,agonism.winner
5E4,11Z,FearGrm,Male,Male,2019-02-13,JN,focalfollow,agonism.winner
5H6,8I6,displace,Female,Female,2019-02-13,JN,focalfollow,agonism.winner
6K2,infant,noncontactAgg,Male,Unknown,2019-02-13,JN,focalfollow,agonism.winner
7F7,juvenile,contactAgg,Female,Unknown,2019-02-13,JN,focalfollow,agonism.winner
7M9,juvenile female,contactAgg,Female,Unknown,2019-02-13,JN,focalfollow,agonism.winner
1F0,juvenile male,avoid,Male,Unknown,2019-02-18,JN,focalfollow,agonism.winner
4G6,11Z,displace,Male,Male,2019-02-18,JN,focalfollow,agonism.winner
4P4,juvenile female,noncontactAgg,Female,Unknown,2019-02-18,JN,focalfollow,agonism.winner
4P4,3I4,avoid,Female,Female,2019-02-18,JN,focalfollow,agonism.winner
4P4,88N,displace,Female,Female,2019-02-18,JN,focalfollow,agonism.winner
7H0,juvenile female,noncontactAgg,Male,Unknown,2019-02-18,JN,focalfollow,agonism.winner
0H3,3B9,avoid,Male,Male,2019-02-19,JN,focalfollow,agonism.winner
0H3,88N,FearGrm,Male,Female,2019-02-19,JN,focalfollow,agonism.winner
2C6,95V,avoid,Male,Female,2019-02-19,JN,focalfollow,agonism.winner
2C6,juvenile female,FearGrm,Male,Unknown,2019-02-19,JN,focalfollow,agonism.winner
7O1,juvenile male,avoid,Male,Unknown,2019-02-19,JN,focalfollow,agonism.winner
7O1,adult male,noncontactAgg,Male,Unknown,2019-02-19,JN,focalfollow,agonism.winner
95V,67Z,threat,Female,Male,2019-02-19,JN,focalfollow,agonism.winner
98V,juvenile female,displace,Female,Unknown,2019-02-19,JN,focalfollow,agonism.winner
0C9,juvenile,threat,Male,Unknown,2019-02-20,JN,focalfollow,agonism.winner
0C9,juvenile female,threat,Male,Unknown,2019-02-20,JN,focalfollow,agonism.winner
3G2,juvenile female,threat,Female,Unknown,2019-02-20,JN,focalfollow,agonism.winner
48L,60V,FearGrm,Male,Female,2019-02-20,JN,focalfollow,agonism.winner
5P2,3B8,avoid,Male,Female,2019-02-20,JN,focalfollow,agonism.winner
7O1,juvenile female,avoid,Male,Unknown,2019-02-20,JN,focalfollow,agonism.winner
1F0,6J4,avoid,Male,Female,2019-02-22,JN,focalfollow,agonism.winner
