ID,Sex,Rank,percofsex.domianted,ordinal.rank
03Z,F,32,32.6,L
0B9,F,11,78.3,M
0G3,F,9,82.6,H
0K1,M,19,25,L
0M2,F,20,58.7,M
16S,F,22,54.3,M
1B7,M,3,91.7,H
1G8,M,20,20.8,L
1Q8,M,12,54.2,M
20S,F,16,67.4,M
22H,F,1,100,H
2C0,F,10,80.4,H
2C7,F,45,4.3,L
2.00E+08,F,19,60.9,M
2.00E+09,F,41,13,L
36O,F,43,8.7,L
3A6,M,15,41.7,L
3A9,F,30,37,L
3L5,M,10,62.5,M
3L6,M,9,66.7,M
3N4,F,31,34.8,L
3P2,M,17,33.3,L
3P7,F,8,84.8,H
41N,M,4,87.5,H
43N,M,2,95.8,H
48V,F,13,73.9,M
49Z,M,14,45.8,L
4C6,M,11,58.3,M
4I9,F,34,28.3,L
4J0,M,6,79.2,H
4J3,F,17,65.2,M
4J6,F,18,63,M
4L8,F,42,10.9,L
4N5,F,29,39.1,L
4N7,M,5,83.3,H
4N8,M,13,50,M
50P,M,8,70.8,M
55R,F,37,21.7,L
56R,F,40,15.2,L
5B6,F,2,97.8,H
5H7,M,22,12.5,L
5I9,F,46,0,L
5J6,F,36,23.9,L
5N1,F,15,69.6,M
5P6,F,3,95.7,H
60T,M,21,16.7,L
62S,F,7,87,H
65Z,F,35,26.1,L
6B4,F,25,47.8,L
6H6,F,12,76.1,M
6I4,M,7,75,M
77S,F,4,93.5,H
7.00E+00,F,44,6.5,L
7.00E+03,F,14,71.7,M
7L0,F,33,30.4,L
7L7,F,23,52.2,M
80S,F,27,43.5,L
8.00E+02,F,24,50,M
8K7,F,6,89.1,H
8L6,M,16,37.5,L
94O,M,1,100,H
94S,F,28,41.3,L
9C6,M,23,8.3,L
9I5,F,21,56.5,M
9I7,F,38,19.6,L
9N0,F,5,91.3,H
9O0,M,24,0,L
9P5,F,26,45.7,L
9P6,M,18,29.2,L
V80,F,39,17.4,L
