"id","age","sex","brain_wt","group","year","hurricane.status"
"03Z",12.8,"f",80.4,"HH",2016,0
"0B9",12.1,"f",95.7,"HH",2016,0
"0G3",9.1,"f",88.6,"HH",2016,0
"0K1",7,"m",93.7,"HH",2016,0
"0L5",8.1,"m",91.1,"KK",2018,1
"0P7",7.1,"m",95.5,"S",2019,1
"0Q5",6,"f",87.5,"KK",2018,1
"0T8",4.2,"f",75.9,"KK",2018,1
"0U9",5.1,"m",106.7,"S",2019,1
"0W1",4,"m",90.15,"S",2019,1
"0W2",4.1,"f",98.9,"S",2019,1
"16S",15.1,"f",87.5,"HH",2016,0
"1B7",11,"m",96.1,"HH",2016,0
"1C5",13,"f",82.3,"KK",2018,1
"1C7",13,"f",90.1,"KK",2018,1
"1E2",12.1,"f",83,"KK",2018,1
"1G8",7.9,"m",112.4,"HH",2016,0
"1J8",9.1,"m",99.8,"KK",2018,1
"1M8",7.2,"m",94.3,"KK",2018,1
"1O9",6.1,"f",87.8,"KK",2018,1
"1P4",6.3,"f",84.3,"KK",2018,1
"1P5",6.2,"m",96,"KK",2018,1
"1Q8",4.3,"m",112.5,"HH",2016,0
"1R1",5.3,"f",90.4,"KK",2018,1
"1S8",4.2,"m",111,"KK",2018,1
"1T5",4.4,"m",85.9,"KK",2018,1
"1T7",4.4,"f",88.5,"KK",2018,1
"1T9",4.1,"f",99.6,"KK",2018,1
"1U6",5.1,"m",89.7,"S",2019,1
"20S",14.9,"f",77,"HH",2016,0
"22H",19.9,"f",85.6,"HH",2016,0
"2C0",11,"f",96.1,"HH",2016,0
"2C4",13.1,"f",90.5,"KK",2018,1
"2C7",11.2,"f",90.6,"HH",2016,0
"2E9",10.2,"f",85.7,"HH",2016,0
"2F2",11,"f",101.9,"KK",2018,1
"2K0",8.1,"m",99.5,"KK",2018,1
"2M4",7.2,"m",103.7,"KK",2018,1
"2O7",6.4,"f",81.2,"KK",2018,1
"2R9",5.1,"f",93.6,"KK",2018,1
"2T2",4.1,"m",105.6,"KK",2018,1
"2T5",4.3,"f",93.3,"KK",2018,1
"2T6",5.2,"m",92.1,"S",2019,1
"2V1",4.3,"m",95.9,"S",2019,1
"2V4",4.2,"m",100.8,"S",2019,1
"31S",17,"m",102.4,"KK",2018,1
"36O",16,"f",90.2,"HH",2016,0
"37V",15.1,"f",83.3,"KK",2018,1
"3A6",12,"m",101.4,"HH",2016,0
"3A9",12.1,"f",90.3,"HH",2016,0
"3E4",12,"m",84.8,"KK",2018,1
"3F5",11,"f",97.6,"KK",2018,1
"3F7",11.2,"f",91,"KK",2018,1
"3K1",9,"m",112.88,"S",2019,1
"3L5",5.9,"m",107.8,"HH",2016,0
"3L6",6.1,"m",94.8,"HH",2016,0
"3M3",7.2,"m",99.6,"KK",2018,1
"3N4",5,"f",83.4,"HH",2016,0
"3O3",6.2,"m",101.4,"KK",2018,1
"3O7",6.1,"m",88.4,"KK",2018,1
"3P2",4,"m",93.1,"HH",2016,0
"3P7",4.3,"f",91.9,"HH",2016,0
"3Q3",5.3,"f",98.1,"KK",2018,1
"3Q6",6.1,"m",100.94,"S",2019,1
"3Q9",5.2,"m",92.4,"KK",2018,1
"3R9",5.2,"f",87.7,"KK",2018,1
"3T1",4.4,"m",86.5,"KK",2018,1
"3T9",4.4,"f",79.8,"KK",2018,1
"3V0",4.1,"m",116,"S",2019,1
"3V1",4.2,"f",95.8,"S",2019,1
"3V2",4,"m",109.7,"S",2019,1
"3V8",4.1,"m",103.8,"S",2019,1
"3V9",4.2,"m",92.96,"S",2019,1
"41N",16.7,"m",91.2,"HH",2016,0
"43N",17,"m",94.8,"HH",2016,0
"46Z",14,"m",103.8,"KK",2018,1
"48V",13,"f",91.6,"HH",2016,0
"49V",15,"f",81.8,"KK",2018,1
"49Z",12,"m",113.4,"HH",2016,0
"4C6",10.8,"m",102.4,"HH",2016,0
"4D8",12.2,"f",87,"KK",2018,1
"4F1",11.1,"f",88,"KK",2018,1
"4I9",7,"f",94,"HH",2016,0
"4J0",7.1,"m",107.3,"HH",2016,0
"4J3",7.3,"f",89,"HH",2016,0
"4J6",7.1,"f",87.4,"HH",2016,0
"4L7",8.2,"m",90.6,"KK",2018,1
"4L8",6.1,"f",80.1,"HH",2016,0
"4M9",7.2,"f",86,"KK",2018,1
"4N5",5.1,"f",88.7,"HH",2016,0
"4N7",5.1,"m",95.8,"HH",2016,0
"4N8",5.3,"m",106,"HH",2016,0
"4P6",6.1,"f",100.1,"KK",2018,1
"4Q4",5.2,"f",90.5,"KK",2018,1
"4R2",6.2,"m",105.5,"S",2019,1
"4R3",5.2,"m",83.1,"KK",2018,1
"4R4",5.2,"f",90.3,"KK",2018,1
"4R7",5.2,"m",94.5,"KK",2018,1
"4S8",4,"m",90.4,"KK",2018,1
"4T2",4.4,"m",93.6,"KK",2018,1
"4T4",4.2,"f",86.5,"KK",2018,1
"51V",15.1,"f",97.3,"KK",2018,1
"55R",15,"f",100.9,"HH",2016,0
"56K",19.9,"m",89.8,"KK",2018,1
"56R",14.9,"f",91,"HH",2016,0
"5B6",11.2,"f",75.5,"HH",2016,0
"5H7",8.2,"m",95.5,"HH",2016,0
"5I5",9.2,"m",90.9,"KK",2018,1
"5I9",7.1,"f",85.9,"HH",2016,0
"5J3",9.2,"m",98.4,"KK",2018,1
"5J6",7.1,"f",83.7,"HH",2016,0
"5K0",8.1,"m",99,"KK",2018,1
"5L3",8.1,"m",115.7,"KK",2018,1
"5M5",7.2,"f",NA,"KK",2018,1
"5P6",4.2,"f",85.5,"HH",2016,0
"5Q7",5.3,"f",91.8,"KK",2018,1
"5R4",6.2,"m",102.2,"S",2019,1
"5S1",4.2,"m",103.9,"KK",2018,1
"5S3",4.2,"m",89.8,"KK",2018,1
"5V1",4.3,"m",104.6,"S",2019,1
"60R",17,"f",82.6,"KK",2018,1
"62S",13.8,"f",94.7,"HH",2016,0
"65Z",12,"f",96.8,"HH",2016,0
"6B4",11.2,"f",94.6,"HH",2016,0
"6D4",12.2,"f",86.6,"KK",2018,1
"6D6",12.1,"f",86.4,"KK",2018,1
"6H6",8,"f",94.1,"HH",2016,0
"6I4",7.1,"m",97.1,"HH",2016,0
"6K6",8.2,"f",88.2,"KK",2018,1
"6L1",8.3,"f",81,"KK",2018,1
"6L3",8.1,"m",99.2,"KK",2018,1
"6L4",8.2,"m",101.2,"KK",2018,1
"6M7",7.3,"f",87,"KK",2018,1
"6O6",7.1,"m",117.3,"S",2019,1
"6O7",6,"f",93.1,"KK",2018,1
"6O9",7.1,"f",95.8,"S",2019,1
"6S2",4.3,"m",101.8,"KK",2018,1
"6S7",4.3,"m",89.9,"KK",2018,1
"73Z",14.1,"m",96.8,"KK",2018,1
"74K",20.8,"f",81.1,"S",2019,1
"76J",19.9,"f",88.8,"KK",2018,1
"77S",13.9,"f",79.4,"HH",2016,0
"7E0",9.2,"f",94.7,"HH",2016,0
"7E3",9.2,"f",91.4,"HH",2016,0
"7F0",11.2,"f",93.6,"KK",2018,1
"7I8",9.2,"f",96.3,"KK",2018,1
"7J7",9.1,"f",84.8,"KK",2018,1
"7L0",6.1,"f",92.4,"HH",2016,0
"7L7",6.1,"f",89.3,"HH",2016,0
"7M7",8.2,"m",98.6,"S",2019,1
"7Q0",6,"f",96,"S",2019,1
